Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","May '20 May 31, 2020",,
"Selling, General & Admin","787,510","964,319","1,579,065","2,045,047","844,980","3,066",Financials in USD,Fiscal year is January - December
Research & Development,"217,606","435,449","1,048,457","1,456,119","587,532",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,005,116","1,399,768","2,627,522","3,501,166","1,432,512","3,066",Financials in USD,Fiscal year is January - December
Operating Income,"-1,005,116","-1,399,768","-2,627,522","-3,501,166","-1,432,512","-3,066",Financials in USD,Fiscal year is January - December
Interest Expense,"-77,483","-73,333","-69,738","-30,121",-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,10,"3,408",33,36,156,-,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,"-8,746",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"21,000","46,700","57,600","-20,800",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,061,589","-1,422,993","-2,639,627","-3,552,051","-1,441,103","-3,066",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"433,000","343,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-2,908","-15,842","-81,843","-130,027",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,064,497","-1,005,835","-2,378,470","-3,682,078","-1,441,103","-3,066",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,"2,400","2,400","2,400","2,743",-,Financials in USD,Fiscal year is January - December
Net Income,"-1,064,497","-1,008,235","-2,380,870","-3,684,478","-1,443,845","-3,066",Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,064,497","-1,008,235","-2,380,870","-3,684,478","-1,443,845","-3,066",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"7,236,447","7,236,447","7,235,609","6,712,675","752,407",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"7,236,447","7,236,447","7,235,609","6,712,675","752,407",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.001%,0.012%,7.790%,792.160%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.147,-0.139,-0.329,-0.549,-1.919,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.150,-0.140,-0.330,-0.550,-1.920,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-317,162","-497,467","-690,129","-679,236","-433,783","3,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.044,-0.069,-0.095,-0.101,-0.577,-,Financials in USD,Fiscal year is January - December
EBIT,"-1,005,116","-1,399,768","-2,627,522","-3,501,166","-1,432,512","-3,066",Financials in USD,Fiscal year is January - December
