Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018",+20 Quarters,,
Revenue,"7,126,333","8,024,840","9,411,863","10,805,735","10,791,539","7,962,166","11,796,332","12,380,987","12,380,987","10,080,837","12,248,779","11,789,481","6,117,286","6,187,324","7,364,546","6,336,721","9,468,955","5,204,545","9,190,377","9,728,712",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-33.964%,0.787%,-20.214%,-12.723%,-12.838%,-21.017%,-3.694%,5.017%,102.393%,62.927%,66.321%,86.050%,-35.396%,18.883%,-19.867%,-34.866%,-2.391%,-17.560%,0.160%,4.397%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,335,901","2,448,890","2,637,139","3,028,023","3,238,658","2,084,964","2,949,342","3,397,172","3,397,172","3,794,493","4,190,926","5,095,667","1,497,779","2,499,121","2,490,444","1,607,587","2,540,450","2,536,530","2,945,389","2,744,760",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"4,790,432","5,575,950","6,774,724","7,777,712","7,552,881","5,877,202","8,846,990","8,983,815","8,983,815","6,286,344","8,057,853","6,693,814","4,619,507","3,688,203","4,874,102","4,729,134","6,928,505","2,668,015","6,244,988","6,983,952",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,706,224","3,959,024","4,933,062","5,628,898","4,470,455","4,728,498","6,280,862","7,252,523","7,252,523","7,392,569","6,599,705","5,095,961","3,587,480","4,236,519","4,209,508","3,720,084","4,798,974","7,103,136","5,149,812","6,623,945",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,739,557","3,992,358","4,966,395","5,628,898","4,470,455","4,728,498","6,351,695","7,252,523","7,252,523","7,489,929","6,697,202","5,122,660","3,614,325","4,821,092","4,510,896","4,023,680","5,105,249","7,631,254","5,605,391","7,079,896",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"1,050,875","1,583,592","1,808,329","2,148,814","3,082,426","1,148,704","2,495,295","1,731,293","1,731,293","-1,203,585","1,360,651","1,571,154","1,005,182","-1,132,889","363,206","705,454","1,823,256","-4,963,239","639,597","-95,944",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-705,088","-745,528","-1,109,980","-885,961","-884,149","-836,412","-283,297","-313,942","-313,942","-379,458","-314,874","-360,855","-179,279","-202,980","-211,579","-318,879","-378,496","-310,563","-381,568","-343,426",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,381,374,387,413,407,382,10,12,12,13,12,13,66,85,105,113,111,114,50,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-7,279","-3,870","8,983","7,555",-675,"4,836","-37,399","-44,880","-44,880","362,939","151,005","290,342","-278,126","104,271","-101,289","-27,770","16,508","25,736","-66,353","-120,623",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,"-1,042,526","9,961","-818,151",-,-,-,-,-,120,"27,674","-1,011",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"338,889","834,568","707,719","1,270,821","2,198,009","317,510","2,174,609","1,372,483","1,372,483","-2,262,617","1,206,755","682,503","547,843","-1,231,513","50,443","358,918","1,461,379","-5,247,832","219,400","-561,004",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,"-7,793,240",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
