Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","157,000","225,000","168,000","214,000","219,000","126,000","144,000","428,000","1,094,000","528,000","89,000","350,000","257,000","163,000","83,000","7,000","166,000","27,000","36,000",Financials in USD,Fiscal year is January - December
Research & Development,"162,000","24,000","379,000","-348,000","510,000","293,000","114,000","676,000","332,000","84,000","86,000","224,000","161,000","222,000","169,000","220,000","69,000","86,000","86,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"319,000","249,000","547,000","-134,000","729,000","419,000","258,000","1,104,000","1,426,000","612,000","175,000","574,000","418,000","385,000","252,000","227,000","235,000","113,000","122,000",Financials in USD,Fiscal year is January - December
Operating Income,"-319,000","-249,000","-547,000","134,000","-729,000","-419,000","-258,000","-1,104,000","-1,426,000","-612,000","-175,000","-574,000","-418,000","-385,000","-252,000","-227,000","-235,000","-113,000","-122,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-7,000",-,"-3,000",-,-,-,"-6,000",-,"-17,000","-15,000",-,-,-,"-2,000",-,-,"-8,000",-,-500,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,"42,000",-,-,-,"3,000","2,000",-,-,"9,000",-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"-9,000",-,-,-,"-38,000",-,-,"-10,000","7,000",-,-,"-3,000","-11,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"1,000",-,"-3,000","4,000","2,000",-,"-3,000",-,-,-,"-2,000",-,-,-,"-1,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-326,000","-248,000","-550,000","122,000","-725,000","-417,000","-264,000","-1,103,000","-1,443,000","-627,000","-185,000","-566,000","-416,000","-387,000","-255,000","-230,000","-243,000","-113,000","-122,500",Financials in USD,Fiscal year is January - December
Net Income,"-326,000","-248,000","-550,000","122,000","-725,000","-417,000","-264,000","-1,103,000","-1,443,000","-627,000","-185,000","-566,000","-416,000","-387,000","-255,000","-230,000","-243,000","-113,000","-122,500",Financials in USD,Fiscal year is January - December
Net Income to Common,"-326,000","-248,000","-550,000","122,000","-725,000","-417,000","-264,000","-1,103,000","-1,443,000","-627,000","-185,000","-566,000","-416,000","-387,000","-255,000","-230,000","-243,000","-113,000","-122,500",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"18,701,418","18,676,084","18,616,551","18,343,646","16,444,399","16,109,514","15,964,489","15,602,754","15,061,902","13,647,151","13,035,371","12,253,774","12,131,663","10,813,649","9,459,253","9,459,253","9,459,253","9,459,253","9,459,253",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"18,701,418","18,676,084","18,616,551","18,343,646","16,444,399","16,109,514","15,964,489","15,602,754","15,061,902","13,647,151","13,035,371","12,253,774","12,131,663","10,813,649","9,459,253","9,459,253","9,459,253","9,459,253","9,459,253",Financials in USD,Fiscal year is January - December
Shares Change (YoY),13.725%,15.932%,16.612%,17.567%,9.179%,18.043%,22.471%,27.330%,24.154%,26.203%,37.806%,29.543%,28.252%,14.318%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.017,-0.013,-0.030,0.007,-0.044,-0.026,-0.017,-0.071,-0.096,-0.046,-0.014,-0.046,-0.034,-0.036,-0.027,-0.024,-0.026,-0.012,-0.013,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.017,-0.013,-0.030,0.007,-0.044,-0.030,-0.017,-0.071,-0.096,-0.046,-0.014,-0.046,-0.034,-0.036,-0.027,-0.024,-0.026,-0.012,-0.013,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-80,000","-217,000","-173,000","-88,000","-501,000","-215,000","-399,000","-277,000","-154,000","-248,000","-82,000","-703,000","-281,000","-305,000","-129,000","-468,000","-272,000","-19,500","-19,500",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.004,-0.012,-0.009,-0.005,-0.030,-0.013,-0.025,-0.018,-0.010,-0.018,-0.006,-0.057,-0.023,-0.028,-0.014,-0.049,-0.029,-0.002,-0.002,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,-,"-729,000","-419,000","-257,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,-,-,-,"1,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-319,000","-249,000","-547,000","134,000","-729,000","-419,000","-258,000","-1,104,000","-1,426,000","-612,000","-175,000","-574,000","-418,000","-385,000","-252,000","-227,000","-235,000","-113,000","-122,000",Financials in USD,Fiscal year is January - December
