Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015",+20 Quarters,,
Revenue,-,-,-,-,-,-,-,-360,-,-,"1,885",99,99,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,-,-,"67,155",-,-,"5,531",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,-,"-67,515",-,-,"-3,646",99,99,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","411,084","923,649","172,297","93,819","166,734","36,803","207,542","205,601","198,564","258,244","506,104","2,791,131","2,791,131","97,667","97,667","65,072","175,075","125,871","84,904","55,944",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"411,683","924,045","172,793","94,935","167,229","37,299","208,038","206,133","199,124","258,639","506,665","2,791,131","2,791,131","97,667","97,667","65,072","175,075","125,871","84,904","55,944",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-411,683","-924,045","-172,793","-94,935","-167,229","-37,299","-208,038","-273,648","-199,124","-258,639","-510,311","-2,791,033","-2,791,033","-97,667","-97,667","-65,072","-175,075","-125,871","-84,904","-55,944",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,"-4,394","-13,917","-22,500",-,-81,"-37,831","-37,913",-,-416,"-9,051","-29,448","-29,448",-,-,"-11,638","-7,614",-194,-194,-195,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"2,282",183,-,-,183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-185,-185,184,185,"-237,091","-208,500","331,009","21,237","268,465",Upgrade,Financials in USD,Fiscal year is January - December
