Fiscal Quarter,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q3 2019,Q2 2019,Q1 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+20 Quarters,,
Revenue,"83,949","179,267","202,447","169,787","55,295","305,217","164,213","19,500","78,975","90,575","278,925","126,314","9,790","105,333","24,886","51,010",-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Revenue Growth (YoY),51.820%,-41.266%,23.283%,770.703%,-29.984%,236.977%,-41.126%,-84.562%,706.691%,-14.011%,1020.811%,147.626%,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Cost of Revenue,"85,657","59,833","69,108","30,648","42,455","97,665","129,861","56,143","79,657","49,263","108,425","59,462","31,775","41,916","20,172","28,849","13,320",-,"12,886",-,Upgrade,Financials in USD,Fiscal year is October - September
Gross Profit,"-1,708","119,434","133,339","139,139","12,840","207,552","34,352","-36,643",-682,"41,312","170,500","66,852","-21,985","63,417","4,714","22,161","-13,320",-,"-12,886",-,Upgrade,Financials in USD,Fiscal year is October - September
"Selling, General & Admin","1,545,351","2,455,033","1,816,392","2,285,393","2,588,630","7,528,916","1,410,685","1,523,650","1,381,334","1,443,287","1,365,394","1,423,409","1,590,568","1,439,832","962,458","516,522","514,949","401,055","362,494","470,454",Upgrade,Financials in USD,Fiscal year is October - September
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,825",-,"92,618",Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"1,545,351","2,455,033","1,816,392","2,285,393","2,588,630","7,528,916","1,410,685","1,523,650","1,381,334","1,443,287","1,365,394","1,423,409","1,590,568","1,439,832","962,458","516,522","514,949","409,880","362,494","563,072",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-1,547,059","-2,335,599","-1,683,053","-2,146,254","-2,575,790","-7,321,364","-1,376,333","-1,560,293","-1,382,016","-1,401,975","-1,194,894","-1,356,557","-1,612,553","-1,376,415","-957,744","-494,361","-528,269","-409,880","-375,380","-563,072",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,"-4,554,203","-5,107,372","-5,060,163","-4,892,017","-1,847,035","-364,842","-326,961","-267,202","-135,651","-77,415","-26,993","-7,956","-8,730","-7,503","-7,844","-7,669","-8,203","-54,257","-11,951","-771,376",Upgrade,Financials in USD,Fiscal year is October - September
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,"-22,686","-10,873","60,075",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),"-12,945,076","17,058,146","11,482,036","-1,527,311","-26,397,075",-,-,-,-,-,-,-,-,-,"10,000",-,-,"-523,595",-,"-3,077,306",Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-19,046,338","9,615,175","4,738,820","-8,565,582","-30,819,900","-7,686,206","-1,703,294","-1,827,495","-1,517,667","-1,479,390","-1,221,887","-1,364,513","-1,643,969","-1,394,791","-895,513","-502,030","-536,472","-987,732","-387,331","-4,411,754",Upgrade,Financials in USD,Fiscal year is October - September
Gain (Loss) on Sale of Investments,-300,-,-100,-800,"-2,000","1,300","-5,500","-8,500","5,400","3,500","-3,900","3,400","-3,100","4,300","-4,900","-1,400","-4,900",-,"-9,100",-,Upgrade,Financials in USD,Fiscal year is October - September
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,"10,916",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Asset Writedown,-,-,"-238,671",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Other Unusual Items,-,-,-,-,"-5,634,447",-,-,-,-,-,-,-,"227,294","57,379","108,060",-,-,-46,"-30,100","-36,864",Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-19,046,638","9,615,175","4,500,049","-8,566,382","-36,456,347","-7,684,906","-1,708,794","-1,835,995","-1,512,267","-1,464,974","-1,225,787","-1,361,113","-1,419,775","-1,333,112","-792,353","-503,430","-541,372","-987,778","-426,531","-4,448,618",Upgrade,Financials in USD,Fiscal year is October - September
