Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022","Sep '21 Sep 30, 2021","Sep '20 Sep 30, 2020","Sep '19 Sep 30, 2019",2018 - 2014,,
"Selling, General & Admin","1,053,989","2,312,399","1,181,534","2,552,855","828,892","544,698",Upgrade,Financials in USD,Fiscal year is October - September
Research & Development,"161,471","154,362","186,115","146,085",-,-,Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"1,215,460","2,466,761","1,367,649","2,698,940","828,892","544,698",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-1,215,460","-2,466,761","-1,367,649","-2,698,940","-828,892","-544,698",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,"-729,662","-1,223,390","-1,694,455","-377,871","-30,536","-71,981",Upgrade,Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),"-48,200","-1,135,118","1,400,958","564,336","-1,043,515","2,208,683",Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-1,993,322","-4,825,269","-1,661,146","-2,512,475","-1,902,943","1,592,004",Upgrade,Financials in USD,Fiscal year is October - September
Other Unusual Items,"56,082","56,082","-54,813",-,"-5,088,524",-,Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-1,937,240","-4,769,187","-1,715,959","-2,512,475","-6,991,467","1,592,004",Upgrade,Financials in USD,Fiscal year is October - September
Earnings From Continuing Operations,"-1,937,240","-4,769,187","-1,715,959","-2,512,475","-6,991,467","1,592,004",Upgrade,Financials in USD,Fiscal year is October - September
Earnings From Discontinued Operations,-,-,-,-,"221,252","751,978",Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-1,937,240","-4,769,187","-1,715,959","-2,512,475","-6,770,215","2,343,982",Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-1,892,999","-4,769,187","-1,715,959","-2,512,475","-6,770,215","2,343,982",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"32,029,127","20,828,079","16,525,643","11,259,782","1,603,492","1,559,483",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"32,029,127","20,828,079","16,525,643","11,259,782","1,603,492","5,000,474",Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),62.428%,26.035%,46.767%,602.204%,-67.933%,269.319%,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-0.059,-0.229,-0.104,-0.223,-4.222,1.503,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-0.059,-0.230,-0.104,-0.223,-4.222,0.470,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-314,825","-624,636","-903,489","-682,333","-93,190","-6,542",Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-0.010,-0.030,-0.055,-0.061,-0.058,-0.001,Upgrade,Financials in USD,Fiscal year is October - September
EBITDA,-,-,-,-,"-828,312","-544,118",Upgrade,Financials in USD,Fiscal year is October - September
D&A For EBITDA,-,-,-,-,580,580,Upgrade,Financials in USD,Fiscal year is October - September
EBIT,"-1,215,460","-2,466,761","-1,367,649","-2,698,940","-828,892","-544,698",Upgrade,Financials in USD,Fiscal year is October - September
Advertising Expenses,-,-,-,-,"7,349","12,592",Upgrade,Financials in USD,Fiscal year is October - September
