Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+9 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+9 Quarters,,
Revenue,"25,165,343","25,108,247","24,087,315","24,173,038","24,675,145","20,196,556","19,088,423","19,043,046","18,854,101","21,090,148","15,638,572","13,655,947","13,369,432","14,230,900","13,189,889","12,401,615","12,475,782","12,215,365","12,118,567","10,882,874",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),1.987%,24.319%,26.188%,26.939%,30.874%,-4.237%,22.060%,39.449%,41.024%,48.200%,18.565%,10.114%,7.163%,16.500%,8.840%,13.955%,74.823%,-,109.744%,93.396%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"12,841,373","11,557,604","11,842,888","12,117,769","11,477,757","10,865,260","9,568,211","10,527,449","9,317,241","10,723,122","13,149,894","11,500,980","8,254,444","7,318,011","7,574,048","7,106,207","7,511,999","8,624,741","8,840,661","11,243,466",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"12,323,970","13,550,643","12,244,427","12,055,269","13,197,388","9,331,296","9,520,212","8,515,597","9,536,860","10,367,026","2,488,678","2,154,967","5,114,988","6,912,889","5,615,841","5,295,408","4,963,783","3,590,624","3,277,906","-360,592",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","6,911,278","7,564,231","7,051,613","6,252,404","6,749,314","8,059,427","7,156,835","7,430,550","8,489,728","8,625,439","9,277,969","9,213,920","8,106,187","8,299,682","8,035,991","6,687,250","6,517,464","6,283,343","6,877,125","9,595,918",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,472,523","7,756,621","7,484,983","6,673,447","7,325,894","10,373,340","9,151,706","7,813,832","9,726,016","10,058,841","10,248,838","10,145,378","9,245,849","10,160,451","10,460,614","7,525,037","7,232,969","15,642,618","9,770,219","12,510,181",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"3,851,447","5,794,022","4,759,444","5,381,822","5,871,494","-1,042,044","368,506","701,765","-189,156","308,185","-7,760,160","-7,990,411","-4,130,861","-3,247,562","-4,844,773","-2,229,629","-2,269,186","-12,051,994","-6,492,313","-12,870,773",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-7,363,655","-7,518,454","-8,722,637","-8,465,556","-7,915,658","-7,744,794","-7,134,789","-7,120,667","-5,573,263","-5,297,823","-4,601,799","-4,538,313","-2,254,553","-2,756,358","-1,026,146","-846,758","-1,255,656","-1,543,169","-1,450,264","-2,074,835",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"155,428","1,593,492","1,317,589","375,014","-4,304,440","5,798,335","22,313","-139,123","79,750","-82,769","1,199,994","-2,595,325","702,183","-98,055","56,668","-1,015,003","-3,957,783","-2,150,271","856,656","-1,634,524",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,356,780","-130,940","-2,645,604","-2,708,720","-6,348,604","-2,988,503","-6,743,970","-6,558,025","-5,682,669","-5,072,407","-11,161,965","-15,124,049","-5,683,231","-6,101,975","-5,814,251","-4,091,390","-7,482,625","-15,745,434","-7,085,921","-16,580,132",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"739,880",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-8,538,414",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"-97,471","-120,856","-1,679,171","-50,686","-2,747,881",-,"157,169","7,583","-10,930","168,359","6,465,932",-,-,"437,107","3,815,548","16,437,629",-,-,"5,992",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-411,629",-,-,-,"-1,119,583","-2,108,703","-54,739","-5,313,176","-5,169,951",-,-,-,-,-,-,-,"-19,726,436",Upgrade,Financials in USD,Fiscal year is January - December
