Fiscal Quarter,Q1 2024,Q1 2023,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q4 2019,Q3 2019,Q1 2019,Q4 2018,Q3 2018,Q1 2018,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Mar '18 Mar 31, 2018",,
Revenue,"42,850","31,549","49,360","46,777","22,318","22,318","14,400","19,375","120,950","15,906","11,656","28,903",-,"189,000","150,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),91.997%,41.361%,242.778%,141.430%,-81.548%,40.312%,23.542%,-32.965%,-,-91.584%,-92.229%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"25,139","14,513","19,117","22,918","13,843","13,843","9,241","14,134","64,779","8,998","7,345","13,969",-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"17,711","17,036","30,243","23,859","8,476","8,476","5,159","5,241","56,171","6,908","4,311","14,934",-,"189,000","150,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","70,094","40,556","217,671","291,354","1,331,072","1,331,072","2,163,112","1,742,637","149,768","-39,244","114,231","176,434","179,205","99,172","85,179",Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,"2,299","2,750","3,344","3,344","2,535","7,265",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"70,094","40,556","233,540","307,402","1,334,416","1,334,416","2,165,647","1,749,902","149,768","-228,244","114,231","365,434","-27,228","117,978","103,995",Financials in USD,Fiscal year is January - December
Operating Income,"-52,383","-23,520","-203,297","-283,543","-1,325,941","-1,325,941","-2,160,488","-1,744,661","-93,597","235,152","-109,920","-350,500","27,228","71,022","46,005",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,"-69,914",-,-,"-7,362",-,"-1,220",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,"12,580",-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,"42,829","-268,297",83,"-69,567",655,-550,"-7,702",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-52,383","-23,520","-203,297","-283,543","-1,325,941","-1,325,941","-2,160,488","-1,744,661","-120,682","-33,145","-109,837","-427,429","40,463","69,252","38,303",Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,-,"-1,240,390",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,"-189,000",-,"8,764","-2,799,452","22,995",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-52,383","-23,520","-203,297","-283,543","-1,325,941","-1,325,941","-2,160,488","-1,744,661","-1,361,072","-222,145","-109,837","-418,665","-2,758,989","92,247","38,303",Financials in USD,Fiscal year is January - December
Net Income,"-52,383","-23,520","-203,297","-283,543","-1,325,941","-1,325,941","-2,160,488","-1,744,661","-1,361,072","-222,145","-109,837","-418,665","-2,758,989","92,247","38,303",Financials in USD,Fiscal year is January - December
