Fiscal Year,TTM,FY 2011,FY 2010,FY 2009,Currency,Fiscal_Year_period
Period Ending,"Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Dec '10 Dec 31, 2010","Dec '09 Dec 31, 2009",,
Revenue,"259,711","265,771","222,073","465,740",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),26.958%,19.677%,-52.318%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"129,661","133,062","148,542","227,064",Financials in USD,Fiscal year is January - December
Gross Profit,"130,050","132,709","73,531","238,676",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","908,279","888,663","751,981","500,334",Financials in USD,Fiscal year is January - December
Operating Expenses,"908,279","888,663","751,981","500,334",Financials in USD,Fiscal year is January - December
Operating Income,"-778,229","-755,954","-678,450","-261,658",Financials in USD,Fiscal year is January - December
Interest Expense,"-201,104","-204,597","-178,380","-1,067",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,30,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-979,333","-960,551","-856,830","-262,695",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"22,292",Financials in USD,Fiscal year is January - December
Pretax Income,"-979,333","-960,551","-856,830","-240,403",Financials in USD,Fiscal year is January - December
Net Income,"-979,333","-960,551","-856,830","-240,403",Financials in USD,Fiscal year is January - December
Net Income to Common,"-979,333","-960,551","-856,830","-240,403",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"80,825","80,612","45,867",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"80,825","80,612","45,867",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),22.724%,75.752%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-12.117,-11.916,-18.681,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-12.117,-11.916,-18.681,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-907,630","-1,078,230","-670,076","-268,293",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-11.230,-13.376,-14.609,-,Financials in USD,Fiscal year is January - December
Gross Margin,50.075%,49.934%,33.111%,51.247%,Financials in USD,Fiscal year is January - December
Operating Margin,-299.652%,-284.438%,-305.508%,-56.181%,Financials in USD,Fiscal year is January - December
Profit Margin,-377.086%,-361.421%,-385.833%,-51.617%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-349.477%,-405.699%,-301.737%,-57.606%,Financials in USD,Fiscal year is January - December
EBITDA,"-694,978","-672,704","-531,762",-,Financials in USD,Fiscal year is January - December
EBITDA Margin,-267.597%,-253.114%,-239.454%,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"83,251","83,250","146,688",-,Financials in USD,Fiscal year is January - December
EBIT,"-778,229","-755,954","-678,450","-261,658",Financials in USD,Fiscal year is January - December
EBIT Margin,-299.652%,-284.438%,-,-56.181%,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"19,103","8,057",-,Financials in USD,Fiscal year is January - December
