Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2016,Currency,Fiscal_Year_period
Period Ending,"Apr '24 Apr 30, 2024","Apr '24 Apr 30, 2024","Apr '23 Apr 30, 2023","Apr '22 Apr 30, 2022","Apr '21 Apr 30, 2021","Apr '20 Apr 30, 2020",2019 - 2016,,
Cost of Revenue,-,-,-,"467,570","1,408,000","164,000",Upgrade,Financials in USD,Fiscal year is May - April
Gross Profit,-,-,-,"-467,570","-1,408,000","-164,000",Upgrade,Financials in USD,Fiscal year is May - April
"Selling, General & Admin","39,756","39,756","49,063","143,650","262,549","75,284",Upgrade,Financials in USD,Fiscal year is May - April
Operating Expenses,"89,756","89,756","49,063","350,350","792,549","192,554",Upgrade,Financials in USD,Fiscal year is May - April
Operating Income,"-89,756","-89,756","-49,063","-817,920","-2,200,549","-356,554",Upgrade,Financials in USD,Fiscal year is May - April
Interest Expense,"-33,572","-33,572","-41,601","-78,618","-37,638","-2,475",Upgrade,Financials in USD,Fiscal year is May - April
Other Non Operating Income (Expenses),-,-,"-50,000","75,516","-85,775",-,Upgrade,Financials in USD,Fiscal year is May - April
EBT Excluding Unusual Items,"-123,328","-123,328","-140,664","-821,022","-2,323,962","-359,029",Upgrade,Financials in USD,Fiscal year is May - April
Pretax Income,"-123,328","-123,328","-140,664","-821,022","-2,323,962","-359,029",Upgrade,Financials in USD,Fiscal year is May - April
Net Income,"-123,328","-123,328","-140,664","-821,022","-2,323,962","-359,029",Upgrade,Financials in USD,Fiscal year is May - April
Net Income to Common,"-123,328","-123,328","-140,664","-821,022","-2,323,962","-359,029",Upgrade,Financials in USD,Fiscal year is May - April
Shares Outstanding (Basic),"11,485,320","11,485,320","11,444,845","10,139,985","8,283,502","4,104,900",Upgrade,Financials in USD,Fiscal year is May - April
Shares Outstanding (Diluted),"11,485,320","11,485,320","11,444,845","10,139,985","8,283,502","4,104,900",Upgrade,Financials in USD,Fiscal year is May - April
Shares Change (YoY),6.516%,0.354%,12.868%,22.412%,101.795%,3915.240%,Upgrade,Financials in USD,Fiscal year is May - April
EPS (Basic),-0.011,-0.011,-0.012,-0.081,-0.281,-0.087,Upgrade,Financials in USD,Fiscal year is May - April
EPS (Diluted),-0.011,-0.011,-0.012,-0.081,-0.281,-0.087,Upgrade,Financials in USD,Fiscal year is May - April
Free Cash Flow,"-62,689","-62,689","-53,509","-116,720","-193,206","-124,834",Upgrade,Financials in USD,Fiscal year is May - April
Free Cash Flow Per Share,-0.005,-0.005,-0.005,-0.012,-0.023,-0.030,Upgrade,Financials in USD,Fiscal year is May - April
EBIT,"-89,756","-89,756","-49,063","-817,920","-2,200,549","-356,554",Upgrade,Financials in USD,Fiscal year is May - April
