Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+20 Quarters,,
Revenue,-,-,-,610,"7,516","57,526",-,"50,348","96,382","261,046","123,737","219,251","268,389","271,101","156,272","119,299","236,811","260,092","41,624","119,321",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-98.788%,-92.202%,-77.963%,-,-77.036%,-64.089%,-3.709%,-20.819%,83.783%,13.335%,4.233%,275.437%,-0.018%,2.313%,-52.024%,-84.943%,-69.803%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,"50,036","134,438",473,-,-,-,-,-,-,82,357,609,108,195,238,"6,126","22,825",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,"-49,426","-126,922","57,053",-,"50,348","96,382","261,046","123,737","219,251","268,307","270,744","155,663","119,191","236,616","259,854","35,498","96,496",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,301,725","1,321,433","1,154,447","1,303,681","1,037,450","1,255,666","1,762,256","2,317,285","1,469,375","1,432,610","2,230,745","1,748,680","1,788,934","1,329,591","1,827,754","1,165,797","1,519,496","1,861,600","1,728,516","343,661",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"829,613","1,106,265","1,267,453","1,890,113","1,186,419","1,723,988","1,169,254","1,372,314","1,048,786","1,498,056","1,222,754","1,271,141","1,377,998","1,281,779","999,269","1,725,484","1,801,558","1,070,642","740,583","854,437",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,131,338","2,427,698","2,421,900","3,193,794","2,223,869","2,979,654","2,931,510","3,689,599","2,518,161","2,930,666","3,453,499","3,019,821","3,166,932","2,611,370","2,827,023","2,891,281","3,321,054","2,932,242","2,469,099","1,198,098",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-2,131,338","-2,427,698","-2,421,900","-3,243,220","-2,350,791","-2,922,601","-2,931,510","-3,639,251","-2,421,779","-2,669,620","-3,329,762","-2,800,570","-2,898,625","-2,340,626","-2,671,360","-2,772,090","-3,084,438","-2,672,388","-2,433,601","-1,101,602",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-98,000","-160,716","-263,195",-,"-121,000","-83,596","-3,662","-2,000","-3,000","-1,000","-2,875","-2,000",-,"-2,000","-3,000","-2,000","-1,000","-2,000","-4,000","-32,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"27,486",-,-,"526,702","1,544",-,-,-,186,"2,000",-,-,-,"17,000","1,000","4,000","12,000","4,000","13,000","18,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,"-30,000",-,-,-,"7,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-21,488","-110,714","1,209,234","-48,110","8,422",-262,"-4,299","-10,912","2,800","-5,420",-255,"-20,555",-713,7,-248,"-1,781",-666,"-3,590",-287,"2,926",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,223,340","-2,729,128","-1,475,861","-2,764,628","-2,461,825","-2,999,459","-2,939,471","-3,652,163","-2,421,793","-2,674,040","-3,332,892","-2,823,125","-2,899,338","-2,325,619","-2,673,608","-2,771,871","-3,074,104","-2,673,978","-2,424,888","-1,112,676",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"750,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-469,"45,000",-,-,"-47,774",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,"-32,000","771,000",-,"-763,000","-3,246,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-185,056",-,-,-,-,-,-,-,-,"366,000",-,-,-,-,-,-,-,-,"-2,126,182",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,255,340","-1,393,184","-1,476,330","-3,482,628","-5,707,825","-2,999,459","-2,987,245","-3,652,163","-2,421,793","-2,674,040","-2,966,892","-2,823,125","-2,899,338","-2,325,619","-2,673,608","-2,771,871","-3,074,104","-2,673,978","-2,424,888","-3,238,858",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,"16,043",-,-,-,-,-,-,-,-,-168,876,"-75,083",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-2,255,340","-1,393,184","-1,476,330","-3,482,628","-5,707,825","-2,999,459","-2,987,245","-3,652,163","-2,437,836","-2,674,040","-2,966,892","-2,823,125","-2,899,338","-2,325,619","-2,673,608","-2,771,871","-3,074,104","-2,673,810","-2,425,764","-3,163,775",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,"7,425,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,632,"-3,297","3,387",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-2,255,340","6,031,816","-1,476,330","-3,482,628","-5,707,825","-2,999,459","-2,987,245","-3,652,163","-2,437,836","-2,674,040","-2,966,892","-2,823,125","-2,899,338","-2,325,619","-2,673,608","-2,771,871","-3,074,104","-2,673,178","-2,429,061","-3,160,388",Upgrade,Financials in USD,Fiscal year is January - December
