Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"54,258","9,286",-,"1,300",-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"25,347","5,450",-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"28,911","3,836",-,"1,300",-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,010,431","384,806","490,985","328,891","117,180","136,307",Financials in USD,Fiscal year is January - December
Operating Expenses,"1,041,972","394,569","500,042","335,402","119,930","136,307",Financials in USD,Fiscal year is January - December
Operating Income,"-1,013,061","-390,733","-500,042","-334,102","-119,930","-136,307",Financials in USD,Fiscal year is January - December
Interest Expense,"-51,499","-12,654","-109,819",-183,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,889,249",17,"-14,609",-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,953,809","-403,370","-624,470","-334,285","-119,930","-136,307",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,"-17,986",Financials in USD,Fiscal year is January - December
Pretax Income,"-2,953,809","-403,370","-624,470","-334,285","-119,930","-154,293",Financials in USD,Fiscal year is January - December
Net Income,"-2,953,809","-403,370","-624,470","-334,285","-119,930","-154,293",Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,953,809","-403,370","-624,470","-334,285","-119,930","-154,293",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"25,876,085","23,448,090","23,072,184","11,697,659",-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"25,876,085","23,448,090","23,072,184","11,697,659",-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),8.229%,1.629%,97.238%,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.114,-0.017,-0.027,-0.029,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.114,-0.017,-0.027,-0.029,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-184,244","-349,486","-693,376","-221,492","-155,349","-195,196",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.007,-0.015,-0.030,-0.019,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,53.284%,41.309%,-,100.000%,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-1867.118%,-4207.764%,-,-25700.154%,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-5444.006%,-4343.851%,-,-25714.231%,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-339.570%,-3763.580%,-,-17037.846%,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-1,003,339","-380,970","-490,985","-327,591","-117,180",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"9,722","9,763","9,057","6,511","2,750",-,Financials in USD,Fiscal year is January - December
EBIT,"-1,013,061","-390,733","-500,042","-334,102","-119,930","-136,307",Financials in USD,Fiscal year is January - December
