Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"63,821,000","53,938,000","30,100,588","38,961,936","48,187,000","44,665,000","27,554,710","26,171,539","28,256,835","16,473,247","12,170,142","18,360,442","17,171,852","18,674,277","15,240,281","16,939,792","13,307,759","11,562,723","6,449,327",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),32.444%,20.761%,9.239%,48.871%,70.532%,171.137%,126.412%,42.543%,64.553%,-11.786%,-20.145%,8.386%,29.036%,61.504%,136.308%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"30,379,000","25,264,000","17,574,471","20,332,018","22,176,000","20,293,000","14,980,859","16,778,564","19,530,882","16,219,430","10,465,613","18,725,078","14,824,559","10,079,539","9,798,285","10,141,424","8,362,072","6,029,804","4,985,843",Financials in USD,Fiscal year is January - December
Gross Profit,"33,442,000","28,674,000","12,526,117","18,629,918","26,011,000","24,372,000","12,573,851","9,392,975","8,725,953","253,817","1,704,529","-364,636","2,347,293","8,594,738","5,441,996","6,798,368","4,945,687","5,532,919","1,463,484",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","15,935,000","19,908,000","17,668,090","15,818,842","17,448,000","16,252,000","13,538,239","16,464,276","14,250,102","13,652,701","12,324,911","16,751,813","10,572,593","7,557,158","6,490,566","6,131,312","5,390,018","5,298,735","4,867,578",Financials in USD,Fiscal year is January - December
Operating Expenses,"19,666,000","23,631,000","21,383,634","19,364,289","21,124,000","19,822,000","17,374,629","19,880,633","17,690,605","16,489,813","14,932,405","19,272,871","11,356,075","8,295,560","7,215,020","6,857,704","6,091,370","5,915,849","5,398,983",Financials in USD,Fiscal year is January - December
Operating Income,"13,776,000","5,043,000","-8,857,517","-734,371","4,887,000","4,550,000","-4,800,778","-10,487,658","-8,964,652","-16,235,996","-13,227,876","-19,637,507","-9,008,782","299,178","-1,773,024","-59,336","-1,145,683","-382,930","-3,935,499",Financials in USD,Fiscal year is January - December
Interest Expense,"-2,255,000","-2,593,000","-2,205,458","-3,033,293","-2,159,000","-2,547,000","-2,080,294","-2,167,939","-2,672,243","-1,570,779","-1,197,529","-543,500","-11,665","-1,171,282","-1,010,428","-790,569","-622,710","-491,216","-363,069",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,34,35,-,-,"45,034","55,961",35,472,-,"16,172","16,443","16,136","16,086",-,"41,166","64,492","98,341",Financials in USD,Fiscal year is January - December
