Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2016,,
Revenue,"75,609,000","97,435,000","107,664,000","104,566,000","57,635,000","19,032,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-27.503%,-9.501%,2.963%,81.428%,202.832%,405.364%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"48,712,000","51,543,000","56,239,000","55,170,000","21,124,000","10,851,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"26,897,000","45,892,000","51,425,000","49,396,000","36,511,000","8,181,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","46,702,000","63,407,000","56,272,000","48,087,000","43,668,000","31,669,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"49,016,000","66,527,000","58,939,000","63,270,000","53,035,000","40,745,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-22,119,000","-20,635,000","-7,514,000","-13,874,000","-16,524,000","-32,564,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-10,576,000","-13,805,000","-12,614,000","-13,704,000","-15,779,000","-5,559,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"18,000","3,000","32,000","15,000","77,000","85,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,"19,000","-57,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"15,590,000","-2,854,000","9,466,000","647,000","602,000","5,654,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-17,087,000","-37,291,000","-10,630,000","-26,916,000","-31,605,000","-32,441,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,"-212,000","-1,022,000",-,-,"-2,353,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,"-13,400,000","-138,908,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,"-759,000","-529,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"1,219,000","-149,000","-228,000",-,"3,345,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-6,484,000",-,"-3,348,000","-6,295,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,"-3,000","-250,000","3,768,000",-,"2,500,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-13,066,000","29,000","7,400,000","-1,210,000","824,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-28,934,000","-37,626,000","-11,214,000","-24,358,000","-44,943,000","-178,026,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"6,274,000","7,092,000","10,077,000","13,931,000","15,049,000","966,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-35,208,000","-44,718,000","-21,291,000","-38,289,000","-59,992,000","-178,992,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"-1,195,000","-46,914,000","-25,586,000",-,"12,987,000","-3,133,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-36,403,000","-91,632,000","-46,877,000","-38,289,000","-47,005,000","-182,125,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,"-15,000","-21,000","-20,000","-46,000","115,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-36,403,000","-91,647,000","-46,898,000","-38,309,000","-47,051,000","-182,010,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-36,403,000","-91,647,000","-46,898,000","-38,309,000","-47,051,000","-182,010,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"829,136,805","649,692,245","632,951,141","590,998,816","520,563,800","420,306,991",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"829,136,805","649,692,245","632,951,141","590,998,816","520,563,800","420,306,991",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),28.666%,2.645%,7.099%,13.531%,23.853%,23.485%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.044,-0.141,-0.074,-0.065,-0.090,-0.433,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.044,-0.141,-0.074,-0.065,-0.090,-0.433,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-474,000","-5,197,000","7,623,000","-8,095,000","-27,916,000","-48,300,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.001,-0.008,0.012,-0.014,-0.054,-0.115,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,35.574%,47.100%,47.764%,47.239%,63.349%,42.985%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-29.254%,-21.178%,-6.979%,-13.268%,-28.670%,-171.101%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-48.146%,-94.060%,-43.560%,-36.636%,-81.636%,-956.337%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-0.627%,-5.334%,7.080%,-7.742%,-48.436%,-253.783%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-17,030,000","-15,075,000","-2,400,000","-7,238,000","-12,463,000","-28,393,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-22.524%,-15.472%,-2.229%,-6.922%,-21.624%,-149.185%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,089,000","5,560,000","5,114,000","6,636,000","4,061,000","4,171,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-22,119,000","-20,635,000","-7,514,000","-13,874,000","-16,524,000","-32,564,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-29.254%,-21.178%,-6.979%,-13.268%,-28.670%,-171.101%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"75,609,000","97,435,000","107,664,000","104,566,000","57,635,000","19,032,000",Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"14,700,000","19,900,000","20,500,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
