Fiscal Quarter,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014",+20 Quarters,,
Revenue,"340,681","364,022","213,813","234,930","287,103","237,465","23,783","34,046","15,111","15,190","2,110","295,809",120,"1,640","2,055",552,25,-,"2,250",442,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),18.662%,53.295%,799.016%,590.037%,1799.960%,1463.298%,1027.156%,-88.491%,12492.500%,826.220%,2.676%,53488.587%,380.000%,-,-8.667%,24.887%,-46.809%,-,904.464%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"186,892","246,042","90,719","172,898","172,523","134,251",790,272,"14,638","14,804","4,734","274,464",60,"1,585","1,950",340,-,"11,064","2,117","9,284",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"153,789","117,980","123,094","62,032","114,580","103,214","22,993","33,774",473,386,"-2,624","21,345",60,55,105,212,25,"-11,064",133,"-8,842",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","145,697","228,808","314,143","193,767","268,601","91,389","18,358","17,697","28,786","23,359","51,057","15,313","12,335","-17,855","34,272","42,588","64,743","345,961","64,203","71,346",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,48,-,-,-,"4,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"145,697","228,808","314,143","193,767","268,601","91,389","18,358","17,697","28,786","25,234","52,932","15,313","12,335","14,968","34,272","42,588","64,743","349,961","64,203","71,346",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"8,092","-110,828","-191,049","-131,735","-154,021","11,825","4,635","16,077","-28,313","-24,848","-55,556","6,032","-12,275","-14,913","-34,167","-42,376","-64,718","-361,025","-64,070","-80,188",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-1,383","-1,402","-5,720","-5,096",-696,"-99,232","-105,263","-93,402","-16,988","-21,449","-15,086","-28,215","-55,278","-40,503","-40,307","-22,348",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"8,092","-110,828","-191,049","-131,735","-155,404","10,423","-1,085","10,981","-29,009","-124,080","-160,819","-87,370","-29,263","-36,362","-49,253","-70,591","-119,996","-401,528","-104,377","-102,536",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,"19,854","38,277",-,-,-,-,-,"-10,436",-,"20,573",-,"-14,562",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"8,092","-110,828","-191,049","-131,735","-155,404","10,423","18,769","49,258","-29,009","-124,080","-160,819","-87,370","-29,263","-46,798","-49,253","-50,018","-119,996","-416,090","-104,377","-102,536",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"8,092","-110,828","-191,049","-131,735","-155,404","10,423","18,769","49,258","-29,009","-124,080","-160,819","-87,370","-29,263","-46,798","-49,253","-50,018","-119,996","-416,090","-104,377","-102,536",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"25,125","25,125","25,125","25,125","27,125","22,069",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-17,033","-135,953","-216,174","-156,860","-182,529","-11,646","18,769","49,258","-29,009","-124,080","-160,819","-87,370","-29,263","-46,798","-49,253","-50,018","-119,996","-416,090","-104,377","-102,536",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"13,848,630","13,848,630","13,848,630","13,848,630","13,848,630","11,627,949","4,148,101","3,718,155","3,341,930","3,330,111","2,876,993","2,587,301","2,503,370","2,253,446","2,132,753","1,935,471","1,561,916","1,258,562","569,369","470,771",Upgrade,Financials in USD,Fiscal year is January - December
