Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017 - 2016,Currency,Fiscal_Year_period
Period Ending,"Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",2017 - 2016,,
Revenue,"36,919,000","49,721,000","17,501,000","27,762,000","240,031,000","263,701,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),5.640%,184.104%,-36.961%,-88.434%,-8.976%,7.305%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"6,530,000","6,656,000","3,118,000","3,293,000","111,630,000","140,082,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"30,389,000","43,065,000","14,383,000","24,469,000","128,401,000","123,619,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","67,060,000","79,079,000","83,991,000","72,928,000","93,169,000","74,443,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"3,101,000","3,966,000","5,702,000","13,283,000","32,180,000","43,493,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"70,161,000","83,045,000","89,693,000","86,211,000","125,349,000","117,936,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-39,772,000","-39,980,000","-75,310,000","-61,742,000","3,052,000","5,683,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,186,000","-3,110,000","-3,036,000","-4,095,000","-18,211,000","-20,790,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"10,757,000","7,531,000","5,538,000","-48,000","884,000","664,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-30,201,000","-35,559,000","-72,808,000","-65,885,000","-14,275,000","-14,443,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-1,000,000","-2,900,000","-6,000,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,"-86,318,000",Upgrade,Financials in USD,Fiscal year is January - December
