Fiscal Quarter,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters,,
Revenue,"255,821","281,181","599,890","852,729","712,385","11,320,798","2,123,616","4,744,285","619,845","726,294","752,953","619,979","325,980","310,790","268,709","549,913","440,382","264,822","724,632","730,968",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-64.090%,-97.516%,-71.751%,-82.026%,14.930%,1458.707%,182.038%,665.233%,90.148%,133.693%,180.211%,12.741%,-25.978%,17.358%,-62.918%,-24.769%,7.328%,25.481%,131.042%,310.066%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"150,026","160,930","351,153","486,343","435,876","9,850,948","1,864,436","4,103,649","452,298","440,073","424,232","361,228","141,809","153,490","157,461","309,797","228,367","43,576","291,793","230,065",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"105,795","120,251","248,737","366,386","276,509","1,469,850","259,180","640,636","167,547","286,221","328,721","258,751","184,171","157,300","111,248","240,116","212,015","221,246","432,839","500,903",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","234,484","227,700","378,104","490,845","717,225","942,538","681,287","789,843","645,422","671,847","581,795","596,647","401,665","293,238","280,938","332,808","390,993","238,238","396,762","341,147",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"234,484","1,966,633","378,104","498,780","717,225","904,839","737,457","824,117","676,457","731,480","590,113","609,674","417,329","315,818","280,938","352,467","395,496","552,407","396,762","341,147",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-128,689","-1,846,382","-129,367","-132,394","-440,716","565,011","-478,277","-183,481","-508,910","-445,259","-261,392","-350,923","-233,158","-158,518","-169,690","-112,351","-183,481","-331,161","36,077","159,756",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-7,479","-20,555","-28,690","-32,728","-31,634","-110,110",-,"-18,233","-27,123","-28,537","-28,027","-18,629",-180,-,"-1,788",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,"77,381",-,-,-,-,-,-,"1,079",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"3,617","116,950",899,"176,966","9,350","2,534","3,246","30,911","13,858","32,516",938,900,900,"38,914","36,900","10,588","5,934","4,546","10,059","13,267",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-132,551","-1,749,987","-157,158","11,844","-463,000","457,435","-397,650","-170,803","-522,175","-441,280","-288,481","-368,652","-232,438","-118,525","-134,578","-101,763","-177,547","-326,615","46,136","173,023",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,"-1,332,113",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,-,-,-,-,"-350,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,875,"130,186",-,"110,543",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-132,551","-3,082,100","-157,158","11,844","-463,000","457,435","-397,650","-170,803","-522,175","-790,405","-158,295","-368,652","-121,895","-118,525","-134,578","-101,763","-177,547","-326,615","46,136","173,023",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-132,551","-3,082,100","-157,158","11,844","-463,000","457,435","-397,650","-170,803","-522,175","-790,405","-158,295","-368,652","-121,895","-118,525","-134,578","-101,763","-177,547","-326,615","46,136","173,023",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-132,551","-3,082,100","-157,158","11,844","-463,000","457,435","-397,650","-170,803","-522,175","-790,405","-158,295","-368,652","-121,895","-118,525","-134,578","-101,763","-177,547","-326,615","46,136","173,023",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"85,727,938","185,261,630","85,727,938","85,727,938","85,727,938","88,526,014","85,727,938","85,244,422","83,484,049","80,798,710","8,052,395","76,256,839","74,132,938","66,762,056","56,500,827","54,206,866","53,051,982","52,647,119","52,408,963","51,611,448",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"85,727,938","185,261,630","85,727,938","85,727,938","85,727,938","88,526,014","85,727,938","85,244,422","83,484,049","80,798,710","8,052,395","76,256,839","74,132,938","66,762,056","56,500,827","54,206,866","53,051,982","52,647,119","53,106,463","51,611,448",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-,109.274%,-,0.567%,2.688%,9.564%,964.627%,11.786%,12.614%,21.025%,-85.748%,40.677%,39.736%,26.810%,6.392%,5.029%,2.071%,2.297%,3.189%,0.310%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.002,-0.017,-0.002,0.000,-0.005,0.005,-0.005,-0.002,-0.006,-0.010,-0.020,-0.005,-0.002,-0.002,-0.002,-0.002,-0.003,-0.006,0.001,0.003,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.002,-0.017,-0.002,0.000,-0.005,0.005,-0.005,-0.002,-0.006,-0.010,-0.020,-0.005,-0.002,-0.002,-0.002,-0.002,-0.003,-0.006,0.001,0.003,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-11,289","287,754","-159,186","37,194","-247,657","-266,409","-681,816","-2,916,388","3,561,973","-341,983","-272,793","-422,755","-278,248","-205,553","-200,734","-33,422","-88,318","59,285","-32,231","4,121",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,0.002,-0.002,0.000,-0.003,-0.003,-0.008,-0.034,0.043,-0.004,-0.034,-0.006,-0.004,-0.003,-0.004,-0.001,-0.002,0.001,-0.001,0.000,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,41.355%,42.766%,41.464%,42.966%,38.815%,12.984%,12.205%,13.503%,27.030%,39.408%,43.657%,41.735%,56.498%,50.613%,41.401%,43.664%,48.143%,83.545%,59.732%,68.526%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-50.304%,-656.652%,-21.565%,-15.526%,-61.865%,4.991%,-22.522%,-3.867%,-82.103%,-61.306%,-34.716%,-56.602%,-71.525%,-51.005%,-63.150%,-20.431%,-41.664%,-125.050%,4.979%,21.855%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-51.814%,-1096.127%,-26.198%,1.389%,-64.993%,4.041%,-18.725%,-3.600%,-84.243%,-108.827%,-21.023%,-59.462%,-37.393%,-38.137%,-50.083%,-18.505%,-40.317%,-123.334%,6.367%,23.670%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-4.413%,102.338%,-26.536%,4.362%,-34.764%,-2.353%,-32.106%,-61.472%,574.655%,-47.086%,-36.230%,-68.189%,-85.357%,-66.139%,-74.703%,-6.078%,-20.055%,22.387%,-4.448%,0.564%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-57,135","-1,786,218","-69,199","-72,216","-379,445","679,182","-437,435","-148,443","-471,428","-427,507","-192,561","-345,192","-229,910","-155,651","-165,715","-108,256","-180,481","-328,161","37,717","160,687",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-22.334%,-,-11.535%,-8.469%,-53.264%,5.999%,-20.599%,-3.129%,-76.056%,-58.861%,-25.574%,-55.678%,-70.529%,-50.082%,-61.671%,-19.686%,-40.983%,-123.918%,5.205%,21.983%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"71,554","60,164","60,168","60,178","61,271","114,171","40,842","35,038","37,482","17,752","68,831","5,731","3,248","2,867","3,975","4,095","3,000","3,000","1,640",931,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-128,689","-1,846,382","-129,367","-132,394","-440,716","565,011","-478,277","-183,481","-508,910","-445,259","-261,392","-350,923","-233,158","-158,518","-169,690","-112,351","-183,481","-331,161","36,077","159,756",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-50.304%,-,-21.565%,-15.526%,-61.865%,4.991%,-22.522%,-3.867%,-82.103%,-61.306%,-34.715%,-56.602%,-71.525%,-51.005%,-63.150%,-20.431%,-41.664%,-125.050%,4.979%,21.855%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"255,720","281,181","599,890","852,730","712,385","11,320,799","2,123,616","4,744,285","619,845","726,294","752,953","619,979","325,980","310,790","268,709","549,913","440,382","264,822","724,632","730,968",Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,"2,448",-,-,-,"30,991",-,-,-,"19,598",-,-,-,"11,888",-,-,-,"6,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
