Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"188,287,847","160,835,847","84,873,992","63,192,506","48,259,601","16,941,426",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),26.895%,89.500%,34.310%,30.943%,184.862%,88.925%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"95,633,972","79,866,972","64,162,019","47,393,399","29,519,143","8,461,551",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"92,653,875","80,968,875","20,711,973","15,799,107","18,740,458","8,479,875",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","69,328,983","63,055,983","56,691,990","41,372,130","21,687,643","15,464,426",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"84,044,109","77,683,109","68,993,456","46,139,526","24,263,906","16,920,206",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"8,609,766","3,285,766","-48,281,483","-30,340,419","-5,523,448","-8,440,331",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-10,086,733","-9,818,733","-7,608,490","-2,736,875","-2,179,137","-636,762",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,138,"45,138","56,468","64,837","115,572","443,523",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"4,351","-2,101,649","-2,006,639","-1,089,047",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"275,423","-2,314,577","222,959","707,784","-232,375","19,419",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,197,055","-10,904,055","-57,617,185","-33,393,720","-7,819,388","-8,614,151",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-2,261,195","-5,017,471","-479,502",-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-23,767,601","-37,911,601","-5,850,772",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-817,875","-2,126,112","-1,147,968",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-6,090,337",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-14,348,928","-14,902,928",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-4,485,013","-24,399,013","28,379,302","4,031,634","184,057",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-43,798,597","-88,117,597","-37,349,850","-41,287,769","-10,240,945","-9,762,119",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"5,754,382","9,943,382","-4,385,154","2,012,737","6,418,533","972,520",Upgrade,Financials in USD,Fiscal year is January - December
