Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"2,019,621","2,476,185","18,808,544","2,425,204","1,569,794","2,130,735",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-89.315%,-86.835%,675.545%,54.492%,-26.326%,116.902%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,148,452","1,434,302","16,271,331","1,369,056","849,115","791,783",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"871,169","1,041,883","2,537,213","1,056,148","720,679","1,338,952",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,322,227","1,804,968","3,059,090","2,250,240","1,309,839","1,358,647",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,078,181","3,560,922","3,142,870","2,346,881","1,344,719","1,672,816",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-2,207,012","-2,519,039","-605,657","-1,290,733","-624,040","-333,864",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-89,454","-113,609","-78,086","-75,374","-1,786",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"298,612","304,345","50,550","35,883","93,413","32,122",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,997,854","-2,328,303","-633,193","-1,330,224","-532,413","-301,742",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-1,332,113","-1,332,113",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,"-350,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"240,975",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,329,967","-3,660,416","-633,193","-1,439,249","-532,413","-301,742",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-3,329,967","-3,660,416","-633,193","-1,439,249","-532,413","-301,742",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,329,967","-3,660,416","-633,193","-1,439,249","-532,413","-301,742",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"109,911,842","109,911,842","85,727,938","78,387,733","57,548,474","52,468,502",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"109,911,842","109,911,842","85,727,938","78,387,733","57,548,474","52,468,502",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),27.377%,28.210%,9.364%,36.212%,9.682%,1.950%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.030,-0.033,-0.007,-0.018,-0.009,-0.006,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.030,-0.033,-0.007,-0.018,-0.009,-0.006,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"154,473","-81,895","-302,640","-1,315,779","-528,027","-141,384",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.001,-0.001,-0.004,-0.017,-0.009,-0.003,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,43.135%,42.076%,13.490%,43.549%,45.909%,62.840%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-109.279%,-101.731%,-3.220%,-53.222%,-39.753%,-15.669%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-164.881%,-147.825%,-3.367%,-59.345%,-33.916%,-14.161%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,7.649%,-3.307%,-1.609%,-54.254%,-33.637%,-6.635%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-1,954,948","-2,277,258","-378,124","-1,195,171","-610,103","-327,331",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-96.798%,-91.966%,-2.010%,-49.281%,-38.865%,-15.362%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"252,064","241,781","227,533","95,562","13,937","6,533",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-2,207,012","-2,519,039","-605,657","-1,290,733","-624,040","-333,864",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-109.278%,-101.731%,-3.220%,-53.222%,-39.753%,-15.669%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"2,019,520","2,476,185","18,808,545","2,425,204","1,569,794","2,130,735",Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,-,-,"116,122","9,934","32,071",Upgrade,Financials in USD,Fiscal year is January - December
