Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Nov '23 Nov 30, 2023","Aug '23 Aug 31, 2023","Aug '22 Aug 31, 2022","Aug '21 Aug 31, 2021","Aug '20 Aug 31, 2020",,
Revenue,434,434,"6,415","157,311","255,061",Financials in USD,Fiscal year is September - August
Revenue Growth (YoY),-99.535%,-93.235%,-95.922%,-38.324%,-,Financials in USD,Fiscal year is September - August
Cost of Revenue,208,208,"2,500","100,287","205,136",Financials in USD,Fiscal year is September - August
Gross Profit,226,226,"3,915","57,024","49,925",Financials in USD,Fiscal year is September - August
"Selling, General & Admin","483,799","519,153","527,930","543,766","414,962",Financials in USD,Fiscal year is September - August
Research & Development,225,225,"4,740",-,-,Financials in USD,Fiscal year is September - August
Operating Expenses,"484,024","519,378","532,670","543,766","414,962",Financials in USD,Fiscal year is September - August
Operating Income,"-483,798","-519,152","-528,755","-486,742","-365,037",Financials in USD,Fiscal year is September - August
Interest Expense,"-6,765",-,"-91,979","-77,090","-64,665",Financials in USD,Fiscal year is September - August
Interest & Investment Income,-,-,-,"5,723","3,986",Financials in USD,Fiscal year is September - August
Other Non Operating Income (Expenses),"-37,880","-37,880",-,"-32,000",-,Financials in USD,Fiscal year is September - August
EBT Excluding Unusual Items,"-528,443","-557,032","-620,734","-590,109","-425,716",Financials in USD,Fiscal year is September - August
Gain (Loss) on Sale of Assets,"1,700","1,700",-,-,-,Financials in USD,Fiscal year is September - August
Other Unusual Items,"134,187","134,187","9,442","24,174",-,Financials in USD,Fiscal year is September - August
Pretax Income,"-392,556","-421,145","-611,292","-565,935","-425,716",Financials in USD,Fiscal year is September - August
Earnings From Continuing Operations,"-392,556","-421,145","-611,292","-565,935","-425,716",Financials in USD,Fiscal year is September - August
Earnings From Discontinued Operations,"-134,187",-,"18,335",-,"62,443",Financials in USD,Fiscal year is September - August
Net Income,"-526,743","-421,145","-592,957","-565,935","-363,273",Financials in USD,Fiscal year is September - August
Net Income to Common,"-526,743","-421,145","-592,957","-565,935","-363,273",Financials in USD,Fiscal year is September - August
Shares Outstanding (Basic),"96,290,941","84,229,000","49,413,083","28,296,750","21,285,800",Financials in USD,Fiscal year is September - August
Shares Outstanding (Diluted),"96,290,941","84,229,000","49,413,083","28,296,750","21,285,800",Financials in USD,Fiscal year is September - August
Shares Change (YoY),211.083%,70.459%,74.625%,32.937%,-,Financials in USD,Fiscal year is September - August
EPS (Basic),-0.005,-0.005,-0.012,-0.020,-0.017,Financials in USD,Fiscal year is September - August
EPS (Diluted),-0.006,-0.005,-0.012,-0.020,-0.017,Financials in USD,Fiscal year is September - August
Free Cash Flow,"162,767","172,375","-609,091","716,824","-1,855,025",Financials in USD,Fiscal year is September - August
Free Cash Flow Per Share,0.002,0.002,-0.012,0.025,-0.087,Financials in USD,Fiscal year is September - August
Gross Margin,52.074%,52.074%,61.029%,36.249%,19.574%,Financials in USD,Fiscal year is September - August
Operating Margin,-111474.194%,-119620.276%,-8242.479%,-309.414%,-143.118%,Financials in USD,Fiscal year is September - August
Profit Margin,-121369.355%,-97038.018%,-9243.289%,-359.756%,-142.426%,Financials in USD,Fiscal year is September - August
Free Cash Flow Margin,37503.917%,39717.742%,-9494.793%,455.673%,-727.287%,Financials in USD,Fiscal year is September - August
EBIT,"-483,798","-519,152","-528,755","-486,742","-365,037",Financials in USD,Fiscal year is September - August
EBIT Margin,-,-,-,-,-143.118%,Financials in USD,Fiscal year is September - August
