Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"347,000","246,000","141,000","165,000","110,000","113,000","142,000","13,624,000","7,988,000","7,201,000","7,212,000","6,892,000","8,676,000","10,545,000","9,389,000","2,296,000","1,729,000","1,749,000","1,878,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),215.455%,117.699%,-0.704%,-98.789%,-98.623%,-98.431%,-98.031%,97.678%,-7.930%,-31.712%,-23.187%,200.174%,401.793%,502.916%,399.947%,-,40.341%,54.642%,348.210%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"585,000","538,000","492,000","162,000","139,000","3,232,000","2,722,000","2,373,000","983,000","1,063,000","714,000",-,-,-,"770,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-238,000","-292,000","-351,000","3,000","-29,000","-3,119,000","-2,580,000","11,251,000","7,005,000","6,138,000","6,498,000","6,892,000","8,676,000","10,545,000","8,619,000","2,296,000","1,729,000","1,749,000","1,878,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,664,000","2,061,000","6,056,000","2,145,000","1,245,000","18,216,000","13,528,000","6,831,000","3,104,000","2,803,000","2,851,000","2,749,000","6,092,000","2,901,000","2,968,000","7,120,000","4,042,000","3,611,000","3,518,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,523,000","1,489,000","2,370,000","3,007,000","808,000","3,527,000","3,281,000","3,761,000","3,683,000","7,838,000","6,651,000","10,783,000","10,007,000","9,727,000","5,357,000","47,199,000","6,951,000","24,963,000","4,873,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,000","-5,000","-1,000","-3,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"7,383,000","3,776,000","8,579,000","5,305,000","2,206,000","21,951,000","17,016,000","10,817,000","7,012,000","10,870,000","9,734,000","13,767,000","16,335,000","12,867,000","8,563,000","54,548,000","11,075,000","28,521,000","8,611,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-7,621,000","-4,068,000","-8,930,000","-5,302,000","-2,235,000","-25,070,000","-19,596,000","434,000","-7,000","-4,732,000","-3,236,000","-6,875,000","-7,659,000","-2,322,000","56,000","-52,252,000","-9,346,000","-26,772,000","-6,733,000",-,Upgrade,Financials in USD,Fiscal year is January - December
