Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"565,751,000","518,590,000","405,926,000","332,381,000","143,732,000","12,032,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),15.334%,27.755%,22.127%,131.251%,1094.581%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"380,871,000","361,900,000","258,319,000","196,409,000","82,818,000","8,744,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"184,880,000","156,690,000","147,607,000","135,972,000","60,914,000","3,288,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","152,026,000","129,431,000","122,425,000","106,024,000","44,867,000","25,831,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"185,691,000","158,965,000","136,520,000","116,060,000","52,781,000","29,409,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-811,000","-2,275,000","11,087,000","19,912,000","8,133,000","-26,121,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-42,119,000","-36,984,000","-32,436,000","-63,989,000","-12,993,000","-6,477,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,730,000","25,843,000","756,000","256,000","7,000","23,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-41,200,000","-13,416,000","-20,593,000","-43,821,000","-4,853,000","-32,575,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-224,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"11,000","226,000","-345,000","-605,000","-286,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,"-5,000,000","-36,511,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-1,570,000","-13,044,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-41,189,000","-14,760,000","-39,206,000","-80,937,000","-5,139,000","-32,575,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"46,357,000","33,454,000","41,693,000","41,720,000","18,702,000","667,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-87,546,000","-48,214,000","-80,899,000","-122,657,000","-23,841,000","-33,242,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,"-1,598,000","1,347,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-87,546,000","-48,214,000","-80,899,000","-122,657,000","-25,439,000","-31,895,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-87,546,000","-48,214,000","-80,899,000","-122,657,000","-25,439,000","-31,895,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"210,792,500","199,154,000","183,381,000","149,434,000","95,165,000","87,289,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"210,792,500","199,154,000","183,381,000","149,434,000","95,165,000","87,289,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),8.394%,8.601%,22.717%,57.026%,9.023%,-4.338%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.415,-0.242,-0.441,-0.821,-0.267,-0.365,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.415,-0.242,-0.441,-0.821,-0.267,-0.370,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"29,048,000","51,086,000","-119,998,000","-130,166,000","-32,423,000","-82,599,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.138,0.257,-0.654,-0.871,-0.341,-0.946,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,32.679%,30.215%,36.363%,40.908%,42.380%,27.327%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-0.143%,-0.439%,2.731%,5.991%,5.658%,-217.096%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-15.474%,-9.297%,-19.929%,-36.903%,-17.699%,-265.085%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,5.134%,9.851%,-29.562%,-39.162%,-22.558%,-686.494%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"33,483,000","28,482,000","27,098,000","30,607,000","16,047,000","-22,609,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,5.918%,5.492%,6.676%,9.208%,11.165%,-187.907%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"34,294,000","30,757,000","16,011,000","10,695,000","7,914,000","3,512,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-811,000","-2,275,000","11,087,000","19,912,000","8,133,000","-26,121,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-0.143%,-0.439%,2.731%,5.991%,5.658%,-217.096%,Upgrade,Financials in USD,Fiscal year is January - December
