Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,-,675,"11,994","7,201","15,649","2,339","3,376","3,984","3,337","4,322","5,533","3,851","5,342","6,065","4,518","3,731","4,439","3,502","4,655","1,155",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-71.142%,255.273%,80.748%,368.954%,-45.882%,-38.984%,3.454%,-37.533%,-28.739%,22.466%,3.216%,20.342%,73.187%,-2.943%,223.030%,113.825%,-32.276%,203.851%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"60,000","21,596","8,393","4,502","10,999",849,"1,396","2,954","1,337","2,169","3,590","2,709","2,227","2,713","2,022","2,127","3,388","3,355","1,362","2,790",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-60,000","-20,921","3,601","2,699","4,650","1,490","1,980","1,030","2,000","2,153","1,943","1,142","3,115","3,352","2,496","1,604","1,051",147,"3,293","-1,635",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","61,941","54,055","51,492","75,298","59,220","56,762","20,286","27,648","74,569","121,629","143,032","137,168","131,385","49,329","30,613","19,430","25,711","27,115","48,522","56,203",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"61,941","54,055","53,433","64,483","96,863","57,439","20,955","28,332","79,045","145,450","176,199","178,876","175,968","74,954","216,388","19,430","25,711","73,379","141,901","83,797",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-121,941","-74,976","-49,832","-61,784","-92,213","-55,949","-18,975","-27,302","-77,045","-143,297","-174,256","-177,734","-172,853","-71,602","-213,892","-17,826","-24,660","-73,232","-138,608","-85,432",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-9,697","-17,969","-54,615","-38,950","-20,625","-52,253","-51,063","-89,549","-94,106","-75,367","-30,099","-130,602","-64,543","-15,833","-61,416","-51,611","-66,213","-58,921","-53,583","-53,569",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"93,989","-72,072","-202,260","-316,056","261,488","-35,705","-217,139","88,564","-105,143","-5,067","-162,755","94,201","203,303","-219,294","-168,429","-96,040","77,082","-297,933","-45,371","42,934",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-37,649","-165,017","-306,707","-416,790","148,650","-143,907","-287,177","-28,287","-276,294","-223,731","-367,110","-214,135","-34,093","-306,729","-443,737","-165,477","-13,791","-430,086","-237,562","-96,067",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-11,-11,-10,-10,10,-31,-106,-21,-148,-423,"-2,517","2,834",53,328,-349,-360,-529,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-18,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"148,500","-161,700",-,-,-,-,-,-,-,-,-,"-51,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-37,649","-183,017","-306,707","-268,301","-13,061","-143,917","-287,187","-28,277","-276,325","-223,837","-367,131","-214,283","-34,516","-309,246","-491,903","-165,424","-13,463","-430,435","-237,922","-96,596",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-37,649","-183,017","-306,707","-268,301","-13,061","-143,917","-287,187","-28,277","-276,325","-223,837","-367,131","-214,283","-34,516","-309,246","-491,903","-165,424","-13,463","-430,435","-237,922","-96,596",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-37,649","-183,017","-306,707","-268,301","-13,061","-143,917","-287,187","-28,277","-276,325","-223,837","-367,131","-214,283","-34,516","-309,246","-491,903","-165,424","-13,463","-430,435","-237,922","-96,596",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,985,838","2,985,838","3,267,502","2,626,232","2,433,331","1,472,462","891,440","637,327","297,777","225,149","179,025","133,031","112,727","110,107","93,827","68,946","69,313","66,075","63,129","62,989",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,985,838","2,985,838","3,267,502","2,626,232","2,433,331","1,472,462","891,440","637,327","297,777","225,149","179,025","133,031","112,727","110,107","93,827","68,946","69,313","66,075","63,129","62,989",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),22.706%,102.779%,266.542%,312.070%,717.166%,553.994%,397.942%,379.082%,164.158%,104.482%,90.803%,92.950%,62.635%,66.639%,48.627%,9.457%,11.134%,6.771%,-16.277%,3.515%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.013,-0.061,-0.094,-0.102,-0.005,-0.098,-0.322,-0.044,-0.928,-0.994,-2.051,-1.611,-0.306,-2.809,-5.243,-2.399,-0.194,-6.514,-3.769,-1.534,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.013,-0.061,-0.094,-0.102,-0.005,-0.098,-0.322,-0.044,-0.928,-0.994,-2.051,-1.611,-0.306,-2.809,-5.243,-2.399,-0.194,-6.514,-3.769,-1.534,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-56,342","-51,456","-41,181","-91,296","-56,149","-56,867","-19,461","-27,504","-61,541","-77,057","-61,157","-35,403","-33,174","-29,713","-60,361","-9,862","-34,481","-20,232","-42,314","-76,400",Upgrade,Financials in USD,Fiscal year is January - December
