Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Revenue,-,"70,000",-,-,"1,740,855",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,"70,000",-,-,"1,740,855",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","445,815","573,726","4,853,664","5,467,266","5,023,142","2,938,726",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"12,207","61,143","756,910","3,658,617","4,302,447","1,372,151",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"458,022","634,869","5,610,574","9,125,883","9,325,589","4,310,877",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-458,022","-564,869","-5,610,574","-9,125,883","-7,584,734","-4,310,877",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-863,632","-1,044,786","-2,971,046","-2,002,813","-1,998,321","-749,479",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-40,551","-152,828","675,635","292,149","-45,051","191,643",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,362,205","-1,762,483","-7,905,985","-10,836,547","-9,628,106","-4,868,713",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-3,200,000","-6,083,146","-4,111,079",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"12,706","12,706",-,-,-,"-1,769,300",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"16,951,477",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-366,571","-373,142","-257,810","319,257","-343,700",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,916,070","-8,206,065","4,676,603","-10,517,290","-9,971,806","-6,638,013",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-4,916,070","-8,206,065","4,676,603","-10,517,290","-9,971,806","-6,638,013",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"257,089","302,972","418,378","1,126,248","469,204",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-4,658,981","-7,903,093","5,094,981","-9,391,042","-9,502,602","-6,638,013",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,658,981","-7,903,093","5,094,981","-9,391,042","-9,502,602","-6,638,013",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"402,308,526","396,165,575","384,075,369","303,078,548","88,099,787","59,958,406",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"402,308,526","396,165,575","457,299,890","303,078,548","88,099,787","59,958,406",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.814%,-13.369%,50.885%,244.017%,46.935%,877.108%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.012,-0.020,0.013,-0.031,-0.108,-0.111,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.012,-0.020,0.010,-0.031,-0.108,-0.111,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,009,004","-1,321,047","-1,452,562","-4,434,465","-2,812,001","-2,280,690",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.003,-0.003,-0.003,-0.015,-0.032,-0.038,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,100.000%,-,-,100.000%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-806.956%,-,-,-435.690%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-11290.133%,-,-,-545.858%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-1887.210%,-,-,-161.530%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,"-552,028","-5,597,733","-9,064,370","-7,220,522","-4,250,220",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,"12,841","12,841","61,513","364,212","60,657",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-458,022","-564,869","-5,610,574","-9,125,883","-7,584,734","-4,310,877",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,"70,000",-,-,"1,740,855",-,Upgrade,Financials in USD,Fiscal year is January - December
