Fiscal Year,TTM,FY 2023,FY 2004,FY 2003,FY 2002,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Dec '23 Dec 31, 2023","Dec '04 Dec 31, 2004","Dec '03 Dec 31, 2003","Dec '02 Dec 31, 2002",,
Revenue,-,-,"197,359","759,923","414,737",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-74.029%,83.230%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,"149,167","434,074","276,868",Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"48,192","325,849","137,869",Financials in USD,Fiscal year is January - December
"Selling, General & Admin",750,750,"4,303,766","831,944","594,478",Financials in USD,Fiscal year is January - December
Research & Development,-,-,"1,783,072","69,190",-,Financials in USD,Fiscal year is January - December
Operating Expenses,750,750,"6,086,838","901,134","594,478",Financials in USD,Fiscal year is January - December
Operating Income,-750,-750,"-6,038,646","-575,285","-456,609",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-58,304","-20,000",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,"3,990",70,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,"-1,237,127",-,140,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,-750,-750,"-7,330,087","-595,215","-456,469",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-1,277,490",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,-750,-750,"-8,607,577","-595,215","-456,469",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"2,505","1,700","1,700",Financials in USD,Fiscal year is January - December
Net Income,-750,-750,"-8,610,082","-596,915","-458,169",Financials in USD,Fiscal year is January - December
Net Income to Common,-750,-750,"-8,610,082","-596,915","-458,169",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"87,899,861","87,899,861","23,808,399","14,580,009",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"87,899,861","87,899,861","23,808,399","14,580,009",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),269.197%,269.197%,63.295%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.000,-0.000,-0.362,-0.041,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.000,-0.000,-0.362,-0.041,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,-750,-750,"-3,987,536","-314,363","20,682",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.000,-0.167,-0.022,-,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,24.418%,42.879%,33.242%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-3059.727%,-75.703%,-110.096%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-4362.650%,-78.549%,-110.472%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-2020.448%,-41.368%,4.987%,Financials in USD,Fiscal year is January - December
EBITDA,-,-,"-5,917,501","-558,225","-449,256",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-73.458%,-108.323%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,"121,145","17,060","7,353",Financials in USD,Fiscal year is January - December
EBIT,-750,-750,"-6,038,646","-575,285","-456,609",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-75.703%,-110.096%,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,"197,359","759,923",-,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,-,"13,961","8,316",-,Financials in USD,Fiscal year is January - December
