Fiscal Year,TTM,FY 2023,FY 2022,FY 2020,FY 2019,FY 2018,2017 - 2013,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",2017 - 2013,,
Revenue,"37,781,229","42,777,633","38,410,674","40,226,865","29,357,546","33,824,495",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-1.639%,11.369%,-4.515%,37.024%,-13.206%,-4.977%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"9,767,608","10,697,323","25,112,988","14,578,865","9,137,602","11,036,587",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"28,013,621","32,080,310","13,297,686","25,648,000","20,219,944","22,787,908",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","19,010,690","21,240,231","37,701,592","22,388,410","16,965,085","24,890,452",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"19,144,023","21,273,564","38,263,949","22,562,743","18,460,917","26,781,586",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"8,869,598","10,806,746","-24,966,263","3,085,257","1,759,027","-3,993,678",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-4,190,223","-4,236,149","-6,450,365","-1,234,466","-1,111,934","-1,346,729",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,556","1,616",569,104,414,235,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-12,365","1,517","21,110","457,955","-8,280","-171,938",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-850,716",-,"27,794",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"4,668,566","6,573,730","-31,394,949","1,458,134","639,227","-5,484,316",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,"-7,793,240",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-1,204,167","-47,002","-1,921,897","-924,068",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"252,405",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"4,920,971","6,573,730","-32,599,116","1,411,132","-9,075,910","-6,408,384",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"310,356","234,980","32,172",-,"131,537","-247,694",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"4,610,615","6,338,750","-32,631,288","1,411,132","-9,207,447","-6,160,690",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"4,610,615","6,338,750","-32,631,288","1,411,132","-9,207,447","-6,160,690",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"7,553,726","7,553,726","7,553,726","7,553,700","7,553,208","7,551,485",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"7,553,726","7,553,726","7,553,726","7,553,700","7,553,208","7,551,485",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-,-,0.000%,0.007%,0.023%,0.696%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.610,0.839,-4.320,0.187,-1.219,-0.816,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.610,0.839,-4.320,0.187,-1.219,-0.833,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"1,782,099","421,729","-8,431,439","-1,588,248","2,946,350","1,175,545",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.236,0.056,-1.116,-0.210,0.390,0.156,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,74.147%,74.993%,34.620%,63.758%,68.875%,67.371%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,23.476%,25.263%,-64.998%,7.670%,5.992%,-11.807%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,12.203%,14.818%,-84.954%,3.508%,-31.363%,-18.214%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,4.717%,0.986%,-21.951%,-3.948%,10.036%,3.475%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"8,747,931","10,840,079","-24,626,263","3,185,522","2,970,887","-2,171,614",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,23.154%,25.340%,-64.113%,7.919%,10.120%,-6.420%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"-121,667","33,333","340,000","100,265","1,211,860","1,822,064",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"8,869,598","10,806,746","-24,966,263","3,085,257","1,759,027","-3,993,678",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,23.476%,25.263%,-64.998%,7.670%,5.992%,-11.807%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,6.307%,3.575%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
