Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Apr '24 Apr 30, 2024","Jan '24 Jan 31, 2024","Oct '23 Oct 31, 2023","Jul '23 Jul 31, 2023","Apr '23 Apr 30, 2023","Jan '23 Jan 31, 2023","Oct '22 Oct 31, 2022","Jul '22 Jul 31, 2022","Apr '22 Apr 30, 2022","Jan '22 Jan 31, 2022","Oct '21 Oct 31, 2021","Jul '21 Jul 31, 2021","Apr '21 Apr 30, 2021","Jan '21 Jan 31, 2021","Oct '20 Oct 31, 2020","Jul '20 Jul 31, 2020","Apr '20 Apr 30, 2020","Jan '20 Jan 31, 2020","Oct '19 Oct 31, 2019","Jul '19 Jul 31, 2019",+20 Quarters,,
Revenue,"32,375","28,056","1,311","4,325","5,842","5,919","23,383","29,032","9,662","38,383","26,271","15,807","11,553","2,220",726,"3,705","3,036","6,395",-,-,Upgrade,Financials in USD,Fiscal year is February - January
Revenue Growth (YoY),454.177%,373.999%,-94.393%,-85.103%,-39.536%,-84.579%,-10.993%,83.665%,-16.368%,1628.964%,3518.595%,326.640%,280.534%,-65.285%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is February - January
Cost of Revenue,"1,420","18,796",722,"2,643","3,038","2,965","12,708","12,479","4,538","9,639","24,622","16,331","10,261","41,032",-,889,"1,023",-,-,-,Upgrade,Financials in USD,Fiscal year is February - January
Gross Profit,"30,955","9,260",589,"1,682","2,804","2,954","10,675","16,553","5,124","28,744","1,649",-524,"1,292","-38,812",726,"2,816","2,013","6,395",-,-,Upgrade,Financials in USD,Fiscal year is February - January
"Selling, General & Admin","45,319","36,618","44,266","60,412","54,286","41,016","57,023","79,176","76,860","169,685","157,034","104,456","105,783","196,956","84,270","82,985","50,531","95,201","180,785","57,703",Upgrade,Financials in USD,Fiscal year is February - January
Operating Expenses,"46,440","43,041","53,317","73,451","74,012","60,743","76,749","98,903","96,586","189,412","176,760","124,576","123,995","210,259","94,945","89,673","50,531","95,201","180,785","57,703",Upgrade,Financials in USD,Fiscal year is February - January
Operating Income,"-15,485","-33,781","-52,728","-71,769","-71,208","-57,789","-66,074","-82,350","-91,462","-160,668","-175,111","-125,100","-122,703","-249,071","-94,219","-86,857","-48,518","-88,806","-180,785","-57,703",Upgrade,Financials in USD,Fiscal year is February - January
Interest Expense,-867,-854,"-2,258",-29,-199,"-15,535","-15,718","-15,076","-15,734","-15,105","-15,105","-15,783","-14,613",-,"-15,105","-46,867","-61,855","-86,746","-38,274","-154,420",Upgrade,Financials in USD,Fiscal year is February - January
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,179",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is February - January
EBT Excluding Unusual Items,"-16,352","-34,635","-54,986","-71,798","-71,407","-73,324","-81,792","-97,426","-107,196","-175,773","-190,216","-140,883","-137,316","-246,892","-109,324","-133,724","-110,373","-175,552","-219,059","-212,123",Upgrade,Financials in USD,Fiscal year is February - January
Other Unusual Items,-,-,-,-,-,"-198,156",-,-,-,-,"11,262",-,-,-,-,"61,421",-,"-35,000",-,"74,325",Upgrade,Financials in USD,Fiscal year is February - January
Pretax Income,"-16,352","-34,635","-54,986","-71,798","-71,407","-271,480","-81,792","-97,426","-107,196","-175,773","-178,954","-140,883","-137,316","-246,892","-109,324","-72,303","-110,373","-210,552","-219,059","-137,798",Upgrade,Financials in USD,Fiscal year is February - January
Income Tax Expense,-,1,-,49,589,"3,523",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is February - January
Net Income,"-16,352","-34,636","-54,986","-71,847","-71,996","-275,003","-81,792","-97,426","-107,196","-175,773","-178,954","-140,883","-137,316","-246,892","-109,324","-72,303","-110,373","-210,552","-219,059","-137,798",Upgrade,Financials in USD,Fiscal year is February - January
Preferred Dividends & Other Adjustments,-,-,-,-,-,"1,140",573,"11,303","2,429","12,763","43,622","24,017","28,860","11,100","15,200","15,500",-,-,-,-,Upgrade,Financials in USD,Fiscal year is February - January
Net Income to Common,"-16,352","-34,636","-54,986","-71,847","-71,996","-276,143","-82,365","-108,729","-109,625","-188,536","-222,576","-164,900","-166,176","-257,992","-124,524","-87,803","-110,373","-210,552","-219,059","-137,798",Upgrade,Financials in USD,Fiscal year is February - January
Shares Outstanding (Basic),"2,917,899,124","2,921,656,391","2,917,899,124","2,917,899,124","2,910,381,521","2,358,867,101","2,300,718,171","2,256,304,645","1,824,868,256","1,735,898,505","1,637,475,687","1,520,800,025","1,503,852,887","1,492,765,422","1,383,565,422","984,251,075","684,755,781","537,320,719","298,801,842","91,865,831",Upgrade,Financials in USD,Fiscal year is February - January
Shares Outstanding (Diluted),"2,917,899,124","2,921,656,391","2,917,899,124","2,917,899,124","2,910,381,521","2,358,867,101","2,300,718,171","2,256,304,645","1,824,868,256","1,735,898,505","1,637,475,687","1,520,800,025","1,503,852,887","1,492,765,422","1,383,565,422","984,251,075","684,755,781","537,320,719","298,801,842","91,865,831",Upgrade,Financials in USD,Fiscal year is February - January
Shares Change (YoY),0.258%,23.858%,26.826%,29.322%,59.484%,35.887%,40.504%,48.363%,21.346%,16.287%,18.352%,54.513%,119.619%,177.816%,363.038%,971.401%,1792.458%,1594.138%,2066.151%,1178.937%,Upgrade,Financials in USD,Fiscal year is February - January
EPS (Basic),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.001,Upgrade,Financials in USD,Fiscal year is February - January
EPS (Diluted),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.001,Upgrade,Financials in USD,Fiscal year is February - January
Free Cash Flow,"-1,299",940,-442,"-2,004","-8,831","1,513","-23,225","-38,863","-92,668","-53,002","-148,560","-102,311","-141,969","-239,167","-116,307","-125,729","-127,665","-112,824","-50,000","-18,783",Upgrade,Financials in USD,Fiscal year is February - January
Free Cash Flow Per Share,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,Upgrade,Financials in USD,Fiscal year is February - January
Gross Margin,95.614%,33.005%,44.928%,38.890%,47.997%,49.907%,45.653%,57.016%,53.032%,74.887%,6.277%,-3.315%,11.183%,-,100.000%,76.005%,66.304%,100.000%,-,-,Upgrade,Financials in USD,Fiscal year is February - January
Operating Margin,-47.830%,-120.406%,-4021.968%,-1659.399%,-1218.898%,-976.330%,-282.573%,-283.653%,-946.616%,-418.592%,-666.556%,-791.422%,-1062.088%,-11219.414%,-12977.824%,-2344.318%,-1598.090%,-1388.679%,-,-,Upgrade,Financials in USD,Fiscal year is February - January
Profit Margin,-50.508%,-123.453%,-4194.203%,-1661.202%,-1232.386%,-4665.366%,-352.243%,-374.514%,-1134.599%,-491.197%,-847.231%,-1043.209%,-1438.380%,-11621.261%,-17152.066%,-2369.852%,-3635.474%,-3292.447%,-,-,Upgrade,Financials in USD,Fiscal year is February - January
Free Cash Flow Margin,-4.012%,3.350%,-33.715%,-46.335%,-151.164%,25.562%,-99.324%,-133.863%,-959.097%,-138.087%,-565.490%,-647.251%,-1228.850%,-10773.288%,-16020.248%,-3393.495%,-4205.040%,-1764.253%,-,-,Upgrade,Financials in USD,Fiscal year is February - January
EBITDA,"-14,364","-27,358","-43,677","-58,730","-51,482","-38,062","-46,348","-62,623","-71,736","-140,941","-155,385","-104,980","-104,491","-235,768","-83,544","-83,513",-,-,-,-,Upgrade,Financials in USD,Fiscal year is February - January
EBITDA Margin,-44.367%,-97.512%,-,-,-,-,-198.212%,-215.703%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is February - January
D&A For EBITDA,"1,121","6,423","9,051","13,039","19,726","19,727","19,726","19,727","19,726","19,727","19,726","20,120","18,212","13,303","10,675","3,344",-,-,-,-,Upgrade,Financials in USD,Fiscal year is February - January
EBIT,"-15,485","-33,781","-52,728","-71,769","-71,208","-57,789","-66,074","-82,350","-91,462","-160,668","-175,111","-125,100","-122,703","-249,071","-94,219","-86,857","-48,518","-88,806","-180,785","-57,703",Upgrade,Financials in USD,Fiscal year is February - January
EBIT Margin,-47.830%,-120.406%,-,-,-,-,-282.573%,-283.652%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is February - January
