Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020",,
Revenue,-,156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,367","54,956","65,988","7,314","10,143","27,806","19,570","15,050","6,339","156,010","6,316","3,300","2,699","2,959","5,754","8,747",160,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,"3,000,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,367","54,956","65,988","7,314","10,143","27,806","19,570","15,050","6,339","3,156,010","6,316","3,300","2,699","2,959","5,754","8,747",160,Financials in USD,Fiscal year is January - December
Operating Income,"-8,367","-54,800","-65,988","-7,314","-10,143","-27,806","-19,570","-15,050","-6,339","-3,156,010","-6,316","-3,300","-2,699","-2,959","-5,754","-8,747",-160,Financials in USD,Fiscal year is January - December
Pretax Income,"-8,367","-54,800","-65,988","-7,314","-10,143","-27,806","-19,570","-15,050","-6,339","-3,156,010","-6,316","-3,300","-2,699","-2,959","-5,754","-8,747",-160,Financials in USD,Fiscal year is January - December
Net Income,"-8,367","-54,800","-65,988","-7,314","-10,143","-27,806","-19,570","-15,050","-6,339","-3,156,010","-6,316","-3,300","-2,699","-2,959","-5,754","-8,747",-160,Financials in USD,Fiscal year is January - December
Net Income to Common,"-8,367","-54,800","-65,988","-7,314","-10,143","-27,806","-19,570","-15,050","-6,339","-3,156,010","-6,316","-3,300","-2,699","-2,959","-5,754","-8,747",-160,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,018,519,500","1,018,519,500","876,090,000","876,090,000","876,090,000","876,090,000","876,090,000","1,187,928,766","740,595,480","740,595,480","396,090,000","396,090,000","396,090,000","396,090,000","396,090,000","396,090,000","396,090,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,018,519,500","1,018,519,500","876,090,000","876,090,000","876,090,000","876,090,000","876,090,000","1,187,928,766","740,595,480","740,595,480","396,090,000","396,090,000","396,090,000","396,090,000","396,090,000","396,090,000","396,090,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),16.257%,16.257%,-,-26.251%,18.295%,18.295%,121.185%,199.914%,86.977%,86.977%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.004,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.004,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"396,437","-373,059","-150,007","-7,314","-10,143","-27,806","-19,570","-15,050","-7,839","-4,510","-6,316","-3,300","-2,699","-2,959","-5,754","-5,747",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-,Financials in USD,Fiscal year is January - December
Gross Margin,-,100.000%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-35128.205%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-35128.205%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-239140.385%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-8,367","-54,800","-65,988","-7,314","-10,143","-27,806","-19,570","-15,050","-6,339","-3,156,010","-6,316","-3,300","-2,699","-2,959","-5,754","-8,747",-160,Financials in USD,Fiscal year is January - December
