Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2021,2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022","Aug '21 Aug 31, 2021","Mar '21 Mar 31, 2021",2020,,
Revenue,-,-,-,"1,240","1,240",-,Upgrade,Financials in USD,Fiscal year is April - March
Cost of Revenue,-,-,-,561,561,-,Upgrade,Financials in USD,Fiscal year is April - March
Gross Profit,-,-,-,679,679,-,Upgrade,Financials in USD,Fiscal year is April - March
"Selling, General & Admin","208,764","569,542","660,250","2,347,398","975,899","1,335,024",Upgrade,Financials in USD,Fiscal year is April - March
Research & Development,"26,071","175,268","711,506","279,912","365,132","387,806",Upgrade,Financials in USD,Fiscal year is April - March
Operating Expenses,"234,835","744,810","1,371,756","2,627,310","1,341,031","1,722,830",Upgrade,Financials in USD,Fiscal year is April - March
Operating Income,"-234,835","-744,810","-1,371,756","-2,626,631","-1,340,352","-1,722,830",Upgrade,Financials in USD,Fiscal year is April - March
Interest Expense,"-28,124","-21,034","-1,643",-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Interest & Investment Income,248,248,-,-,5,9,Upgrade,Financials in USD,Fiscal year is April - March
Currency Exchange Gain (Loss),"24,701","-17,929",-406,-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),-,"198,371",-,-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Pretax Income,"-238,010","-585,154","-1,373,805","-2,626,631","-1,340,347","-1,722,821",Upgrade,Financials in USD,Fiscal year is April - March
Net Income,"-238,010","-585,154","-1,373,805","-2,626,631","-1,340,347","-1,722,821",Upgrade,Financials in USD,Fiscal year is April - March
Net Income to Common,"-238,010","-585,154","-1,373,805","-2,626,631","-1,340,347","-1,722,821",Upgrade,Financials in USD,Fiscal year is April - March
Shares Outstanding (Basic),"40,066,951","40,066,951","39,232,019","38,916,951","34,734,990","34,549,171",Upgrade,Financials in USD,Fiscal year is April - March
Shares Outstanding (Diluted),"40,066,951","40,066,951","39,232,019","38,916,951","34,734,990","34,549,171",Upgrade,Financials in USD,Fiscal year is April - March
Shares Change (YoY),0.688%,2.128%,0.810%,12.040%,0.538%,49.053%,Upgrade,Financials in USD,Fiscal year is April - March
EPS (Basic),-0.006,-0.015,-0.035,-0.067,-0.039,-0.050,Upgrade,Financials in USD,Fiscal year is April - March
EPS (Diluted),-0.006,-0.015,-0.035,-0.067,-0.039,-0.050,Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow,"-98,387","-110,429","-88,541","-25,204","-420,982","-681,259",Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow Per Share,-0.002,-0.003,-0.002,-0.001,-0.012,-0.020,Upgrade,Financials in USD,Fiscal year is April - March
Gross Margin,-,-,-,54.758%,54.758%,-,Upgrade,Financials in USD,Fiscal year is April - March
Operating Margin,-,-,-,-211825.081%,-108092.903%,-,Upgrade,Financials in USD,Fiscal year is April - March
Profit Margin,-,-,-,-211825.081%,-108092.500%,-,Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow Margin,-,-,-,-2032.581%,-33950.161%,-,Upgrade,Financials in USD,Fiscal year is April - March
EBIT,"-234,835","-744,810","-1,371,756","-2,626,631","-1,340,352","-1,722,830",Upgrade,Financials in USD,Fiscal year is April - March
