Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","2,082,494","2,013,443","2,536,373","3,989,780","2,904,321","3,701,365","3,901,002","3,719,601","4,088,445","4,604,679","3,544,594","4,159,196","4,038,050","4,057,592","2,875,342","2,752,251","2,565,402","2,088,401","1,536,491",Financials in USD,Fiscal year is January - December
Research & Development,"647,373","744,023","-959,354","6,005,987","4,880,338","6,124,044","13,346,300","11,136,500","11,837,519","10,448,843","11,987,580","11,331,189","8,124,973","6,012,608","4,175,554","4,913,055","4,209,261","4,272,167","3,631,510",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,729,867","2,757,466","1,577,019","9,995,767","7,784,659","9,825,409","17,247,302","14,856,101","15,925,964","15,053,522","15,532,174","15,490,385","12,163,023","10,070,200","7,050,896","7,665,306","6,774,663","6,360,568","5,168,001",Financials in USD,Fiscal year is January - December
Operating Income,"-2,729,867","-2,757,466","-1,577,019","-9,995,767","-7,784,659","-9,825,409","-17,247,302","-14,856,101","-15,925,964","-15,053,522","-15,532,174","-15,490,385","-12,163,023","-10,070,200","-7,050,896","-7,665,306","-6,774,663","-6,360,568","-5,168,001",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,"-1,106",-101,"-904,119","-938,898","-559,325","-183,682",-989,-671,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"31,870","14,790","45,436","154,900","223,321","274,738","320,306","226,752","84,221","33,093","22,192","19,855","6,851","3,613",157,812,"1,184","18,684","26,178",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,150,671","-434,597","63,726","-13,320","-5,166","-14,406","33,971","-100,031","-19,046","-2,576","-15,616","-19,095","-25,974","2,424,155","-21,592","-384,916","26,636","27,365","20,569",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,547,326","-3,177,273","-1,467,857","-9,854,187","-7,566,504","-9,565,077","-16,893,025","-14,729,380","-15,860,789","-15,023,005","-15,525,598","-15,490,731","-12,182,247","-8,546,551","-8,011,229","-8,608,735","-6,930,525","-6,315,508","-5,121,925",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-3,100,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-779,439","100,000","-690,768",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-100,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"843,619",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,326,765","-3,077,273","-5,358,625","-9,854,187","-7,566,504","-9,565,077","-16,893,025","-14,729,380","-15,860,789","-15,023,005","-15,525,598","-14,647,112","-12,182,247","-8,546,551","-8,011,229","-8,608,735","-6,930,525","-6,315,508","-5,121,925",Financials in USD,Fiscal year is January - December
Net Income,"-2,326,765","-3,077,273","-5,358,625","-9,854,187","-7,566,504","-9,565,077","-16,893,025","-14,729,380","-15,860,789","-15,023,005","-15,525,598","-14,647,112","-12,182,247","-8,546,551","-8,011,229","-8,608,735","-6,930,525","-6,315,508","-5,121,925",Financials in USD,Fiscal year is January - December
