Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jul '24 Jul 31, 2024","Apr '24 Apr 30, 2024","Jan '24 Jan 31, 2024","Oct '23 Oct 31, 2023","Jul '23 Jul 31, 2023","Apr '23 Apr 30, 2023","Jan '23 Jan 31, 2023","Oct '22 Oct 31, 2022","Jul '22 Jul 31, 2022","Apr '22 Apr 30, 2022","Jan '22 Jan 31, 2022","Oct '21 Oct 31, 2021","Jul '21 Jul 31, 2021","Apr '21 Apr 30, 2021","Jan '21 Jan 31, 2021","Jul '12 Jul 31, 2012","Apr '12 Apr 30, 2012","Jan '12 Jan 31, 2012","Oct '11 Oct 31, 2011","Jul '11 Jul 31, 2011",+20 Quarters,,
Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,076,663","23,022,385","28,140,091","18,838,647","12,376,352",Upgrade,Financials in USD,Fiscal year is November - October
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.818%,21.981%,24.376%,12.841%,33.598%,Upgrade,Financials in USD,Fiscal year is November - October
Cost of Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,190,688","10,393,388","10,815,503","8,080,731","4,908,939",Upgrade,Financials in USD,Fiscal year is November - October
Gross Profit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,885,975","12,628,997","17,324,588","10,757,916","7,467,413",Upgrade,Financials in USD,Fiscal year is November - October
"Selling, General & Admin","45,089","2,632,596","45,009","141,253","114,968","178,532","68,325","37,591","19,657","9,471","40,692","31,438","272,065","16,085","5,500","3,198,156","2,632,635","2,637,523","2,895,442","2,793,151",Upgrade,Financials in USD,Fiscal year is November - October
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,900,363","792,097","236,415","1,006,692","1,686,677",Upgrade,Financials in USD,Fiscal year is November - October
Operating Expenses,"45,089","2,632,596","45,009","141,253","114,968","178,532","68,325","37,591","19,657","9,471","40,692","31,438","272,065","16,085","5,500","5,098,519","3,424,732","2,873,938","3,902,134","4,479,828",Upgrade,Financials in USD,Fiscal year is November - October
Operating Income,"-45,089","-2,632,596","-45,009","-141,253","-114,968","-178,532","-68,325","-37,591","-19,657","-9,471","-40,692","-31,438","-272,065","-16,085","-5,500","3,787,456","9,204,265","14,450,650","6,855,782","2,987,585",Upgrade,Financials in USD,Fiscal year is November - October
Interest Expense,"-1,295","-1,250","-1,250","-1,260",-859,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is November - October
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"44,153","32,819","32,107","45,657","34,144",Upgrade,Financials in USD,Fiscal year is November - October
Pretax Income,"-46,384","-2,633,846","-46,259","-142,513","-115,827","-178,532","-68,325","-37,591","-19,657","-9,471","-40,692","-31,438","-272,065","-16,085","-5,500","3,831,609","9,237,084","14,482,757","6,901,439","3,021,729",Upgrade,Financials in USD,Fiscal year is November - October
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"576,071","1,386,963","2,175,525","1,531,550","501,884",Upgrade,Financials in USD,Fiscal year is November - October
Net Income,"-46,384","-2,633,846","-46,259","-142,513","-115,827","-178,532","-68,325","-37,591","-19,657","-9,471","-40,692","-31,438","-272,065","-16,085","-5,500","3,255,538","7,850,121","12,307,232","5,369,889","2,519,845",Upgrade,Financials in USD,Fiscal year is November - October
Net Income to Common,"-46,384","-2,633,846","-46,259","-142,513","-115,827","-178,532","-68,325","-37,591","-19,657","-9,471","-40,692","-31,438","-272,065","-16,085","-5,500","3,255,538","7,850,121","12,307,232","5,369,889","2,519,845",Upgrade,Financials in USD,Fiscal year is November - October
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.196%,10.861%,12.412%,-4.652%,73.030%,Upgrade,Financials in USD,Fiscal year is November - October
Shares Outstanding (Basic),"19,090,078","19,090,078","19,090,078","19,090,078","15,445,078","15,445,078","15,275,078","14,883,665","7,666,944","3,463,806","1,432,290","1,432,290","1,432,290","1,432,288","1,432,288","1,432,288","1,432,288","1,432,288","1,432,288","1,432,288",Upgrade,Financials in USD,Fiscal year is November - October
Shares Outstanding (Diluted),"19,090,078","19,090,078","19,090,078","19,090,078","15,445,078","15,445,078","15,275,078","14,883,665","7,666,944","3,463,806","1,432,290","1,432,290","1,432,290","1,432,288","1,432,288","1,432,288","1,432,288","1,432,443","1,435,595","1,441,303",Upgrade,Financials in USD,Fiscal year is November - October
Shares Change (YoY),23.600%,23.600%,24.975%,28.262%,101.450%,345.899%,966.479%,939.152%,435.293%,141.837%,0.000%,0.000%,0.000%,-0.011%,-0.230%,-0.625%,-1.377%,-1.721%,-1.077%,-1.127%,Upgrade,Financials in USD,Fiscal year is November - October
EPS (Basic),-0.002,-0.138,-0.002,-0.007,-0.007,-0.012,-0.004,-0.003,-0.003,-0.003,-0.028,-0.022,-0.190,-0.011,-0.004,2.273,5.481,8.593,3.749,1.759,Upgrade,Financials in USD,Fiscal year is November - October
EPS (Diluted),-0.002,-0.138,-0.002,-0.007,-0.007,-0.012,-0.004,-0.003,-0.003,-0.003,-0.028,-0.022,-0.190,-0.011,-0.004,2.273,5.460,8.580,3.749,1.759,Upgrade,Financials in USD,Fiscal year is November - October
EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.196%,10.526%,13.793%,-3.901%,73.030%,Upgrade,Financials in USD,Fiscal year is November - October
Free Cash Flow,"-137,736","-95,001","-152,998","-13,582","-38,381","-3,581","-44,071","-39,668","-16,535","-9,471","-40,692","-31,438","-22,065","-16,085","-5,500","9,147,410","10,834,717","3,358,465","-11,504,618","10,218,835",Upgrade,Financials in USD,Fiscal year is November - October
Free Cash Flow Per Share,-0.007,-0.005,-0.008,-0.001,-0.002,-0.000,-0.003,-0.003,-0.002,-0.003,-0.028,-0.022,-0.015,-0.011,-0.004,6.387,7.565,2.345,-8.014,7.090,Upgrade,Financials in USD,Fiscal year is November - October
Gross Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.939%,54.855%,61.565%,57.105%,60.336%,Upgrade,Financials in USD,Fiscal year is November - October
Operating Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.121%,39.980%,51.353%,36.392%,24.139%,Upgrade,Financials in USD,Fiscal year is November - October
