Fiscal Quarter,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018",+20 Quarters,,
Revenue,"15,025,000","16,251,000","15,594,000","17,400,000","11,461,000","18,385,000","13,076,000","12,062,000","13,511,000","14,255,000","11,505,000","11,753,000","9,007,000","7,721,000","13,034,000","5,778,000","6,477,000","6,143,000","6,929,000","4,105,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),31.097%,-11.607%,19.257%,44.255%,-15.173%,28.972%,13.655%,2.629%,50.006%,84.626%,-11.731%,103.409%,39.061%,25.688%,88.108%,40.755%,65.525%,-1.649%,-66.046%,-96.633%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"41,724,000","48,991,000","54,766,000","76,257,000","54,171,000","69,735,000","62,272,000","52,835,000","57,627,000","47,219,000","36,614,000","34,674,000","26,399,000","23,593,000","30,282,000","32,836,000","28,074,000","27,924,000","27,184,000","21,744,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-26,699,000","-32,740,000","-39,172,000","-58,857,000","-42,710,000","-51,350,000","-49,196,000","-40,773,000","-44,116,000","-32,964,000","-25,109,000","-22,921,000","-17,392,000","-15,872,000","-17,248,000","-27,058,000","-21,597,000","-21,781,000","-20,255,000","-17,639,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","48,941,000","54,980,000","39,464,000","50,159,000","48,136,000","44,327,000","54,680,000","48,489,000","50,293,000","43,394,000","41,152,000","24,265,000","24,463,000","26,299,000","25,429,000","25,234,000","27,772,000","25,122,000","22,536,000","20,102,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"50,068,000","56,107,000","40,593,000","51,286,000","49,171,000","45,361,000","55,715,000","49,489,000","51,363,000","44,429,000","42,187,000","25,299,000","25,455,000","27,291,000","26,421,000","26,225,000","28,764,000","26,088,000","23,571,000","20,757,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-76,767,000","-88,847,000","-79,765,000","-110,143,000","-91,881,000","-96,711,000","-104,911,000","-90,262,000","-95,479,000","-77,393,000","-67,296,000","-48,220,000","-42,847,000","-43,163,000","-43,669,000","-53,283,000","-50,361,000","-47,869,000","-43,826,000","-38,396,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,668,000","-1,132,000","-2,219,000","-792,000","-2,314,000","-3,249,000","-2,942,000","-2,900,000","-2,016,000","-2,366,000","-2,493,000","-2,562,000","-8,295,000","-6,806,000","-8,080,000","-9,459,000","-9,520,000","-9,080,000","-8,887,000","-2,684,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"70,000","182,000","305,000","534,000","692,000","219,000",Upgrade,Financials in USD,Fiscal year is January - December
