Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,"744,916","908,389","688,786","668,898","613,541","588,484","614,943","818,619","499,653","469,812","551,654","882,405","379,875","243,886","170,433","135,902","533,099","151,719","455,839","176,762",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),21.413%,54.361%,12.008%,-18.289%,22.793%,25.259%,11.473%,-7.229%,31.531%,92.636%,223.678%,549.295%,-28.742%,60.748%,-62.611%,-23.116%,95.059%,-24.533%,368.618%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"142,456","422,301","280,428","103,230","120,309","303,415","337,102","477,163","68,551","195,556","226,949","834,064","72,250","33,764","41,442","1,411,823","226,532","20,589","196,057","430,629",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"602,460","486,088","408,358","565,668","493,232","285,069","277,841","341,456","431,102","274,256","324,705","48,341","307,625","210,122","128,991","-1,275,921","306,567","131,130","259,782","-253,867",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","517,068","497,994","470,431","887,656","754,026","1,540,942","683,029","538,781","485,568","888,401","370,357","663,620","692,940","464,831","716,087","344,270","437,240","444,318","206,162","327,363",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"517,068","497,994","470,431","887,656","754,026","1,540,942","683,029","538,781","485,568","888,401","370,357","663,620","692,940","464,831","716,087","344,270","437,240","444,318","206,162","327,363",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"85,392","-11,906","-62,073","-321,988","-260,794","-1,255,873","-405,188","-197,325","-54,466","-614,145","-45,652","-615,279","-385,315","-254,709","-587,096","-1,620,191","-130,673","-313,188","53,620","-581,230",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-39,963","-48,748","-42,557","-38,174","-24,502","-25,212","-89,060","-8,660","-11,336","-24,365","-32,957","-3,855","-19,242","-13,597","-15,759",-656,"-10,120","-19,631","-42,476","-30,531",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,"12,627",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
