Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020","Jun '19 Jun 30, 2019",2018 - 2014,,
Operating Revenue,"273,707","204,308","104,648","195,671","5,474",-,Upgrade,Financials in USD,Fiscal year is July - June
Revenue,"273,707","204,308","104,648","195,671","5,474",-,Upgrade,Financials in USD,Fiscal year is July - June
Revenue Growth (YoY),260.882%,95.234%,-46.518%,3474.552%,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Cost of Revenue,"20,655","35,720","1,588,453","144,318","3,369",-,Upgrade,Financials in USD,Fiscal year is July - June
Gross Profit,"253,052","168,588","-1,483,805","51,353","2,105",-,Upgrade,Financials in USD,Fiscal year is July - June
"Selling, General & Admin","773,701","661,232","3,250,293","294,913","48,256","46,771",Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"773,701","661,232","3,250,293","294,913","48,256","46,771",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-520,649","-492,644","-4,734,098","-243,560","-46,151","-46,771",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,"-357,048","-319,705","-190,916","-20,044","-4,965","-4,494",Upgrade,Financials in USD,Fiscal year is July - June
Interest & Investment Income,26,26,5,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Earnings From Equity Investments,-,-,-,"-5,450",-,-,Upgrade,Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),20,"34,983",73,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-877,651","-777,340","-4,924,936","-269,054","-51,116","-51,265",Upgrade,Financials in USD,Fiscal year is July - June
Gain (Loss) on Sale of Investments,-,-,-,-,-,"-12,978",Upgrade,Financials in USD,Fiscal year is July - June
Pretax Income,"-877,651","-777,340","-4,924,936","-269,054","-51,116","-64,243",Upgrade,Financials in USD,Fiscal year is July - June
Income Tax Expense,-,-,-,-,800,800,Upgrade,Financials in USD,Fiscal year is July - June
Earnings From Continuing Operations,"-877,651","-777,340","-4,924,936","-269,054","-51,916","-65,043",Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Company,"-877,651","-777,340","-4,924,936","-269,054","-51,916","-65,043",Upgrade,Financials in USD,Fiscal year is July - June
Minority Interest in Earnings,"4,638","15,920","58,783",-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Net Income,"-873,013","-761,420","-4,866,153","-269,054","-51,916","-65,043",Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Common,"-873,013","-761,420","-4,866,153","-269,054","-51,916","-65,043",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"21,155,087,905","21,093,402,806","21,090,049,276","20,438,554,050","20,236,021,836","20,236,021,836",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"21,155,087,905","21,093,402,806","21,090,049,276","20,438,554,050","20,236,021,836","20,236,021,836",Upgrade,Financials in USD,Fiscal year is July - June
Shares Change (YoY),0.246%,0.016%,3.188%,1.001%,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Basic),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Diluted),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-656,146","-797,322","-1,496,709","-341,912","-39,559","-27,792",Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,Upgrade,Financials in USD,Fiscal year is July - June
Gross Margin,92.454%,82.516%,-,26.244%,38.455%,-,Upgrade,Financials in USD,Fiscal year is July - June
Operating Margin,-190.221%,-241.128%,-4523.830%,-124.474%,-843.095%,-,Upgrade,Financials in USD,Fiscal year is July - June
Profit Margin,-318.959%,-372.682%,-4650.020%,-137.503%,-948.411%,-,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Margin,-239.726%,-390.255%,-1430.232%,-174.738%,-722.671%,-,Upgrade,Financials in USD,Fiscal year is July - June
EBITDA,"-505,860","-482,298","-4,728,193",-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EBITDA Margin,-184.818%,-236.064%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
D&A For EBITDA,"14,789","10,346","5,905",-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EBIT,"-520,649","-492,644","-4,734,098","-243,560","-46,151","-46,771",Upgrade,Financials in USD,Fiscal year is July - June
EBIT Margin,-190.221%,-241.128%,-,-124.474%,-,-,Upgrade,Financials in USD,Fiscal year is July - June
