Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019",2018 - 2014,,
Revenue,-,-,534,"140,055","9,139",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-99.619%,1432.498%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,200,"26,549","7,155",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,334,"113,506","1,984",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","523,619","1,239,361","2,141,632","2,247,619","397,487","169,690",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"465,062","1,263,333","2,176,232","2,354,874","434,987","169,690",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-465,062","-1,263,333","-2,175,898","-2,241,368","-433,003","-169,690",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-588,604","-1,895,650","-1,323,838","-121,901","-191,581","-180,531",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,113,222","1,364,257","631,853",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"59,556","-1,794,726","-2,867,883","-2,363,269","-624,584","-350,221",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"1,380",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"59,556","-1,794,726","-2,867,883","-2,363,269","-624,584","-348,841",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"59,556","-1,794,726","-2,867,883","-2,363,269","-624,584","-348,841",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"59,556","-1,794,726","-2,867,883","-2,363,269","-624,584","-348,841",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"7,948,943","7,746,943","7,629,572","6,647,686","2,400,985","48,160",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"7,948,943","7,746,943","7,629,572","6,647,686","2,400,985","48,160",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.645%,1.538%,14.770%,176.873%,4885.434%,-51.178%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.007,-0.232,-0.376,-0.356,-0.260,-7.243,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.007,-0.232,-0.376,-0.356,-0.260,-7.243,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-250,956","-1,190,864","-2,501,662","-1,985,485","-190,544","-106,663",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.032,-0.154,-0.328,-0.299,-0.079,-2.215,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,62.547%,81.044%,21.709%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-407471.536%,-1600.348%,-4737.969%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-537056.742%,-1687.386%,-6834.271%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-468476.030%,-1417.647%,-2084.955%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-441,090","-1,239,361","-2,141,298","-2,134,113","-395,503","-153,297",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"23,972","23,972","34,600","107,255","37,500","16,393",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-465,062","-1,263,333","-2,175,898","-2,241,368","-433,003","-169,690",Upgrade,Financials in USD,Fiscal year is January - December
