Fiscal Quarter,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,+6 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018",+6 Quarters,,
Revenue,"8,258,000","8,832,000","9,807,000","10,022,000","8,448,000","21,444,000","2,860,000","2,196,000","11,510,000","935,000","1,135,000","25,751,000","234,000","230,000","59,911,000","65,461,000","57,532,000","57,126,000","65,696,401","66,344,845",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-2.249%,-58.814%,242.902%,356.375%,-26.603%,2193.476%,151.982%,-91.472%,4818.803%,306.522%,-98.106%,-60.662%,-99.593%,-99.597%,-8.806%,-1.332%,-19.938%,-4.473%,-13.934%,23.453%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,946,000","2,299,000","-240,000","2,525,000","2,227,000","2,144,000","583,000","1,147,000","709,000","679,000","1,499,000","1,185,000","261,000","234,000","22,470,000","27,312,000","32,644,000","29,203,000","37,586,651","33,356,208",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"6,312,000","6,533,000","10,047,000","7,497,000","6,221,000","19,300,000","2,277,000","1,049,000","10,801,000","256,000","-364,000","24,566,000","-27,000","-4,000","37,441,000","38,149,000","24,888,000","27,923,000","28,109,750","32,988,637",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","13,886,000","16,198,000","17,601,000","19,375,000","18,269,000","23,834,000","22,222,000","24,841,000","19,047,000","16,952,000","18,900,000","21,360,000","14,337,000","18,047,000","21,250,000","24,751,000","25,511,000","21,656,000","22,961,985","17,496,542",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"547,000","626,000","884,000","1,044,000","1,176,000","862,000","1,113,000","1,376,000","852,000","2,204,000","4,019,000","1,779,000","2,953,000","4,422,000","8,770,000","8,285,000","5,360,000","9,764,000","14,579,412","11,920,087",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"14,433,000","16,824,000","18,485,000","20,419,000","19,445,000","24,696,000","23,335,000","26,217,000","19,899,000","19,156,000","22,919,000","23,139,000","17,290,000","22,469,000","30,020,000","33,036,000","30,871,000","31,420,000","37,541,397","29,416,629",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-8,121,000","-10,291,000","-8,438,000","-12,922,000","-13,224,000","-5,396,000","-21,058,000","-25,168,000","-9,098,000","-18,900,000","-23,283,000","1,427,000","-17,317,000","-22,473,000","7,421,000","5,113,000","-5,983,000","-3,497,000","-9,431,647","3,572,008",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-13,000","-26,000","-15,000","-1,132,000","-978,000","-985,000","-1,286,000","-735,000","-494,000","-521,000","-535,000","-1,071,000","-1,239,000","-1,250,000","-4,656,000","-4,504,000","-4,552,000","-4,501,000","-5,394,273","-5,311,330",Upgrade,Financials in USD,Fiscal year is January - December
