Fiscal Quarter,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Currency,Fiscal_Year_period
Period Ending,"Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010","Mar '10 Mar 31, 2010","Dec '09 Dec 31, 2009","Sep '09 Sep 30, 2009","Jun '09 Jun 30, 2009","Mar '09 Mar 31, 2009",,
Revenue,"19,416","30,979","86,730","121,853","25,476","1,016","67,785","110,287","42,985","11,937","123,883","164,960","164,960",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-23.787%,2949.114%,27.949%,10.487%,-40.733%,-91.489%,-45.283%,-33.143%,-73.942%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"10,379","18,632","49,272","50,645","13,780",752,"29,755","66,516","51,519","9,614","92,053","62,698","62,699",Financials in USD,Fiscal year is January - December
Gross Profit,"9,037","12,347","37,458","71,208","11,696",264,"38,030","43,771","-8,534","2,323","31,830","102,261","102,262",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","186,743","259,993","227,286","215,757","167,127","136,438","179,467","225,363","210,713","187,479","172,204","70,325","70,326",Financials in USD,Fiscal year is January - December
Operating Expenses,"186,743","259,993","227,286","215,757","167,127","136,438","179,467","225,363","210,713","187,479","172,204","70,325","70,326",Financials in USD,Fiscal year is January - December
Operating Income,"-177,706","-247,646","-189,828","-144,549","-155,431","-136,174","-141,437","-181,592","-219,247","-185,156","-140,374","31,936","31,936",Financials in USD,Fiscal year is January - December
Interest Expense,"-57,342","-53,094","-44,460","-46,208","-60,835","-41,087","-46,138","-32,096","-41,609","-1,067",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,30,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-235,048","-300,740","-234,288","-190,757","-216,266","-177,261","-187,575","-213,688","-260,856","-186,193","-140,374","31,936","31,936",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,"22,292",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-235,048","-300,740","-234,288","-190,757","-216,266","-177,261","-187,575","-213,688","-260,856","-163,901","-140,374","31,936","31,936",Financials in USD,Fiscal year is January - December
Net Income,"-235,048","-300,740","-234,288","-190,757","-216,266","-177,261","-187,575","-213,688","-260,856","-163,901","-140,374","31,936","31,936",Financials in USD,Fiscal year is January - December
Net Income to Common,"-235,048","-300,740","-234,288","-190,757","-216,266","-177,261","-187,575","-213,688","-260,856","-163,901","-140,374","31,936","31,936",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"80,849","80,852","80,849","80,738","79,999","73,602","71,652","37,396",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"80,849","80,852","80,849","80,738","79,999","73,602","71,652","37,396",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.063%,9.850%,12.836%,115.900%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.907,-3.720,-2.898,-2.363,-2.703,-2.408,-2.618,-5.714,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.907,-3.720,-2.898,-2.363,-2.703,-2.408,-2.618,-5.714,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-91,812","-264,170","-187,489","-364,159","-262,412","-62,545","-75,565","-307,431","-224,535","-206,278","-72,975","5,480","5,480",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.136,-3.267,-2.319,-4.510,-3.280,-0.850,-1.055,-8.221,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,46.544%,39.856%,43.189%,58.438%,45.910%,25.984%,56.104%,39.688%,-19.853%,19.460%,25.694%,61.991%,61.992%,Financials in USD,Fiscal year is January - December
Operating Margin,-915.255%,-799.400%,-218.872%,-118.626%,-610.108%,-13402.953%,-208.655%,-164.654%,-510.055%,-1551.110%,-113.312%,19.360%,19.360%,Financials in USD,Fiscal year is January - December
Profit Margin,-1210.589%,-970.787%,-270.135%,-156.547%,-848.901%,-17446.949%,-276.721%,-193.756%,-606.854%,-1373.050%,-113.312%,19.360%,19.360%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-472.868%,-852.739%,-216.175%,-298.851%,-1030.036%,-6156.004%,-111.477%,-278.755%,-522.357%,-1728.056%,-58.906%,3.322%,3.322%,Financials in USD,Fiscal year is January - December
EBITDA,"-156,893","-226,933","-168,916","-123,736","-134,619","-42,799","-120,624","-168,342","-199,997",-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-194.761%,-101.545%,-,-,-177.951%,-152.640%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"20,813","20,713","20,912","20,813","20,812","93,375","20,813","13,250","19,250",-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-177,706","-247,646","-189,828","-144,549","-155,431","-136,174","-141,437","-181,592","-219,247","-185,156","-140,374","31,936","31,936",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-218.872%,-118.626%,-,-,-208.655%,-164.654%,-,-,-113.312%,19.360%,19.360%,Financials in USD,Fiscal year is January - December
Advertising Expenses,"2,020",-,-,-,"3,830",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
