Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017 - 2013,Currency,Fiscal_Year_period
Period Ending,"Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",2017 - 2013,,
Revenue,"64,270,000","62,839,000","52,904,000","39,986,000","31,432,000","21,193,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),16.891%,18.779%,32.306%,27.214%,48.313%,-86.044%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"221,738,000","254,678,000","219,953,000","121,280,000","119,116,000","84,023,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-157,468,000","-191,839,000","-167,049,000","-81,294,000","-87,684,000","-62,830,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","193,543,000","182,337,000","196,856,000","116,179,000","103,557,000","63,638,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"198,053,000","186,662,000","200,996,000","120,232,000","107,498,000","66,647,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-355,521,000","-378,501,000","-368,045,000","-201,526,000","-195,182,000","-129,477,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-6,811,000","-8,574,000","-10,224,000","-20,157,000","-35,048,000","-57,631,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,"921,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-18,735,000","-18,426,000","-126,000","-5,844,000","-3,909,000","-5,019,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"318,000",-,-,-,"-330,000","-1,243,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,664,000","8,052,000","-1,145,000","6,034,000","-36,995,000","2,686,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-382,413,000","-397,449,000","-379,540,000","-221,493,000","-271,464,000","-189,763,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-72,421,000","-83,919,000","-15,013,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-45,776,000","-124,190,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,"-66,549,000","-64,752,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-4,334,000","102,409,000","-43,893,000","-51,939,000","-16,720,000","-17,733,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-571,493,000","-580,173,000","-462,654,000","-316,424,000","-363,485,000","-218,800,000",Upgrade,Financials in USD,Fiscal year is January - December
