Fiscal Quarter,Q1 2017,Q3 2016,Q2 2016,Q1 2016,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '16 Sep 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011",+3 Quarters,,
Revenue,"80,820","100,295","50,553","40,831","21,744","67,101","26,387","14,889","12,554","13,187","226,953","45,427","65,850","113,816","133,816","25,435","33,850","13,896",-,"-59,574",Upgrade,Financials in USD,Fiscal year is July - June
Revenue Growth (YoY),271.689%,49.469%,91.583%,174.236%,73.204%,408.842%,-88.373%,-67.224%,-80.935%,-88.414%,69.601%,78.600%,94.535%,719.056%,-,-,-43.664%,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Cost of Revenue,"169,082","194,396","229,424","204,792","181,214","215,569","160,057","207,268","141,046","166,914","135,397","242,371","356,363",-,-,-,-,"36,416","3,347","2,812",Upgrade,Financials in USD,Fiscal year is July - June
Gross Profit,"-88,262","-94,101","-178,871","-163,961","-159,470","-148,468","-133,670","-192,379","-128,492","-153,727","91,556","-196,944","-290,513","113,816","133,816","25,435","33,850","-22,520","-3,347","-62,386",Upgrade,Financials in USD,Fiscal year is July - June
"Selling, General & Admin","497,879","512,189","386,606","570,991","5,783,093","964,026","1,294,295","3,163,053","2,272,853","1,111,343","487,852","655,894","626,512","508,563","508,563","1,327,744","2,468,271","47,554","53,780","92,145",Upgrade,Financials in USD,Fiscal year is July - June
Research & Development,-,-,-,-,-,-,-,"-83,230",-,-,-,"-23,098",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"630,933","630,798","519,909","715,204","5,829,788","1,010,430","1,340,652","3,125,576","2,316,627","1,160,578","537,907","680,013","667,012","522,975","522,975","1,327,744","2,468,271","47,554","53,780","92,145",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-719,195","-724,899","-698,780","-879,165","-5,989,258","-1,158,898","-1,474,322","-3,317,955","-2,445,119","-1,314,305","-446,351","-876,957","-957,525","-409,159","-389,159","-1,302,309","-2,434,421","-70,074","-57,127","-154,531",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,"-489,126","-375,242","-323,881","-309,880","-296,292","-133,925","-117,893",-,"-150,758","-2,006,259","-306,923","-130,520","-73,519","-33,576","-33,576","-28,586",-,-,-424,"-1,582",Upgrade,Financials in USD,Fiscal year is July - June
