Fiscal Quarter,Q2 2012,Q1 2012,Q3 2005,Q2 2005,Q1 2005,Q4 2004,Q3 2004,Q2 2004,Q1 2004,Q4 2003,Q3 2003,Q2 2003,Q1 2003,Currency,Fiscal_Year_period
Period Ending,"Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Sep '05 Sep 30, 2005","Jun '05 Jun 30, 2005","Mar '05 Mar 31, 2005","Dec '04 Dec 31, 2004","Sep '04 Sep 30, 2004","Jun '04 Jun 30, 2004","Mar '04 Mar 31, 2004","Dec '03 Dec 31, 2003","Sep '03 Sep 30, 2003","Jun '03 Jun 30, 2003","Mar '03 Mar 31, 2003",,
Revenue,"24,610","24,610","119,843","133,480","160,671","93,160","75,790","4,409","24,000","16,000","163,935","248,535","331,453",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-84.683%,-73.583%,58.125%,2927.444%,569.462%,482.250%,-53.768%,-98.226%,-92.759%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"14,793","14,793","74,316","46,826","152,247","132,441","15,776",-,-,"40,250","60,664",-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"9,817","9,817","45,527","86,654","8,424","-39,281","60,014","4,409","24,000","-24,250","103,271","248,535","331,453",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","55,104","55,104","1,292,200","1,346,854","2,449,732","1,905,529","1,023,349","937,269","421,093","325,422","283,701","305,253","250,727",Financials in USD,Fiscal year is January - December
Research & Development,-,-,"93,454","158,564","279,421","971,938","462,117","338,929","26,814","20,854","16,218","16,218","15,900",Financials in USD,Fiscal year is January - December
Operating Expenses,"55,104","55,104","1,385,654","1,505,418","2,729,153","2,877,467","1,485,466","1,276,198","447,907","346,276","299,919","321,471","266,627",Financials in USD,Fiscal year is January - December
Operating Income,"-45,287","-45,287","-1,340,127","-1,418,764","-2,720,729","-2,916,748","-1,425,452","-1,271,789","-423,907","-370,526","-196,648","-72,936","64,826",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-328,251","-261,553","-20,382","-35,355","-19,602","-3,347",-,-,"-20,777",-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,"3,990",-,-,-,847,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,"-534,933","-705,098","2,542",362,-43,9,11,23,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-45,287","-45,287","-1,668,378","-1,680,317","-2,741,111","-3,483,046","-2,150,152","-1,272,594","-423,545","-369,722","-217,416","-72,925","64,849",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,"10,000",-,-,"-1,287,490",-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-433,194","-1,709,571",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-45,287","-45,287","-2,101,572","-3,389,888","-2,741,111","-3,473,046","-2,150,152","-1,272,594","-1,711,035","-369,722","-217,416","-72,925","64,849",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,"2,505",-,-,-,"1,700",-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-45,287","-45,287","-2,101,572","-3,389,888","-2,741,111","-3,475,551","-2,150,152","-1,272,594","-1,711,035","-371,422","-217,416","-72,925","64,849",Financials in USD,Fiscal year is January - December
Net Income to Common,"-45,287","-45,287","-2,101,572","-3,389,888","-2,741,111","-3,475,551","-2,150,152","-1,272,594","-1,711,035","-371,422","-217,416","-72,925","64,849",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"71,899,861","71,899,861","31,048,625","27,062,137","25,146,846","32,605,860","23,499,567","22,369,396","16,726,901","14,654,103","14,580,009","14,553,824","14,505,092",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"71,899,861","71,899,861","31,048,625","27,062,137","25,146,846","32,605,860","23,499,567","22,369,396","16,726,901","14,654,103","14,580,009","14,553,824","15,285,092",Financials in USD,Fiscal year is January - December
Shares Change (YoY),185.920%,120.512%,32.124%,20.978%,50.338%,122.503%,61.177%,53.701%,9.433%,-,-,-,-,Financials in USD,Fiscal year is January - December
