Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,-,-,-,-,"1,000,000",-,-,-,-,-,-,-,"37,500",-,"4,000,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,"1,000,000",-,-,-,-,-,-,-,"37,500",-,"4,000,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,449,728","1,400,447","1,354,124","839,326","1,352,182","1,564,295","1,486,567","1,218,611","1,443,264","1,524,966","1,298,016","325,819","1,550,821","1,782,390","2,056,255","1,216,265","1,492,139","2,311,330","1,673,754","395,295",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,859,400","1,646,049","1,781,869","1,650,778","794,706","1,735,735","1,476,676","2,012,624","2,454,203","2,564,969","2,111,996","1,777,012","2,088,618","2,527,123","2,145,274","1,797,177","2,237,877","2,199,036","1,250,745","1,828,837",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,309,128","3,046,496","3,135,993","2,490,104","2,146,888","3,300,030","2,963,243","3,231,235","3,897,467","4,089,935","3,410,012","2,102,831","3,639,439","4,309,513","4,201,529","3,013,442","3,730,016","4,510,366","2,924,499","2,224,132",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,309,128","-3,046,496","-3,135,993","-2,490,104","-1,146,888","-3,300,030","-2,963,243","-3,231,235","-3,897,467","-4,089,935","-3,410,012","-2,102,831","-3,601,939","-4,309,513","-201,529","-3,013,442","-3,730,016","-4,510,366","-2,924,499","-2,224,132",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"447,847","435,351","397,510","436,265","437,934","451,420","509,046","427,304","253,755","91,275","37,339","36,467","36,153","34,338","36,668","37,007","37,204","63,691","223,280","247,780",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"9,102","-17,055","-16,035","-2,199","-14,153","-23,210","-463,307","-194,731","-8,472","-30,338","-13,744","-14,213","-13,381","-8,966","-22,938","-10,502","-11,008","-4,554","-12,340","4,924",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,852,179","-2,628,200","-2,754,518","-2,056,038","-723,107","-2,871,820","-2,917,504","-2,998,662","-3,652,184","-4,028,998","-3,386,417","-2,080,577","-3,579,167","-4,284,141","-187,799","-2,986,937","-3,703,820","-4,451,229","-2,713,559","-1,971,428",Upgrade,Financials in USD,Fiscal year is January - December
