Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","24,310,000","23,614,000","24,438,000","11,082,000","1,681,000","1,976,000",Financials in USD,Fiscal year is January - December
Research & Development,"72,107,000","67,829,000","46,986,000","30,152,000","8,464,000","7,937,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"96,417,000","91,443,000","71,424,000","41,234,000","10,145,000","9,913,000",Financials in USD,Fiscal year is January - December
Operating Income,"-96,417,000","-91,443,000","-71,424,000","-41,234,000","-10,145,000","-9,913,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-302,000","-361,000","-26,000","-6,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,945,000","5,881,000","1,411,000",-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"1,483,000","331,000","130,000","319,000","114,000","-43,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-88,989,000","-85,231,000","-70,185,000","-41,276,000","-10,057,000","-9,962,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-26,535,000","-1,985,000","-781,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-88,989,000","-85,231,000","-70,185,000","-67,811,000","-12,042,000","-10,743,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"1,351,000","852,000","1,273,000","68,000",-,-,Financials in USD,Fiscal year is January - December
Net Income,"-90,340,000","-86,083,000","-71,458,000","-67,879,000","-12,042,000","-10,743,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"7,108,000","2,552,000","1,774,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-90,340,000","-86,083,000","-71,458,000","-74,987,000","-14,594,000","-12,517,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"65,942,290","43,539,976","28,815,267","4,335,629","177,200","177,200",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"65,942,290","43,539,976","28,815,267","4,335,629","177,200","177,200",Financials in USD,Fiscal year is January - December
Shares Change (YoY),92.745%,51.100%,564.616%,2346.743%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.370,-1.977,-2.480,-17.296,-82.359,-70.638,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.370,-1.977,-2.480,-17.296,-82.359,-70.638,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-85,662,000","-72,060,000","-60,419,000","-40,799,000","-9,956,000","-8,891,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.299,-1.655,-2.097,-9.410,-56.185,-50.175,Financials in USD,Fiscal year is January - December
EBITDA,"-96,169,000","-91,228,000","-71,320,000","-41,232,000",-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"248,000","215,000","104,000","2,000",-,-,Financials in USD,Fiscal year is January - December
EBIT,"-96,417,000","-91,443,000","-71,424,000","-41,234,000","-10,145,000","-9,913,000",Financials in USD,Fiscal year is January - December
