Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","1,955,123","1,827,105","2,724,431","2,079,346","2,608,907","2,543,504","828,095","114,944","321,058","105,083",Financials in USD,Fiscal year is July - June
Research & Development,"469,748","484,750","119,720","1,350,173","1,349,957","1,115,402","184,802","253,521","193,297","192,933",Financials in USD,Fiscal year is July - June
Operating Expenses,"2,424,871","2,311,855","2,844,151","3,429,519","3,958,864","3,658,906","1,012,897","368,465","514,355","298,016",Financials in USD,Fiscal year is July - June
Operating Income,"-2,424,871","-2,311,855","-2,844,151","-3,429,519","-3,958,864","-3,658,906","-1,012,897","-368,465","-514,355","-298,016",Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),"-125,962","125,962","-114,279","114,279",-89,89,"-34,617","34,617",-,-,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-2,550,833","-2,185,893","-2,958,430","-3,315,240","-3,958,953","-3,658,817","-1,047,514","-333,848","-514,355","-298,016",Financials in USD,Fiscal year is July - June
Other Unusual Items,"373,505",-,"211,342",-,"23,215",-,"34,617",-,-,-,Financials in USD,Fiscal year is July - June
Pretax Income,"-2,177,328","-2,185,893","-2,747,088","-3,315,240","-3,935,738","-3,658,817","-1,012,897","-333,848","-514,355","-298,016",Financials in USD,Fiscal year is July - June
Earnings From Continuing Operations,"-2,177,328","-2,185,893","-2,747,088","-3,315,240","-3,935,738","-3,658,817","-1,012,897","-333,848","-514,355","-298,016",Financials in USD,Fiscal year is July - June
Minority Interest in Earnings,"-57,887","119,271","103,337","87,862","81,247","67,365",-,-,-,-,Financials in USD,Fiscal year is July - June
Net Income,"-2,235,215","-2,066,622","-2,643,751","-3,227,378","-3,854,491","-3,591,452","-1,012,897","-333,848","-514,355","-298,016",Financials in USD,Fiscal year is July - June
Net Income to Common,"-2,235,215","-2,066,622","-2,643,751","-3,227,378","-3,854,491","-3,591,452","-1,012,897","-333,848","-514,355","-298,016",Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"13,012,866","13,012,866","13,012,866","13,012,866","13,021,576","12,589,838","10,000,000","10,000,000","10,000,000","10,000,000",Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"13,012,866","13,012,866","13,012,866","13,012,866","13,021,576","12,589,838","10,000,000","10,000,000","10,000,000","10,000,000",Financials in USD,Fiscal year is July - June
Shares Change (YoY),-,-,-0.067%,3.360%,30.216%,25.898%,-,-,-,-,Financials in USD,Fiscal year is July - June
EPS (Basic),-0.172,-0.159,-0.203,-0.248,-0.296,-0.285,-0.101,-0.033,-0.051,-0.030,Financials in USD,Fiscal year is July - June
EPS (Diluted),-0.172,-0.159,-0.203,-0.248,-0.296,-0.285,-0.101,-0.033,-0.051,-0.030,Financials in USD,Fiscal year is July - June
Free Cash Flow,-,-,-,-,-,-,"-378,274","-389,037","-476,394","-368,016",Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-,-,-,-,-,-,-0.038,-0.039,-0.048,-0.037,Financials in USD,Fiscal year is July - June
EBITDA,"-2,265,659","-2,165,287","-2,626,090","-3,354,445","-3,821,945","-3,645,678","-999,778","-355,128","-802,855",-,Financials in USD,Fiscal year is July - June
D&A For EBITDA,"159,212","146,568","218,061","75,074","136,919","13,228","13,119","13,337",-,-,Financials in USD,Fiscal year is July - June
EBIT,"-2,424,871","-2,311,855","-2,844,151","-3,429,519","-3,958,864","-3,658,906","-1,012,897","-368,465","-514,355","-298,016",Financials in USD,Fiscal year is July - June
