Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"243,569,000","235,637,000","228,031,000","253,155,000","225,110,000","272,260,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),6.300%,3.336%,-9.924%,12.458%,-17.318%,8.474%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"74,806,000","62,682,000","55,093,000","63,701,000","39,374,000","36,815,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"168,763,000","172,955,000","172,938,000","189,454,000","185,736,000","235,445,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","83,100,000","89,308,000","91,978,000","116,294,000","118,488,000","140,456,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"52,639,000","50,382,000","52,240,000","71,870,000","97,650,000","132,851,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"135,739,000","139,690,000","144,218,000","188,164,000","216,138,000","273,307,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"33,024,000","33,265,000","28,720,000","1,290,000","-30,402,000","-37,862,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-13,185,000","-13,330,000","-11,592,000","-12,807,000","-14,046,000","-15,019,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,217,000","2,605,000","813,000","160,000","489,000","2,847,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"400,000","400,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"835,000","359,000","-28,000","292,000","367,000","126,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"25,291,000","23,299,000","17,913,000","-11,065,000","-43,592,000","-49,908,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,"2,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-625,000","-625,000",-,-,-,"-1,183,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,"-12,456,000","-9,591,000","-16,196,000","-16,350,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"2,000,000","-8,146,000",-,"-8,103,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"24,666,000","22,674,000","457,000","-28,802,000","-59,788,000","-75,542,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"1,425,000","1,083,000","455,000","324,000","207,000","53,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"23,241,000","21,591,000","2,000","-29,126,000","-59,995,000","-75,595,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"23,241,000","21,591,000","2,000","-29,126,000","-59,995,000","-75,595,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,525.262%,1079450.000%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"48,275,420","47,134,331","44,674,501","40,638,852","39,576,107","38,768,653",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"48,771,773","47,550,852","44,929,998","40,638,852","39,576,107","38,768,653",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),3.485%,5.833%,10.559%,2.685%,2.083%,2.178%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.481,0.458,0.000,-0.717,-1.516,-1.950,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.466,0.450,0.000,-0.720,-1.520,-1.950,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,492.792%,1022625.000%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"33,681,000","26,869,000","-22,827,000","20,650,000","727,000","22,070,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.691,0.565,-0.508,0.508,0.018,0.569,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,69.287%,73.399%,75.840%,74.837%,82.509%,86.478%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,13.558%,14.117%,12.595%,0.510%,-13.505%,-13.907%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,9.542%,9.163%,0.001%,-11.505%,-26.651%,-27.766%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,13.828%,11.403%,-10.010%,8.157%,0.323%,8.106%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"44,596,000","44,784,000","38,560,000","12,595,000","-20,369,000","-29,785,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,18.309%,19.006%,16.910%,4.975%,-9.048%,-10.940%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"11,572,000","11,519,000","9,840,000","11,305,000","10,033,000","8,077,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"33,024,000","33,265,000","28,720,000","1,290,000","-30,402,000","-37,862,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,13.558%,14.117%,12.595%,0.509%,-13.505%,-13.906%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,5.777%,4.776%,99.562%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"243,569,000","235,637,000","228,031,000","253,155,000","225,110,000","272,260,000",Upgrade,Financials in USD,Fiscal year is January - December
