Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","3,186,000","3,203,000","3,813,000","3,549,000","3,919,000","5,393,000","5,804,000","5,703,000","4,751,000","4,319,000","5,032,000","3,457,000","3,873,000","3,886,000","4,604,000","2,521,000","1,788,000","1,311,000","1,908,000","982,000",Financials in USD,Fiscal year is January - December
Research & Development,"4,637,000","4,584,000","4,917,000","4,493,000","3,818,000","4,784,000","5,204,000","7,345,000","9,190,000","6,393,000","7,455,000","5,956,000","6,443,000","5,898,000","3,365,000","2,556,000","3,576,000","2,858,000","2,195,000","2,425,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"7,823,000","7,787,000","8,730,000","8,042,000","7,737,000","10,177,000","11,008,000","13,048,000","13,941,000","10,712,000","12,487,000","9,413,000","10,316,000","9,784,000","7,969,000","5,077,000","5,364,000","4,169,000","4,103,000","3,407,000",Financials in USD,Fiscal year is January - December
Operating Income,"-7,823,000","-7,787,000","-8,730,000","-8,042,000","-7,737,000","-10,177,000","-11,008,000","-13,048,000","-13,941,000","-10,712,000","-12,487,000","-9,413,000","-10,316,000","-9,784,000","-7,969,000","-5,077,000","-5,364,000","-4,169,000","-4,103,000","-3,407,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-21,000","-24,000","-28,000","-31,000","-33,000","-38,000","-42,000",-,"-10,000","-172,000","-243,000","-306,000","-214,000","-147,000","-3,000","-54,000","-3,000","-3,000","-1,629,000","-1,396,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"591,000","669,000","768,000","826,000","877,000","952,000","969,000","815,000","515,000","349,000","310,000","334,000","278,000","188,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,"-116,000","-1,123,000","-225,000","68,000","-348,000","217,000","20,000",-,"197,000","634,000",-,-,-,-,-,-,"995,000","-1,902,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-7,253,000","-7,142,000","-8,106,000","-8,370,000","-7,118,000","-9,195,000","-10,429,000","-12,016,000","-13,416,000","-10,535,000","-12,223,000","-8,751,000","-10,252,000","-9,743,000","-7,972,000","-5,131,000","-5,367,000","-4,172,000","-4,737,000","-6,705,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-100,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"114,000","1,056,000",-,-,"348,000","-216,000",-,-,"-182,000","-615,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,"-6,000","-191,000","-96,000",-,-,-,-,-,-,"-28,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,"567,000",-,-,-,-,-,"45,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-7,253,000","-7,142,000","-7,992,000","-7,414,000","-7,124,000","-9,386,000","-10,177,000","-12,232,000","-13,416,000","-10,535,000","-12,405,000","-9,366,000","-9,685,000","-9,771,000","-7,972,000","-5,131,000","-5,367,000","-4,910,000","-4,692,000","-6,705,000",Financials in USD,Fiscal year is January - December
Net Income,"-7,253,000","-7,142,000","-7,992,000","-7,414,000","-7,124,000","-9,386,000","-10,177,000","-12,232,000","-13,416,000","-10,535,000","-12,405,000","-9,366,000","-9,685,000","-9,771,000","-7,972,000","-5,131,000","-5,367,000","-4,910,000","-4,692,000","-6,705,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"104,000","951,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-7,253,000","-7,142,000","-7,992,000","-7,414,000","-7,124,000","-9,386,000","-10,177,000","-12,232,000","-13,416,000","-10,535,000","-12,405,000","-9,366,000","-9,685,000","-9,771,000","-7,972,000","-5,131,000","-5,367,000","-4,910,000","-4,796,000","-7,656,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"25,147,999","25,104,439","25,049,111","24,983,019","25,514,115","30,507,018","30,866,087","30,742,655","30,720,291","30,701,758","30,647,679","30,632,509","30,588,495","30,588,495","18,904,853","1,843,461","1,787,124","1,625,011","1,199,550","367,629",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"25,147,999","25,104,439","25,049,111","24,983,019","25,514,115","30,507,018","30,866,087","30,742,655","30,720,291","30,701,758","30,647,679","30,632,509","30,588,495","30,588,495","18,904,853","1,843,461","1,787,124","1,625,011","1,199,550","367,629",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-1.435%,-17.709%,-18.846%,-18.735%,-16.947%,-0.634%,0.713%,0.360%,0.431%,0.370%,62.115%,1561.685%,1611.605%,1782.356%,1475.995%,401.446%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.288,-0.284,-0.319,-0.297,-0.279,-0.308,-0.330,-0.398,-0.437,-0.343,-0.405,-0.306,-0.317,-0.319,-0.422,-2.783,-3.003,-3.022,-3.998,-20.825,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.288,-0.284,-0.319,-0.297,-0.279,-0.308,-0.330,-0.398,-0.437,-0.343,-0.405,-0.306,-0.317,-0.319,-0.422,-2.783,-3.003,-3.022,-3.998,-20.825,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,470,000","-5,901,000","-7,653,000","-6,163,000","-4,661,000","-9,492,000","-11,887,000","-9,574,000","-7,053,000","-11,951,000","-10,769,000","-8,403,000","-5,965,000","-6,663,000","-11,254,000","-2,996,000","-6,634,000","-2,769,000","-6,512,000","-1,695,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.218,-0.235,-0.306,-0.247,-0.183,-0.311,-0.385,-0.311,-0.230,-0.389,-0.351,-0.274,-0.195,-0.218,-0.595,-1.625,-3.712,-1.704,-5.429,-4.611,Financials in USD,Fiscal year is January - December
EBITDA,"-7,491,000","-7,459,000","-8,399,000","-7,713,000","-7,405,000","-9,845,000","-10,650,000","-12,697,000","-13,599,000","-10,392,000","-12,153,000","-9,084,000","-10,180,000","-9,662,000","-7,871,000","-5,007,000","-5,300,000","-4,117,000","-4,080,000","-3,384,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"332,000","328,000","331,000","329,000","332,000","332,000","358,000","351,000","342,000","320,000","334,000","329,000","136,000","122,000","98,000","70,000","64,000","52,000","23,000","23,000",Financials in USD,Fiscal year is January - December
EBIT,"-7,823,000","-7,787,000","-8,730,000","-8,042,000","-7,737,000","-10,177,000","-11,008,000","-13,048,000","-13,941,000","-10,712,000","-12,487,000","-9,413,000","-10,316,000","-9,784,000","-7,969,000","-5,077,000","-5,364,000","-4,169,000","-4,103,000","-3,407,000",Financials in USD,Fiscal year is January - December
