Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2016,,
Revenue,"187,361,000","163,914,000","110,248,000","49,590,000","20,435,000","2,722,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),22.724%,48.678%,122.319%,142.672%,650.735%,12.340%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"34,924,000","28,645,000","22,634,000","13,318,000","9,328,000","1,603,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"152,437,000","135,269,000","87,614,000","36,272,000","11,107,000","1,119,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","160,910,000","146,095,000","136,257,000","116,061,000","73,732,000","63,061,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"25,850,000","22,341,000","20,966,000","25,160,000","18,921,000","60,438,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"197,603,000","179,279,000","168,066,000","141,771,000","92,653,000","123,499,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-45,166,000","-44,010,000","-80,452,000","-105,499,000","-81,546,000","-122,380,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-29,800,000","-26,609,000","-14,102,000","-7,180,000","-10,660,000","-7,163,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,255,000","3,488,000","2,762,000","726,000","1,465,000","2,813,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"5,000","1,000","1,760,000","-702,000","-9,000","692,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-70,706,000","-67,130,000","-90,032,000","-112,655,000","-90,750,000","-126,038,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-1,488,000","-9,657,000","-2,000,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"1,263,000","1,263,000","-184,000","-413,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,"1,500,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"3,826,000","2,363,000","-4,380,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-65,617,000","-63,504,000","-96,084,000","-122,725,000","-91,250,000","-126,038,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-2,504,000","-1,249,000","-1,424,000",-,"-110,000","-458,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-63,113,000","-62,255,000","-94,660,000","-122,725,000","-91,140,000","-125,580,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-63,113,000","-62,255,000","-94,660,000","-122,725,000","-91,140,000","-125,580,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"144,004,104","137,674,857","135,628,721","79,027,062","42,642,901","26,110,297",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"144,004,104","137,674,857","135,628,721","79,027,062","42,642,901","26,110,297",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),5.005%,1.509%,71.623%,85.323%,63.318%,116.755%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.438,-0.452,-0.698,-1.553,-2.137,-4.810,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.438,-0.452,-0.698,-1.553,-2.137,-4.810,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-32,265,000","-49,286,000","-103,415,000","-96,620,000","-80,935,000","-105,453,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.224,-0.358,-0.762,-1.223,-1.898,-4.039,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,81.360%,82.524%,79.470%,73.144%,54.353%,41.109%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-24.106%,-26.849%,-72.974%,-212.742%,-399.051%,-4495.959%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-33.685%,-37.980%,-85.861%,-247.479%,-446.000%,-4613.519%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-17.221%,-30.068%,-93.802%,-194.838%,-396.061%,-3874.100%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-33,063,000","-31,680,000","-68,210,000","-103,620,000","-80,079,000","-121,302,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-17.647%,-19.327%,-61.870%,-208.953%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"12,103,000","12,330,000","12,242,000","1,879,000","1,467,000","1,078,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-45,166,000","-44,010,000","-80,452,000","-105,499,000","-81,546,000","-122,380,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-24.106%,-26.849%,-72.974%,-212.742%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"187,361,000","163,914,000","110,248,000","49,590,000","20,435,000",-,Upgrade,Financials in USD,Fiscal year is January - December
