Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,"20,268,000","14,919,000","9,834,000",-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),41.132%,51.708%,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"63,510,000","74,125,000","56,618,000","34,387,000",-,Financials in USD,Fiscal year is January - December
Gross Profit,"-43,242,000","-59,206,000","-46,784,000","-34,387,000",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","23,532,000","29,525,000","9,378,000","6,407,000","5,086,000",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,"23,292,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"23,532,000","29,525,000","9,378,000","6,407,000","28,378,000",Financials in USD,Fiscal year is January - December
Operating Income,"-66,774,000","-88,731,000","-56,162,000","-40,794,000","-28,378,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-3,145,000",-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,777,000","1,936,000",-,"10,000","29,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"-84,000","-1,919,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-63,997,000","-86,879,000","-61,226,000","-40,784,000","-28,349,000",Financials in USD,Fiscal year is January - December
Net Income,"-63,800,000","-86,879,000","-61,226,000","-40,784,000","-28,349,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-63,800,000","-86,879,000","-61,226,000","-40,784,000","-28,349,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"41,134,915","33,524,197","2,128,069","1,084,082","1,063,309",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"41,134,915","33,524,197","2,128,069","1,084,082","1,063,309",Financials in USD,Fiscal year is January - December
Shares Change (YoY),71.700%,1475.334%,96.301%,1.954%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.551,-2.592,-28.771,-37.621,-26.661,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.551,-2.592,-28.771,-37.621,-26.661,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-68,346,000","-82,309,000","-9,776,000","-39,199,000","-27,452,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.662,-2.455,-4.594,-36.159,-25.818,Financials in USD,Fiscal year is January - December
Operating Margin,-329.455%,-594.752%,-571.100%,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-314.782%,-582.338%,-622.595%,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-337.211%,-551.706%,-99.410%,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-63,367,000","-85,894,000","-54,269,000","-40,112,000","-27,930,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,407,000","2,837,000","1,893,000","682,000","448,000",Financials in USD,Fiscal year is January - December
EBIT,"-66,774,000","-88,731,000","-56,162,000","-40,794,000","-28,378,000",Financials in USD,Fiscal year is January - December
