Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,"26,030,000","27,384,000","39,256,000","63,148,000","14,957,000","14,302,000","17,912,000",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),74.032%,91.470%,119.160%,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"39,173,000","40,953,000","32,318,000",-,"43,807,000","28,327,000","32,932,000",-,-,"22,083,000","18,057,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"-13,143,000","-13,569,000","6,938,000","63,148,000","-28,850,000","-14,025,000","-15,020,000",-,-,"-22,083,000","-18,057,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","20,473,000","21,424,000","22,748,000","19,365,000","16,012,000","15,535,000","15,437,000","14,061,000","10,402,000","9,207,000","8,034,000","7,304,000","4,785,000","3,285,000","2,761,000","2,172,000",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,"28,784,000",-,-,-,"25,943,000","83,473,000",-,-,"13,394,000","12,325,000","12,643,000","8,521,000","6,922,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"20,473,000","21,424,000","22,748,000","48,149,000","16,012,000","15,535,000","15,437,000","40,004,000","93,875,000","9,207,000","8,034,000","20,698,000","17,110,000","15,928,000","11,282,000","9,094,000",Financials in USD,Fiscal year is January - December
Operating Income,"-33,616,000","-34,993,000","-15,810,000","14,999,000","-44,862,000","-29,560,000","-30,457,000","-40,004,000","-93,875,000","-31,290,000","-26,091,000","-20,698,000","-17,110,000","-15,928,000","-11,282,000","-9,094,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-114,000","-321,000","-588,000","-977,000","-959,000","-880,000","-1,026,000","-1,116,000","-596,000","-3,000","-4,000","-10,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,086,000","8,453,000","9,200,000","6,444,000","6,479,000","6,304,000","4,468,000","2,128,000","1,597,000","521,000","54,000","38,000","19,000","1,000",-,"1,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-25,644,000","-26,861,000","-7,198,000","20,466,000","-39,342,000","-24,136,000","-27,015,000","-38,992,000","-92,874,000","-30,772,000","-26,041,000","-20,670,000","-17,091,000","-15,927,000","-11,281,000","-9,093,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"223,000","341,000",-,"622,000","-6,000","-282,000","329,000",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-25,867,000","-27,202,000","-7,198,000","19,844,000","-39,336,000","-23,854,000","-27,344,000","-38,992,000","-92,874,000","-30,772,000","-26,041,000","-20,670,000","-17,091,000","-15,927,000","-11,281,000","-9,093,000",Financials in USD,Fiscal year is January - December
