Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"3,695,000","4,449,000","3,425,000","13,217,000","2,895,000","8,470,000","3,176,000","2,022,000","2,874,000","1,300,000","3,965,000","2,582,000","1,965,000","11,986,000","12,117,000","2,366,000","1,925,000","6,908,000","2,089,000","1,376,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),27.634%,-47.473%,7.840%,553.660%,0.731%,551.538%,-19.899%,-21.689%,46.260%,-89.154%,-67.277%,9.129%,2.078%,73.509%,480.038%,71.948%,-83.207%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,303,000","3,573,000","175,000","1,999,000","144,000","677,000","125,000","22,000","141,000","51,000","8,000","59,000",-,"1,000,000","1,000,000",-,-,"642,000","663,000","1,945,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"1,392,000","876,000","3,250,000","11,218,000","2,751,000","7,793,000","3,051,000","2,000,000","2,733,000","1,249,000","3,957,000","2,523,000","1,965,000","10,986,000","11,117,000","2,366,000","1,925,000","6,266,000","1,426,000","-569,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","16,208,000","12,604,000","9,931,000","15,432,000","5,818,000","6,612,000","7,227,000","5,347,000","3,974,000","3,558,000","2,734,000","3,081,000","1,948,000","2,305,000","1,892,000","3,051,000","1,429,000","1,719,000","2,245,000","1,975,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"10,945,000","10,521,000","12,277,000","10,457,000","12,297,000","7,433,000","8,655,000","5,966,000","5,385,000","4,795,000","3,082,000","2,284,000","2,239,000","2,848,000","2,265,000","2,531,000","1,709,000","1,954,000","2,126,000","1,866,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"28,698,000","24,671,000","23,736,000","25,889,000","18,115,000","14,045,000","15,882,000","11,313,000","9,359,000","8,353,000","5,816,000","5,365,000","4,187,000","5,153,000","4,157,000","5,582,000","3,138,000","3,673,000","4,371,000","3,841,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-27,306,000","-23,795,000","-20,486,000","-14,671,000","-15,364,000","-6,252,000","-12,831,000","-9,313,000","-6,626,000","-7,104,000","-1,859,000","-2,842,000","-2,222,000","5,833,000","6,960,000","-3,216,000","-1,213,000","2,593,000","-2,945,000","-4,410,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,312,000","-2,110,000","-735,000","-756,000","-366,000","-197,000","-182,000","-170,000","-124,000","-36,000","-5,000","-5,000","-6,000","-16,000","-349,000","-1,747,000","-1,741,000","-1,771,000","-1,831,000","-1,864,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,049,000","270,000","929,000","210,000","1,738,000","1,553,000","1,042,000","1,031,000","218,000","366,000","107,000","125,000","137,000",-,"8,000","89,000","48,000","40,000",-,"14,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-4,746,000","5,779,000","3,627,000","-98,000","3,678,000","2,118,000","-1,545,000","14,864,000","22,000","32,000","241,000","66,000","332,000","-403,000","-30,000","16,000","-137,000","-3,000","-148,000","215,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-33,315,000","-19,856,000","-16,665,000","-15,315,000","-10,314,000","-2,778,000","-13,516,000","6,412,000","-6,510,000","-6,742,000","-1,516,000","-2,656,000","-1,759,000","5,414,000","6,589,000","-4,858,000","-3,043,000","859,000","-4,924,000","-6,045,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,000",-,-,"-830,000",-,Upgrade,Financials in USD,Fiscal year is January - December
