Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,"115,177,000","130,234,000","109,976,000","99,651,000","108,531,000","117,316,000","107,642,000","115,516,000","116,859,000","121,401,000","97,117,000","127,858,000","113,753,000","123,196,000","102,552,000","106,807,000","100,799,000","68,960,000","61,732,000","74,645,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"115,177,000","130,234,000","109,976,000","99,651,000","108,531,000","117,316,000","107,642,000","115,516,000","116,859,000","121,401,000","97,117,000","127,858,000","113,753,000","123,196,000","102,552,000","106,807,000","100,799,000","68,960,000","61,732,000","74,645,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),6.124%,11.011%,2.168%,-13.734%,-7.127%,-3.365%,10.837%,-9.653%,2.730%,-1.457%,-5.300%,19.709%,12.851%,78.648%,66.125%,43.087%,56.849%,6.177%,8.069%,17.368%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"26,796,000","29,198,000","28,696,000","27,769,000","25,789,000","26,316,000","26,607,000","27,110,000","26,177,000","26,652,000","25,080,000","32,597,000","26,167,000","29,940,000","25,495,000","25,520,000","22,964,000","20,042,000","18,793,000","20,391,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"88,381,000","101,036,000","81,280,000","71,882,000","82,742,000","91,000,000","81,035,000","88,406,000","90,682,000","94,749,000","72,037,000","95,261,000","87,586,000","93,256,000","77,057,000","81,287,000","77,835,000","48,918,000","42,939,000","54,254,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","71,795,000","76,540,000","72,322,000","59,463,000","64,127,000","70,443,000","71,926,000","74,343,000","74,517,000","70,366,000","63,314,000","65,422,000","61,182,000","64,172,000","57,780,000","52,575,000","51,325,000","46,502,000","52,613,000","52,368,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"10,344,000","15,587,000","12,810,000","11,770,000","10,470,000","10,938,000","11,202,000","11,395,000","9,575,000","10,205,000","8,587,000","8,260,000","8,953,000","7,320,000","6,209,000","6,299,000","3,709,000","4,668,000","5,410,000","3,640,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"82,139,000","92,127,000","85,132,000","71,233,000","74,597,000","81,381,000","83,128,000","85,738,000","84,092,000","80,571,000","71,901,000","73,682,000","70,135,000","71,492,000","63,989,000","58,874,000","55,034,000","51,170,000","58,023,000","56,008,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"6,242,000","8,909,000","-3,852,000","649,000","8,145,000","9,619,000","-2,093,000","2,668,000","6,590,000","14,178,000","136,000","21,579,000","17,451,000","21,764,000","13,068,000","22,413,000","22,801,000","-2,252,000","-15,084,000","-1,754,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-471,000","-620,000","-514,000","-502,000","-444,000","-594,000","-649,000",-,"-572,000","-730,000","-737,000","-853,000","-1,482,000","-2,431,000","-2,470,000","-2,888,000","-2,969,000","-2,912,000","-2,510,000","-2,604,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,"30,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"52,000","-28,000","23,000","-25,000","31,000","28,000","23,000","6,000","5,000","-21,000","-3,000","-9,000","-19,000","18,000","-3,000","7,000","44,000","25,000","21,000","2,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"5,823,000","8,261,000","-4,343,000","122,000","7,732,000","9,053,000","-2,719,000","2,704,000","6,023,000","13,427,000","-604,000","20,717,000","15,950,000","19,351,000","10,595,000","19,532,000","19,876,000","-5,139,000","-17,573,000","-4,356,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-1,918,000","-95,000","126,000","-1,908,000","-750,000","-611,000","-643,000","-264,000","-1,828,000","-1,010,000","-939,000","-927,000","-618,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-22,801,000",-,-,-,-,-,"4,200,000","-4,200,000",-,-,-,"-1,104,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,"2,600,000",-,"-1,600,000",-,-,"-956,000","2,762,000","475,000","-203,000","951,000",-,"1,295,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"5,823,000","-14,540,000","-4,343,000","-1,796,000","7,637,000","9,179,000","-4,627,000","8,754,000","1,212,000","11,184,000","-868,000","18,889,000","12,880,000","21,174,000","10,143,000","18,711,000","20,827,000","-5,139,000","-16,278,000","-4,356,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-6,508,000","2,503,000","-2,243,000","-1,228,000","4,470,000","3,863,000","-1,658,000","1,268,000","997,000","2,440,000","45,000","-32,106,000","303,000","487,000","200,000","396,000","72,000","27,000","35,000","42,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"12,331,000","-17,043,000","-2,100,000","-568,000","3,167,000","5,316,000","-2,969,000","7,486,000","215,000","8,744,000","-913,000","50,995,000","12,577,000","20,687,000","9,943,000","18,315,000","20,755,000","-5,166,000","-16,313,000","-4,398,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"12,331,000","-17,043,000","-2,100,000","-568,000","3,167,000","5,316,000","-2,969,000","7,486,000","215,000","8,744,000","-913,000","50,995,000","12,577,000","20,687,000","9,943,000","18,315,000","20,755,000","-5,166,000","-16,313,000","-4,398,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"12,331,000","-17,043,000","-2,100,000","-568,000","3,167,000","5,316,000","-2,969,000","7,486,000","215,000","8,744,000","-913,000","50,995,000","12,577,000","20,687,000","9,943,000","18,315,000","20,755,000","-5,166,000","-16,313,000","-4,398,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"12,331,000","-17,043,000","-2,100,000","-568,000","3,167,000","5,316,000","-2,969,000","7,486,000","215,000","8,744,000","-913,000","50,995,000","12,577,000","20,687,000","9,943,000","18,315,000","20,755,000","-5,166,000","-16,313,000","-4,398,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,289.359%,-,-,-,1373.023%,-39.204%,-,-85.320%,-98.291%,-57.732%,-,178.433%,-39.403%,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"132,575,301","132,573,153","131,861,772","130,916,950","131,312,483","131,293,398","131,083,841","130,916,950","130,903,160","129,635,682","128,788,721","128,661,435","128,546,301","128,235,224","127,870,065","116,641,862","105,040,035","104,714,725","104,486,924","97,760,835",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"133,926,755","132,573,153","131,861,772","131,857,509","133,417,721","133,066,010","131,083,841","131,857,509","132,232,954","132,600,579","128,788,721","133,348,995","133,850,216","133,988,413","133,451,950","120,716,431","108,489,768","104,714,725","104,486,924","97,760,835",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.382%,-0.370%,0.593%,-,0.896%,0.351%,1.782%,-1.118%,-1.208%,-1.036%,-3.494%,10.465%,23.376%,27.956%,27.721%,23.481%,17.570%,15.519%,15.323%,27.041%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.093,-0.129,-0.016,-0.004,0.024,0.040,-0.023,0.057,0.002,0.067,-0.007,0.396,0.098,0.161,0.078,0.157,0.198,-0.049,-0.156,-0.045,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.090,-0.130,-0.020,-0.004,0.020,0.040,-0.023,0.057,0.002,0.067,-0.010,0.381,0.090,0.150,0.070,0.147,0.190,-0.050,-0.160,-0.045,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,350.023%,-,-,-,1130.708%,-40.698%,-,-84.978%,-98.194%,-55.033%,-,158.851%,-52.632%,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"6,126,000","2,858,000","-12,384,000","7,289,000","10,755,000","1,147,000","-12,639,000","-2,856,000","-4,949,000","4,027,000","-5,261,000","12,721,000","11,147,000","13,147,000","-6,257,000","17,797,000","3,020,000","-11,503,000","-21,526,000","-9,859,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.046,0.022,-0.094,0.055,0.081,0.009,-0.096,-0.022,-0.037,0.030,-0.041,0.095,0.083,0.098,-0.047,0.147,0.028,-0.110,-0.206,-0.101,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,76.735%,77.580%,73.907%,72.134%,76.238%,77.568%,75.282%,76.531%,77.600%,78.046%,74.175%,74.505%,76.997%,75.697%,75.139%,76.106%,77.218%,70.937%,69.557%,72.683%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,5.419%,6.841%,-3.503%,0.651%,7.505%,8.199%,-1.944%,2.310%,5.639%,11.679%,0.140%,16.877%,15.341%,17.666%,12.743%,20.985%,22.620%,-3.266%,-24.435%,-2.350%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,10.706%,-13.086%,-1.910%,-0.570%,2.918%,4.531%,-2.758%,6.480%,0.184%,7.203%,-0.940%,39.884%,11.056%,16.792%,9.696%,17.148%,20.590%,-7.491%,-26.426%,-5.892%,Upgrade,Financials in USD,Fiscal year is January - December
