Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"10,000,000",-,-,-,-,-,-,"12,500,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"5,200,000","350,000","5,247,000","6,095,000","6,112,000","324,000","8,086,000","9,437,000","8,624,000","9,581,000","9,371,000","10,893,000","10,418,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"4,800,000","-350,000","-5,247,000","-6,095,000","-6,112,000","-324,000","-8,086,000","3,063,000","-8,624,000","-9,581,000","-9,371,000","-10,893,000","-10,418,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,568,000","3,714,000","3,883,000","3,589,000","3,572,000","3,338,000","5,299,000","5,232,000","4,981,000","4,491,000","5,122,000","4,102,000","3,287,000","2,395,000","4,430,000","2,186,000","1,683,000","1,545,000","1,709,000",Financials in USD,Fiscal year is January - December
Research & Development,-,"4,985,000",-,-,-,"6,613,000",-,-,-,-,-,-,-,"10,265,000","8,601,000","8,650,000","6,958,000","5,424,000","4,652,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"3,568,000","8,699,000","3,883,000","3,589,000","3,572,000","9,951,000","5,299,000","5,232,000","4,981,000","4,491,000","5,122,000","4,102,000","3,287,000","12,660,000","13,031,000","10,836,000","8,641,000","6,969,000","6,361,000",Financials in USD,Fiscal year is January - December
Operating Income,"1,232,000","-9,049,000","-9,130,000","-9,684,000","-9,684,000","-10,275,000","-13,385,000","-2,169,000","-13,605,000","-14,072,000","-14,493,000","-14,995,000","-13,705,000","-12,660,000","-13,031,000","-10,836,000","-8,641,000","-6,969,000","-6,361,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"431,000","490,000","385,000","509,000","661,000","623,000","547,000","474,000","198,000","60,000","49,000","42,000","14,000","7,000","9,000","9,000","6,000","2,000","74,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-3,097,000","-16,702,000","-85,000","302,000","83,000","265,000","-252,000","920,000","50,000","87,000","6,497,000","-1,000","-328,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
