Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,"1,143,000","742,000","1,501,000","5,897,000","8,081,000","4,464,000","7,283,000","4,970,000","4,148,000",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-85.856%,-83.378%,-79.390%,18.652%,94.817%,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"12,528,000","15,271,000","12,908,000","6,779,000","10,838,000","9,583,000","11,706,000","13,054,000","13,070,000","13,887,000","10,945,000","12,106,000","9,787,000","7,265,000","4,680,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"-12,528,000","-14,128,000","-12,166,000","-5,278,000","-4,941,000","-1,502,000","-7,242,000","-5,771,000","-8,100,000","-9,739,000","-10,945,000","-12,106,000","-9,787,000","-7,265,000","-4,680,000",-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,596,000","4,832,000","4,996,000","7,684,000","4,310,000","4,565,000","4,981,000","7,408,000","4,439,000","5,233,000","4,421,000","5,778,000","4,008,000","3,691,000","2,772,000","2,106,000","1,241,000","1,285,000","1,131,000",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,286,000","4,812,000","3,780,000","2,763,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"4,596,000","4,832,000","4,996,000","7,684,000","4,310,000","4,565,000","4,981,000","7,408,000","4,439,000","5,233,000","4,421,000","5,778,000","4,008,000","3,691,000","2,772,000","7,392,000","6,053,000","5,065,000","3,894,000",Financials in USD,Fiscal year is January - December
Operating Income,"-17,124,000","-18,960,000","-17,162,000","-12,962,000","-9,251,000","-6,067,000","-12,223,000","-13,179,000","-12,539,000","-14,972,000","-15,366,000","-17,884,000","-13,795,000","-10,956,000","-7,452,000","-7,392,000","-6,053,000","-5,065,000","-3,894,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-1,244,000","-1,142,000","-1,003,000","-1,239,000","-1,002,000","-955,000","-172,000",-,-,-,-,"-34,000",-,-,-,"-10,000","-15,000",-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,598,000","1,793,000","1,973,000","2,204,000","1,973,000","1,949,000","1,519,000","1,179,000","593,000","97,000","39,000",-,"54,000","51,000","17,000",-,-,"24,000","67,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,"3,000",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"97,000","1,613,000","-1,000","-6,000","-5,000","-25,000","-1,106,000","70,000",-,"281,000","-16,000","49,000","-17,000","-16,000",-,-,-,"7,298,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-16,673,000","-16,696,000","-16,193,000","-12,003,000","-8,285,000","-5,098,000","-11,982,000","-11,930,000","-11,943,000","-14,594,000","-15,343,000","-17,869,000","-13,758,000","-10,921,000","-7,435,000","-7,402,000","-6,068,000","2,257,000","-3,827,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-553,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-16,673,000","-17,249,000","-16,193,000","-12,003,000","-8,285,000","-5,098,000","-11,982,000","-11,930,000","-11,943,000","-14,594,000","-15,343,000","-17,869,000","-13,758,000","-10,921,000","-7,435,000","-7,402,000","-6,068,000","2,257,000","-3,827,000",Financials in USD,Fiscal year is January - December
Net Income,"-16,673,000","-17,249,000","-16,193,000","-12,003,000","-8,285,000","-5,098,000","-11,982,000","-11,930,000","-11,943,000","-14,594,000","-15,343,000","-17,869,000","-13,758,000","-10,921,000","-7,435,000","-7,402,000","-6,068,000","2,257,000","-3,827,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,"56,926,000","95,016,000","13,146,000",-,"31,000",-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-16,673,000","-17,249,000","-16,193,000","-12,003,000","-8,285,000","-5,098,000","-11,982,000","-11,930,000","-11,943,000","-14,594,000","-15,343,000","-17,869,000","-13,758,000","-67,847,000","-102,451,000","-20,548,000","-6,068,000","2,226,000","-3,827,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"43,704,836","43,521,406","41,607,279","36,570,280","35,653,924","35,557,701","34,784,682","30,735,000","29,764,000","27,517,000","27,393,000","27,270,000","27,188,000","17,750,000","1,229,000","1,155,000","918,000","947,000","836,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"43,704,836","44,043,184","41,607,279","36,570,280","35,653,924","35,557,701","34,784,682","30,735,000","29,764,000","27,517,000","27,393,000","27,270,000","27,188,000","17,750,000","1,229,000","1,155,000","918,000","10,327,000","836,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),22.581%,23.864%,19.614%,18.986%,19.789%,29.221%,26.984%,12.706%,9.475%,55.025%,2128.885%,2261.039%,2861.656%,71.880%,47.010%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.381,-0.396,-0.389,-0.328,-0.232,-0.143,-0.344,-0.388,-0.401,-0.530,-0.560,-0.655,-0.506,-3.822,-83.361,-17.790,-6.610,2.351,-4.578,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.381,-0.425,-0.389,-0.328,-0.232,-0.143,-0.344,-0.388,-0.401,-0.530,-0.560,-0.655,-0.506,-3.822,-83.361,-17.790,-6.610,0.220,-4.580,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-12,465,000","-14,194,000","-15,408,000","-4,783,000","-7,429,000","-11,103,000","-10,066,000","-12,388,000","-16,426,000","-1,414,000","-13,979,000","-12,945,000","-12,519,000","-10,571,000","-7,339,000","-6,018,000","-4,978,000","-4,340,000","-3,848,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.285,-0.322,-0.370,-0.131,-0.208,-0.312,-0.289,-0.403,-0.552,-0.051,-0.510,-0.475,-0.460,-0.596,-5.972,-5.210,-5.423,-0.420,-4.603,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-83.788%,-18.587%,-162.231%,-79.239%,-162.978%,-234.788%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-1658.793%,-2312.938%,-863.558%,-156.876%,-75.077%,-273.813%,-180.956%,-252.294%,-360.945%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-1509.099%,-2182.345%,-799.667%,-140.495%,-63.086%,-268.414%,-163.806%,-240.302%,-351.832%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-1241.820%,-2076.550%,-318.654%,-125.979%,-137.396%,-225.493%,-170.095%,-330.503%,-34.089%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-16,670,000","-18,506,000","-16,698,000","-12,502,000","-8,806,000","-5,633,000","-11,798,000","-12,762,000","-12,135,000","-14,787,000","-15,268,000","-17,836,000","-13,728,000","-10,894,000","-7,413,000","-7,348,000","-6,012,000","-5,023,000","-3,871,000",Financials in USD,Fiscal year is January - December
