Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"9,012,000","7,839,000","7,912,000","10,596,000","8,896,000","5,848,000","8,733,000","10,144,000","4,322,000","4,457,000","9,751,000","9,168,000","4,334,000","5,855,000","4,744,000","8,572,000","3,252,000","2,402,000","4,623,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),1.304%,34.046%,-9.401%,4.456%,105.831%,31.209%,-10.440%,10.646%,-0.277%,-23.877%,105.544%,6.953%,33.272%,143.755%,2.617%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"4,877,000","4,342,000","4,116,000","5,368,000","4,590,000","2,888,000","4,598,000","5,256,000","2,225,000","2,554,000","5,150,000","4,773,000","2,290,000","3,108,000","2,571,000","4,424,000","1,013,000","1,242,000","2,387,000",Financials in USD,Fiscal year is January - December
Gross Profit,"4,135,000","3,497,000","3,796,000","5,228,000","4,306,000","2,960,000","4,135,000","4,888,000","2,097,000","1,903,000","4,601,000","4,395,000","2,044,000","2,747,000","2,173,000","4,148,000","2,239,000","1,160,000","2,236,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,426,000","7,947,000","9,246,000","9,060,000","8,693,000","11,441,000","8,709,000","9,338,000","7,936,000","9,754,000","7,711,000","-1,973,000","17,250,000","5,748,000","4,922,000","4,163,000","4,302,000","3,669,000","5,983,000",Financials in USD,Fiscal year is January - December
Research & Development,"669,000","621,000","17,000","33,000","33,000","11,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"9,095,000","8,568,000","9,263,000","9,093,000","8,726,000","11,452,000","8,709,000","9,338,000","7,936,000","9,754,000","7,711,000","-1,973,000","17,250,000","5,748,000","4,922,000","4,163,000","4,302,000","3,669,000","5,983,000",Financials in USD,Fiscal year is January - December
Operating Income,"-4,960,000","-5,071,000","-5,467,000","-3,865,000","-4,420,000","-8,492,000","-4,574,000","-4,450,000","-5,839,000","-7,851,000","-3,110,000","6,368,000","-15,206,000","-3,001,000","-2,749,000","-15,000","-2,063,000","-2,509,000","-3,747,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-9,000","-620,000","-1,421,000","-233,000","-155,000","-121,000","-91,000","-92,000","-92,000","-92,000","-93,000","-92,000","-90,000","-89,000","-89,000","-761,000","-751,000","-717,000","-668,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"17,000","24,000","14,000","21,000","13,000","42,000","56,000","57,000","3,000","54,000","60,000","3,000","4,000","4,000","5,000","5,000","7,000","8,000","8,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"-114,000",-,-,-,"-28,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-712,000","5,444,000","-3,249,000","978,000","633,000","437,000","995,000","1,059,000","1,163,000","5,400,000","8,734,000","-12,598,000","-3,000","-30,000","79,000","18,000","-35,000","-256,000","354,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,664,000","-223,000","-10,123,000","-3,213,000","-3,929,000","-8,134,000","-3,614,000","-3,454,000","-4,765,000","-2,489,000","5,591,000","-6,319,000","-15,295,000","-3,116,000","-2,754,000","-753,000","-2,842,000","-3,474,000","-4,053,000",Financials in USD,Fiscal year is January - December
