Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"118,410,000","110,057,000","84,162,000","101,467,000","110,403,000","112,420,000","85,630,000","126,536,000","106,829,000","98,935,000","77,442,000","118,147,000","79,313,000","67,003,500","67,003,500",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),7.253%,-2.102%,-1.714%,-19.812%,3.346%,13.630%,10.573%,7.100%,34.693%,47.656%,15.579%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"50,007,000","48,869,000","38,100,000","49,212,000","42,845,000","39,786,000","38,508,000","50,877,000","44,577,000","40,820,000","37,755,000","50,020,000","31,525,000","29,304,000","29,304,000",Financials in USD,Fiscal year is January - December
Gross Profit,"68,403,000","61,188,000","46,062,000","52,255,000","67,558,000","72,634,000","47,122,000","75,659,000","62,252,000","58,115,000","39,687,000","68,127,000","47,788,000","37,699,500","37,699,500",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","55,219,000","46,099,000","42,789,000","35,078,000","50,212,000","54,510,000","44,713,000","25,395,000","43,852,000","41,950,000","40,059,000","31,051,000","33,604,000","31,802,500","31,802,500",Financials in USD,Fiscal year is January - December
Operating Expenses,"55,219,000","46,099,000","42,789,000","35,078,000","50,212,000","54,510,000","44,713,000","25,395,000","43,852,000","41,950,000","40,059,000","31,051,000","33,604,000","31,802,500","31,802,500",Financials in USD,Fiscal year is January - December
Operating Income,"13,184,000","15,089,000","3,273,000","17,177,000","17,346,000","18,124,000","2,409,000","50,264,000","18,400,000","16,165,000","-372,000","37,076,000","14,184,000","5,897,000","5,897,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-10,772,000","-10,891,000","-9,072,000","-7,332,000","-6,638,000","-6,527,000","-5,231,000","-7,872,000","-50,182,000","-13,661,000","-13,402,000","-12,869,000","-14,236,000","-12,763,500","-12,763,500",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"2,480,000","10,646,000","3,930,000","-3,796,000","-9,000,000","-8,357,000","5,170,000","-1,689,000","-588,000","-1,580,000","-170,000","-3,905,000",-,-,-,Financials in USD,Fiscal year is January - December
