Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"299,000","299,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"8,240,000","12,946,000",-,-,"13,288,000","13,130,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"-7,941,000","-12,647,000",-,-,"-13,288,000","-13,130,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,125,000","4,388,000","5,551,000","5,188,000","6,075,000","6,953,000","7,172,000","6,298,000","6,750,000","7,477,000","6,670,000","6,219,000","5,021,000","3,712,000","3,787,000","2,592,000","1,580,000","1,570,000","1,931,000",Financials in USD,Fiscal year is January - December
Research & Development,-,-,"10,936,000","15,924,000",-,-,"11,202,000","10,793,000","12,110,000","10,138,000","7,648,000","6,094,000","4,960,000","6,818,000","9,037,000","7,495,000","5,130,000","3,092,000","1,913,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"4,125,000","4,388,000","16,487,000","21,112,000","6,075,000","6,953,000","18,374,000","17,091,000","18,860,000","17,615,000","14,318,000","12,313,000","9,981,000","10,530,000","12,824,000","10,087,000","6,710,000","4,662,000","3,844,000",Financials in USD,Fiscal year is January - December
Operating Income,"-12,066,000","-17,035,000","-16,487,000","-21,112,000","-19,363,000","-20,083,000","-18,374,000","-17,091,000","-18,860,000","-17,615,000","-14,318,000","-12,313,000","-9,981,000","-10,530,000","-12,824,000","-10,087,000","-6,710,000","-4,662,000","-3,844,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-10,000","-12,000","-13,000","-12,000","-12,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"986,000","1,143,000","1,276,000","1,448,000","1,545,000","1,608,000","1,546,000","1,071,000","525,000","270,000","97,000","12,000","12,000","13,000","17,000","27,000","42,000","47,000","55,000",Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-637,000","-487,000","-685,000","-613,000","-648,000","-217,000","-563,000","-214,000","-133,000","-338,000","-390,000","-223,000","-332,000","-468,000","-482,000","-513,000","-526,000","-335,000","-148,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"251,000","143,000","167,000","35,000","92,000","62,000","73,000","31,000","98,000","100,000","113,000","109,000","105,000","-142,000","24,000","68,000","52,000","69,000","52,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-11,466,000","-16,236,000","-15,729,000","-20,242,000","-18,374,000","-18,630,000","-17,318,000","-16,203,000","-18,370,000","-17,583,000","-14,498,000","-12,415,000","-10,196,000","-11,127,000","-13,275,000","-10,517,000","-7,155,000","-4,893,000","-3,897,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-3,300,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
