Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"864,000",-,Financials in CAD,Fiscal year is April - March
Cost of Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"511,000",-,-,"664,000",-,Financials in CAD,Fiscal year is April - March
Gross Profit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-511,000",-,-,"200,000",-,Financials in CAD,Fiscal year is April - March
"Selling, General & Admin","15,678,000","8,303,000","12,087,000","9,657,000","5,800,000","5,048,000","5,176,000","4,859,000","6,114,000","5,192,000","7,166,000","7,035,000","7,831,000","6,190,000","6,884,000","6,419,000","1,340,000","1,228,000","204,883",Financials in CAD,Fiscal year is April - March
Research & Development,"9,115,000","8,041,000","11,843,000","7,439,000","6,696,000","6,384,000","8,046,000","6,256,000","5,141,000","6,048,000","5,829,000","4,963,000","3,818,000","2,976,000","1,412,000","747,000","435,000","705,000","31,674",Financials in CAD,Fiscal year is April - March
Operating Expenses,"58,254,000","20,317,000","25,199,000","27,024,000","13,910,000","12,707,000","13,703,000","12,093,000","12,327,000","13,395,000","16,338,000","16,455,000","17,106,000","13,939,000","12,364,000","11,379,000","2,561,000","4,420,000","236,557",Financials in CAD,Fiscal year is April - March
Operating Income,"-58,254,000","-20,317,000","-25,199,000","-27,024,000","-13,910,000","-12,707,000","-13,703,000","-12,093,000","-12,327,000","-13,395,000","-16,338,000","-16,455,000","-17,106,000","-13,939,000","-12,875,000","-11,379,000","-2,561,000","-4,220,000","-236,557",Financials in CAD,Fiscal year is April - March
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-10,000",-,Financials in CAD,Fiscal year is April - March
Interest & Investment Income,"3,078,000","2,141,000","346,000","141,000","52,000","84,000","148,000","157,000","174,000","124,000","83,000","63,000","51,000","44,000","46,000","14,000",-,-,-,Financials in CAD,Fiscal year is April - March
Currency Exchange Gain (Loss),"-2,016,000","3,352,000","3,507,000","-3,447,000","1,968,000","-1,891,000","-40,000","1,353,000","2,189,000","525,000","-351,000","-64,000","155,000","-49,000","-174,000","-54,000","-99,000","-133,000",-,Financials in CAD,Fiscal year is April - March
EBT Excluding Unusual Items,"-57,192,000","-14,824,000","-21,346,000","-30,330,000","-11,890,000","-14,514,000","-13,595,000","-10,583,000","-9,964,000","-12,746,000","-16,606,000","-16,456,000","-16,900,000","-13,944,000","-13,003,000","-11,419,000","-2,660,000","-4,363,000","-236,557",Financials in CAD,Fiscal year is April - March
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,"-125,000","-159,000","12,000","12,000","-29,000",-,-,-,"-63,000",-,-,-,-,Financials in CAD,Fiscal year is April - March
Other Unusual Items,-,-,-,-,-,-,-,-,"-21,000","-321,000","-1,462,000","-754,000","-707,000","-773,000","-712,000",-,-,-,-,Financials in CAD,Fiscal year is April - March
Pretax Income,"-57,192,000","-14,824,000","-21,346,000","-30,330,000","-11,890,000","-14,514,000","-13,720,000","-10,742,000","-9,973,000","-13,055,000","-18,097,000","-17,210,000","-17,607,000","-14,717,000","-13,778,000","-11,419,000","-2,660,000","-4,363,000","-236,557",Financials in CAD,Fiscal year is April - March
Net Income,"-57,192,000","-14,824,000","-21,346,000","-30,330,000","-11,890,000","-14,514,000","-13,720,000","-10,742,000","-9,973,000","-13,055,000","-18,097,000","-17,210,000","-17,607,000","-14,717,000","-13,778,000","-11,419,000","-2,660,000","-4,363,000","-236,557",Financials in CAD,Fiscal year is April - March
Net Income to Common,"-57,192,000","-14,824,000","-21,346,000","-30,330,000","-11,890,000","-14,514,000","-13,720,000","-10,742,000","-9,973,000","-13,055,000","-18,097,000","-17,210,000","-17,607,000","-14,717,000","-13,778,000","-11,419,000","-2,660,000","-4,363,000","-236,557",Financials in CAD,Fiscal year is April - March
Shares Outstanding (Basic),"20,001,406","20,004,604","13,552,981","8,782,446","6,174,258","5,426,073","5,158,921","4,971,515","4,759,634","4,629,016","4,573,289","4,522,659","4,363,416","4,150,967","4,540,976","2,901,069","1,820,035","1,597,713","1,250,805",Financials in CAD,Fiscal year is April - March
Shares Outstanding (Diluted),"20,001,406","20,004,604","13,552,981","8,782,446","6,174,258","5,426,073","5,158,921","4,971,515","4,759,634","4,629,016","4,573,289","4,522,659","4,363,416","4,150,967","4,540,976","2,901,069","1,820,035","1,597,713","1,250,805",Financials in CAD,Fiscal year is April - March
Shares Change (YoY),223.948%,268.676%,162.710%,76.655%,29.721%,17.219%,12.805%,9.925%,9.080%,11.517%,0.712%,55.896%,139.744%,159.807%,263.044%,-,-,-,-,Financials in CAD,Fiscal year is April - March
EPS (Basic),-2.859,-0.741,-1.575,-3.453,-1.926,-2.675,-2.659,-2.161,-2.095,-2.820,-3.957,-3.805,-4.035,-3.545,-3.034,-3.936,-1.462,-2.731,-0.189,Financials in CAD,Fiscal year is April - March
EPS (Diluted),-2.860,-0.760,-1.630,-3.453,-1.926,-2.675,-2.799,-2.280,-2.280,-2.820,-3.957,-3.805,-4.179,-3.545,-3.034,-3.936,-1.462,-2.731,-0.190,Financials in CAD,Fiscal year is April - March
Free Cash Flow,"-26,428,000","-27,214,000","-20,715,000","-26,055,000","-11,462,000","-10,697,000","-10,838,000","-10,771,000","-14,683,000","-11,281,000","-9,734,000","-12,836,000","-13,813,000","-8,929,000","-6,614,000","-8,580,000","-2,364,000","-1,604,000","-12,131",Financials in CAD,Fiscal year is April - March
Free Cash Flow Per Share,-1.321,-1.360,-1.528,-2.967,-1.856,-1.971,-2.101,-2.167,-3.085,-2.437,-2.128,-2.838,-3.166,-2.151,-1.457,-2.958,-1.299,-1.004,-0.010,Financials in CAD,Fiscal year is April - March
Gross Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.148%,-,Financials in CAD,Fiscal year is April - March
Operating Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-488.426%,-,Financials in CAD,Fiscal year is April - March
Profit Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-504.977%,-,Financials in CAD,Fiscal year is April - March
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-185.648%,-,Financials in CAD,Fiscal year is April - March
