Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019 - 2015,,
"Selling, General & Admin","15,639,000","15,164,000","12,630,000","9,646,000","8,175,000","6,071,000",Upgrade,Financials in USD,Fiscal year is July - June
Research & Development,"55,811,000","55,259,000","43,360,000","32,197,000","14,719,000","14,450,000",Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"71,450,000","70,423,000","55,990,000","41,843,000","22,894,000","20,521,000",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-71,450,000","-70,423,000","-55,990,000","-41,843,000","-22,894,000","-20,521,000",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,-,-,-,"-1,807,000","-375,000",-,Upgrade,Financials in USD,Fiscal year is July - June
Interest & Investment Income,"5,044,000","4,870,000","4,208,000","80,000","63,000","188,000",Upgrade,Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),"-2,907,000","-2,906,000","-5,000","4,050,000","1,789,000",-,Upgrade,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-69,313,000","-68,459,000","-51,787,000","-39,520,000","-21,417,000","-20,333,000",Upgrade,Financials in USD,Fiscal year is July - June
Other Unusual Items,-,-,-,"-1,540,000","515,000",-,Upgrade,Financials in USD,Fiscal year is July - June
Pretax Income,"-69,313,000","-68,459,000","-51,787,000","-41,060,000","-20,902,000","-20,333,000",Upgrade,Financials in USD,Fiscal year is July - June
Net Income,"-69,313,000","-68,459,000","-51,787,000","-41,060,000","-20,902,000","-20,333,000",Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Common,"-69,313,000","-68,459,000","-51,787,000","-41,060,000","-20,902,000","-20,333,000",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"56,046,750","51,465,000","51,187,000","18,197,000","7,671,000","5,751,000",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"56,046,750","51,465,000","51,187,000","19,487,000","7,671,000","5,751,000",Upgrade,Financials in USD,Fiscal year is July - June
Shares Change (YoY),9.025%,0.543%,162.673%,154.035%,33.385%,223.635%,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Basic),-1.237,-1.330,-1.012,-2.256,-2.725,-3.536,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Diluted),-1.237,-1.330,-1.012,-2.316,-2.725,-3.536,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-62,797,000","-57,368,000","-44,634,000","-39,616,000","-20,441,000","-24,168,000",Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-1.120,-1.115,-0.872,-2.033,-2.665,-4.202,Upgrade,Financials in USD,Fiscal year is July - June
EBITDA,"-71,416,000","-70,387,000","-55,960,000","-41,830,000","-22,881,000","-20,503,000",Upgrade,Financials in USD,Fiscal year is July - June
D&A For EBITDA,"34,000","36,000","30,000","13,000","13,000","18,000",Upgrade,Financials in USD,Fiscal year is July - June
EBIT,"-71,450,000","-70,423,000","-55,990,000","-41,843,000","-22,894,000","-20,521,000",Upgrade,Financials in USD,Fiscal year is July - June
