Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021",,
Revenue,"6,580","7,870","15,928","5,310","10,030","1,725",-,950,-,-,-,901,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-34.397%,356.232%,-,458.947%,-,-,-,5.438%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"6,580","7,870","15,928","5,310","10,030","1,725",-,950,-,-,-,901,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,405,498","1,278,256","4,158,343","1,535,014","1,410,711","2,537,756","1,611,679","2,343,920","1,143,685","777,923","227,425","243,855","102,300","91,454","136,272",Financials in USD,Fiscal year is January - December
Research & Development,"5,247","7,280","10,840","7,492","38,708","12,317","86,665","31,087","3,190","5,041","1,130","-55,983","87,451",-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,415,547","1,290,330","4,173,976","1,547,308","1,454,221","2,554,866","1,703,129","2,379,007","1,150,875","786,964","232,555","191,872","193,751","95,454","140,272",Financials in USD,Fiscal year is January - December
Operating Income,"-1,408,967","-1,282,460","-4,158,048","-1,541,998","-1,444,191","-2,553,141","-1,703,129","-2,378,057","-1,150,875","-786,964","-232,555","-190,971","-193,751","-95,454","-140,272",Financials in USD,Fiscal year is January - December
Interest Expense,"-3,879","-5,817","-5,817","-96,101","-570,385","-1,051,916","-5,016,611",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,280,282,281,301,283,263,221,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-195,832","-31,033","-53,816","5,686,901",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,412,566","-1,287,995","-4,163,584","-1,833,630","-2,045,326","-3,658,610","-1,032,618","-2,378,057","-1,150,875","-786,964","-232,555","-190,971","-193,751","-95,454","-140,272",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,"-55,034","-57,500",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"444,701","112,944","-364,295",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,412,566","-1,287,995","-4,163,584","-1,388,929","-1,932,382","-4,022,905","-1,032,618","-2,378,057","-1,150,875","-841,998","-290,055","-190,971","-193,751","-95,454","-140,272",Financials in USD,Fiscal year is January - December
Net Income,"-1,412,566","-1,287,995","-4,163,584","-1,388,929","-1,932,382","-4,022,905","-1,032,618","-2,378,057","-1,150,875","-841,998","-290,055","-190,971","-193,751","-95,454","-140,272",Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,412,566","-1,287,995","-4,163,584","-1,388,929","-1,932,382","-4,022,905","-1,032,618","-2,378,057","-1,150,875","-841,998","-290,055","-190,971","-193,751","-95,454","-140,272",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"24,442,853","22,607,618","21,077,225","19,021,322","11,903,708","10,242,430","9,547,177","9,514,743","6,614,029","5,427,349","4,223,494","1,319,528","1,159,513","1,149,918","1,062,650",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"24,442,853","22,607,618","21,077,225","19,021,322","11,903,708","10,242,430","9,547,177","9,514,743","6,614,029","5,427,349","4,223,494","1,319,528","1,159,513","1,149,918","1,062,650",Financials in USD,Fiscal year is January - December
Shares Change (YoY),105.338%,120.725%,120.769%,99.914%,79.977%,88.719%,126.049%,621.072%,470.414%,371.977%,297.449%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.058,-0.057,-0.198,-0.073,-0.162,-0.393,-0.108,-0.250,-0.174,-0.155,-0.069,-0.145,-0.167,-0.083,-0.132,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.058,-0.057,-0.198,-0.073,-0.162,-0.393,-0.108,-0.250,-0.174,-0.155,-0.069,-0.145,-0.167,-0.083,-0.132,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,180,605","-1,378,296","-1,253,035","-2,222,730","-1,057,190","-1,318,851","-1,649,067","-3,120,265","-1,389,841","-394,772","-186,090","-211,746","-188,816","-74,269","-110,460",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.048,-0.061,-0.059,-0.117,-0.089,-0.129,-0.173,-0.328,-0.210,-0.073,-0.044,-0.160,-0.163,-0.065,-0.104,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,-,100.000%,-,-,-,100.000%,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-21412.872%,-16295.553%,-26105.274%,-29039.510%,-14398.714%,-148008.174%,-,-250321.789%,-,-,-,-21195.450%,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-21467.568%,-16365.883%,-26140.030%,-26156.855%,-19266.022%,-233211.884%,-,-250321.789%,-,-,-,-21195.450%,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-17942.325%,-17513.291%,-7866.870%,-41859.322%,-10540.279%,-76455.130%,-,-328448.947%,-,-,-,-23501.221%,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-1,326,450","-1,201,341","-4,129,711","-1,480,181","-1,403,966","-2,548,348","-1,698,344","-2,374,057","-1,146,875","-782,964","-228,555","-186,971","-189,751","-91,454","-136,272",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"82,517","81,119","28,337","61,817","40,225","4,793","4,785","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000",Financials in USD,Fiscal year is January - December
EBIT,"-1,408,967","-1,282,460","-4,158,048","-1,541,998","-1,444,191","-2,553,141","-1,703,129","-2,378,057","-1,150,875","-786,964","-232,555","-190,971","-193,751","-95,454","-140,272",Financials in USD,Fiscal year is January - December
Advertising Expenses,"52,059",-,"34,402",-,"34,067",-,"49,551",-,-,-,"22,398",-,"44,825",-,"13,270",Financials in USD,Fiscal year is January - December
