Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Other Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,"363,790","88,741","-163,971","-288,560",-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Revenue,-,"350,000",-,"2,034,113","2,105,977","1,761,933","1,195,675","1,026,416","869,654","770,738","216,097","322,140","159,482","175,193","88,741","-163,971","-288,560",-,-,"20,610",Upgrade,Financials in USD,Fiscal year is July - June
Revenue Growth (YoY),-,-80.135%,-,98.176%,142.163%,128.603%,453.305%,218.624%,445.299%,339.937%,143.514%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Cost of Revenue,"5,743,754","4,671,856","7,159,686","5,651,837","5,014,630","7,509,713","4,959,562","4,466,245","6,113,527","7,523,716","5,026,982","5,455,568","3,538,697","3,519,600","2,564,930","4,040,818","2,949,051","3,933,034","3,641,250","3,257,624",Upgrade,Financials in USD,Fiscal year is July - June
Gross Profit,"-5,743,754","-4,321,856","-7,159,686","-3,617,724","-2,908,653","-5,747,780","-3,763,887","-3,439,829","-5,243,873","-6,752,978","-4,810,885","-5,133,428","-3,379,215","-3,344,407","-2,476,189","-4,204,789","-3,237,611","-3,933,034","-3,641,250","-3,237,014",Upgrade,Financials in USD,Fiscal year is July - June
"Selling, General & Admin","2,020,931","4,003,779","2,033,410","3,032,613","3,200,244","5,070,318","3,537,376","3,174,344","3,508,798","6,348,112","3,009,528","3,317,760","3,836,542","5,950,339","4,010,055","5,044,913","2,331,606","3,456,805","2,072,032","2,404,093",Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"2,020,931","4,003,779","2,033,410","3,032,613","3,200,244","5,070,318","3,537,376","3,174,344","3,508,798","6,348,112","3,009,528","3,317,760","3,836,542","5,950,339","4,010,055","5,044,913","2,331,606","3,456,805","2,072,032","2,404,093",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-7,764,685","-8,325,635","-9,193,096","-6,650,337","-6,108,897","-10,818,098","-7,301,263","-6,614,173","-8,752,671","-13,101,090","-7,820,413","-8,451,188","-7,215,757","-9,294,746","-6,486,244","-9,249,702","-5,569,217","-7,389,839","-5,713,282","-5,641,107",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,"-5,940","-3,373","-1,254","-1,605","-10,882","-1,490","-3,434","-5,487","-9,602","-18,259","-3,019","-2,773","-5,631","-14,080",-,"-1,871","-7,489","-8,310",-278,"-2,502",Upgrade,Financials in USD,Fiscal year is July - June
