Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,-,-,-,-,"199,934",Financials in USD,Fiscal year is January - December
Cost of Revenue,"3,188,414","2,579,418","391,730","209,047","138,585",Financials in USD,Fiscal year is January - December
Gross Profit,"-3,188,414","-2,579,418","-391,730","-209,047","61,349",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","6,436,802","4,282,866","1,926,429","629,949","1,415,216",Financials in USD,Fiscal year is January - December
Operating Expenses,"6,436,802","4,282,866","1,926,429","629,949","1,415,216",Financials in USD,Fiscal year is January - December
Operating Income,"-9,625,216","-6,862,284","-2,318,159","-838,996","-1,353,867",Financials in USD,Fiscal year is January - December
Interest Expense,"-838,765","-518,509","-140,430",-253,"-1,676",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"33,133",-,-,-,"694,959",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-10,430,848","-7,380,793","-2,458,589","-839,249","-660,584",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"243,862",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-10,067,757","-7,380,793","-2,458,589","-595,387","-660,584",Financials in USD,Fiscal year is January - December
Net Income,"-10,067,757","-7,380,793","-2,458,589","-595,387","-660,584",Financials in USD,Fiscal year is January - December
Net Income to Common,"-10,067,757","-7,380,793","-2,458,589","-595,387","-660,584",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,567,559","1,276,543","435,312",-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,567,559","1,276,543","435,312",-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),333.401%,193.248%,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.204,-5.782,-5.648,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.204,-5.782,-5.648,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,479,026","-981,031","-1,567,149","-1,593,011","-3,625,773",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.200,-0.769,-3.600,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,30.685%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-677.157%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-330.401%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-1813.485%,Financials in USD,Fiscal year is January - December
EBITDA,-,-,"-1,627,707",-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,"690,452",-,-,Financials in USD,Fiscal year is January - December
EBIT,"-9,625,216","-6,862,284","-2,318,159","-838,996","-1,353,867",Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,"199,934",Financials in USD,Fiscal year is January - December
