Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
"Selling, General & Admin","7,947,000","6,824,000","3,952,000","2,378,000","2,055,000",Financials in USD,Fiscal year is January - December
Research & Development,"27,547,000","24,844,000","8,869,000","7,419,000","3,688,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"35,494,000","31,668,000","12,821,000","9,797,000","5,743,000",Financials in USD,Fiscal year is January - December
Operating Income,"-35,494,000","-31,668,000","-12,821,000","-9,797,000","-5,743,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-25,000","-25,000","-16,000",-,"-21,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"74,000","74,000","23,000","5,000","12,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-4,000","-4,000","166,000",-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,420,000",-,-,"126,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-33,029,000","-31,623,000","-12,648,000","-9,666,000","-5,752,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"5,000","9,000",-,-,"1,000",Financials in USD,Fiscal year is January - December
Net Income,"-33,034,000","-31,632,000","-12,648,000","-9,666,000","-5,753,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-33,034,000","-31,632,000","-12,648,000","-9,666,000","-5,753,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"29,757,319","26,593,673","19,976,596","9,569,932","8,790,397",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"29,757,319","26,593,673","19,976,596","9,569,932","8,790,397",Financials in USD,Fiscal year is January - December
Shares Change (YoY),15.582%,33.124%,108.743%,8.868%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.110,-1.189,-0.633,-1.010,-0.654,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.110,-1.189,-0.633,-1.010,-0.654,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,"-29,900,000","-11,852,000","-7,548,000","-4,462,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-1.124,-0.593,-0.789,-0.508,Financials in USD,Fiscal year is January - December
EBITDA,"-35,298,750","-31,529,000","-12,757,000","-9,767,000","-5,726,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"195,250","139,000","64,000","30,000","17,000",Financials in USD,Fiscal year is January - December
EBIT,"-35,494,000","-31,668,000","-12,821,000","-9,797,000","-5,743,000",Financials in USD,Fiscal year is January - December
