Fiscal Quarter,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,H1 2019,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019","Mar '19 Mar 31, 2019","Sep '18 Sep 30, 2018",+2 Quarters,,
Cost of Revenue,"3,864,405","2,412,914","2,471,909","1,625,016","2,037,501","402,592","-178,221","977,724","134,751","1,011,861",Upgrade,Financials in USD,Fiscal year is April - March
Gross Profit,"-3,864,405","-2,412,914","-2,471,909","-1,625,016","-2,037,501","-402,592","178,221","-977,724","-134,751","-1,011,861",Upgrade,Financials in USD,Fiscal year is April - March
Research & Development,"3,687,061","2,142,563","1,155,030","345,778","103,610","29,250","130,568","276,910","2,170,860","162,905",Upgrade,Financials in USD,Fiscal year is April - March
Operating Expenses,"3,687,061","2,142,563","1,155,030","345,778","103,610","29,250","130,568","276,910","2,170,860","162,905",Upgrade,Financials in USD,Fiscal year is April - March
Operating Income,"-7,551,465","-4,555,477","-3,626,938","-1,970,794","-2,141,111","-431,842","47,653","-1,254,634","-2,305,611","-1,174,766",Upgrade,Financials in USD,Fiscal year is April - March
Interest Expense,"-96,687",-,-,-736,-466,-392,-911,-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Interest & Investment Income,-,-,967,-,-,-,"37,850",-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,"18,014","-18,014",Upgrade,Financials in USD,Fiscal year is April - March
EBT Excluding Unusual Items,"-7,648,152","-4,555,477","-3,625,971","-1,971,530","-2,141,577","-432,234","84,592","-1,254,634","-2,287,597","-1,192,780",Upgrade,Financials in USD,Fiscal year is April - March
Other Unusual Items,-,-,-,-,"45,187","-53,726","-38,576","-65,766","-278,347",-,Upgrade,Financials in USD,Fiscal year is April - March
Pretax Income,"-7,648,152","-4,555,477","-3,625,971","-1,971,530","-2,096,390","-485,960","46,016","-1,320,400","-2,565,944","-1,192,780",Upgrade,Financials in USD,Fiscal year is April - March
Income Tax Expense,"-12,202",-,"-607,665","-136,063","-19,172",68,"-60,000",-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Earnings From Continuing Operations,"-7,635,950","-4,555,477","-3,018,306","-1,835,467","-2,077,218","-486,028","106,016","-1,320,400","-2,565,944","-1,192,780",Upgrade,Financials in USD,Fiscal year is April - March
Net Income to Company,"-7,635,950","-4,555,477","-3,018,306","-1,835,467","-2,077,218","-486,028","106,016","-1,320,400","-2,565,944","-1,192,780",Upgrade,Financials in USD,Fiscal year is April - March
Net Income,"-7,635,950","-4,555,477","-3,018,306","-1,835,467","-2,077,218","-486,028","106,016","-1,320,400","-2,565,944","-1,192,780",Upgrade,Financials in USD,Fiscal year is April - March
Net Income to Common,"-7,635,950","-4,555,477","-3,018,306","-1,835,467","-2,077,218","-486,028","106,016","-1,320,400","-2,565,944","-1,192,780",Upgrade,Financials in USD,Fiscal year is April - March
Shares Outstanding (Basic),"22,870,622","21,643,494","16,122,406","14,007,220","10,554,613","10,145,935","9,777,805","8,544,479","7,757,023","8,055,317",Upgrade,Financials in USD,Fiscal year is April - March
Shares Outstanding (Diluted),"22,870,622","21,643,494","16,122,406","14,007,220","10,554,613","10,145,935","9,777,805","8,544,479","7,757,023","8,055,317",Upgrade,Financials in USD,Fiscal year is April - March
Shares Change (YoY),41.856%,54.517%,52.752%,38.057%,7.945%,18.743%,26.051%,6.073%,31.096%,37.370%,Upgrade,Financials in USD,Fiscal year is April - March
EPS (Basic),-0.334,-0.210,-0.187,-0.131,-0.197,-0.048,0.011,-0.155,-0.331,-0.148,Upgrade,Financials in USD,Fiscal year is April - March
EPS (Diluted),-0.334,-0.210,-0.187,-0.131,-0.197,-0.048,0.011,-0.155,-0.331,-0.148,Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow,"-4,106,021","-2,906,021","-2,608,976","-2,176,293","-819,809","-430,205","-200,428","-760,740","-763,191","-763,500",Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow Per Share,-0.180,-0.134,-0.162,-0.155,-0.078,-0.042,-0.020,-0.089,-0.098,-0.095,Upgrade,Financials in USD,Fiscal year is April - March
EBITDA,"-7,549,363","-4,554,107","-3,625,630","-1,970,016","-2,140,371","-431,428","47,821","-1,254,467","-3,480,210",-,Upgrade,Financials in USD,Fiscal year is April - March
D&A For EBITDA,"2,102","1,370","1,308",778,740,414,168,167,-,-,Upgrade,Financials in USD,Fiscal year is April - March
EBIT,"-7,551,465","-4,555,477","-3,626,938","-1,970,794","-2,141,111","-431,842","47,653","-1,254,634","-2,305,611","-1,174,766",Upgrade,Financials in USD,Fiscal year is April - March
