Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","7,799,976","8,083,819","5,358,734","5,252,911","2,139,501","181,116",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"26,333,653","31,419,817","22,870,024","4,851,602","295,150","195,744",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"34,133,629","39,503,636","28,228,758","10,104,513","2,434,651","376,860",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-34,133,629","-39,503,636","-28,228,758","-10,104,513","-2,434,651","-376,860",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-2,414","-1,453,120","-469,373",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"477,694","498,964","182,802",-,"80,183",201,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"651,545","-239,216","-194,709","1,591,055","25,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-33,004,390","-39,243,888","-28,240,665","-8,515,872","-3,782,588","-846,032",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"10,199","16,949","20,777","6,004",800,800,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-33,014,589","-39,260,837","-28,261,442","-8,521,876","-3,783,388","-846,832",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-33,014,589","-39,260,837","-28,261,442","-8,521,876","-3,783,388","-846,832",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"30,374,697","23,798,203","19,516,479","14,790,843","3,061,670","2,768,346",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"30,374,697","23,798,203","19,516,479","14,790,843","3,061,670","2,768,346",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),35.267%,21.939%,31.950%,383.097%,10.596%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.087,-1.650,-1.448,-0.576,-1.236,-0.306,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.087,-1.650,-1.448,-0.576,-1.236,-0.306,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-33,319,864","-28,324,353","-18,960,581","-10,668,462","-4,066,624","-218,444",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.097,-1.190,-0.972,-0.721,-1.328,-0.079,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,"-10,103,922","-2,434,060","-376,215",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,591,591,645,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-34,133,629","-39,503,636","-28,228,758","-10,104,513","-2,434,651","-376,860",Upgrade,Financials in USD,Fiscal year is January - December
