Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","31,377,000","28,901,000","25,946,000","21,146,000","3,312,000","1,622,000",Financials in USD,Fiscal year is January - December
Research & Development,"50,120,000","47,251,000","37,672,000","29,352,000","12,432,000","8,488,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"81,497,000","76,152,000","63,618,000","50,498,000","15,744,000","10,110,000",Financials in USD,Fiscal year is January - December
Operating Income,"-81,497,000","-76,152,000","-63,618,000","-50,498,000","-15,744,000","-10,110,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"11,382,000","12,550,000","5,816,000","329,000",-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,754,000","-2,732,000","-1,012,000","174,000","138,000","492,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-72,869,000","-66,334,000","-58,814,000","-49,995,000","-15,606,000","-9,618,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"2,659,000","2,659,000","890,000","-183,000",-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-137,000","-13,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-70,210,000","-63,675,000","-57,924,000","-50,315,000","-15,619,000","-9,618,000",Financials in USD,Fiscal year is January - December
Net Income,"-70,210,000","-63,675,000","-57,924,000","-50,315,000","-15,619,000","-9,618,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-70,210,000","-63,675,000","-57,924,000","-50,315,000","-15,619,000","-9,618,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"125,223,243","124,919,144","124,589,555","84,464,081","29,089,778","6,066,928",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"125,223,243","124,919,144","124,589,555","84,464,081","29,089,778","6,066,928",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.282%,0.265%,47.506%,190.357%,379.481%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.561,-0.510,-0.465,-0.596,-0.537,-1.585,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.561,-0.510,-0.465,-0.596,-0.537,-1.585,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-61,017,000","-54,153,000","-48,130,000","-41,510,000","-14,917,000","-10,588,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.487,-0.434,-0.386,-0.491,-0.513,-1.745,Financials in USD,Fiscal year is January - December
EBITDA,"-79,399,000","-74,303,000","-62,401,000","-49,479,000","-15,034,000","-9,562,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,098,000","1,849,000","1,217,000","1,019,000","710,000","548,000",Financials in USD,Fiscal year is January - December
EBIT,"-81,497,000","-76,152,000","-63,618,000","-50,498,000","-15,744,000","-10,110,000",Financials in USD,Fiscal year is January - December
